factset_entity_id,total_aum,equity_aum
001YJX-E,,
084SSJ-E,,0
001YP2-E,,
001YPY-E,,
001YQQ-E,,
001YSC-E,,
001YX7-E,,
001Z0M-E,,
001Z1N-E,,
001Z2B-E,,
001Z2Y-E,41047,273
001Z3R-E,,
001Z5Y-E,,188
001Z7D-E,1598,
001Z7X-E,59,
001Z8N-E,,
001ZDN-E,,
001ZFZ-E,,
00176H-E,1397,540
001ZNB-E,,
001ZNY-E,39,
001ZQN-E,,
06TMNK-E,,7088
001ZVG-E,,
001ZWF-E,,
001ZWH-E,,
001ZYS-E,,
001ZYX-E,,
00200W-E,,
002013-E,,
002014-E,,
00205N-E,245,
002074-E,,
00207Y-E,,
00208T-E,,
0020DX-E,,
0020F9-E,,
0020GT-E,,0
0020J6-E,,
0020SY-E,,
001358-E,741,92
07KFWV-E,,
09WVT9-E,,6
09ZJ5B-E,,1
0B352W-E,,499
00203S-E,95,
0BJL96-E,,789
001Y4H-E,2004,1209
0BK9QY-E,,262
002HVY-E,2104,1976
001BC5-E,496035,147318
0013ZM-E,200,170
0CLN65-E,216,73
076PSB-E,,4
073FGX-E,,4
0FDMHM-E,1057,142
001X1H-E,2856,1872
06DN37-E,153,116
000KJ7-E,94108,84473
001WYK-E,48330,27
001ZP6-E,,1811
001YB3-E,,
001XC9-E,,5544
0018XT-E,34603,3587
0D7KXS-E,,124
00134N-E,2193,2060
00143D-E,,253
00290F-E,,0
001YPD-E,,252
05MSWB-E,,831
0016FP-E,10074,2397
0016Z2-E,,145
001BQN-E,233,199
0020T2-E,,
0020T3-E,,
05VFVS-E,1891,3
0020ZT-E,,
002108-E,,
00213N-E,,
0CQF25-E,3231,401
0021F4-E,,
0021KL-E,311,
0CR33W-E,612,141
0021VQ-E,,
0021VT-E,,525
0021ZD-E,,
002249-E,,
002255-E,,
0022GP-E,,
0022HH-E,232,
0022K8-E,,
0022L1-E,,
0022TV-E,,
0022YS-E,,
0022Z8-E,,
00233N-E,,
0023W3-E,,
0023WY-E,,
0023ZP-E,,
05X54T-E,,2
0024FZ-E,,
0024G2-E,,
0D7T3D-E,,211
0024J8-E,3765,
0024Q6-E,5000,
0024QD-E,,
0024X9-E,,
00253Y-E,,
002544-E,,
0025GD-E,,
0025H0-E,1965,
0025MS-E,,
00209B-E,1569,1016
0025Y6-E,,
00266Z-E,,
00269B-E,,
0026C7-E,,
0026MR-E,,
0026MZ-E,,
0026YR-E,,
0027L0-E,,1783
0027L1-E,,
0027V1-E,,0
0027V8-E,,
0027WG-E,,
0027YF-E,,
00285H-E,,
002888-E,,
0028KG-E,,
0028LG-E,,
00298F-E,,
0029CF-E,405,
0029RK-E,,
0029TB-E,,
0029VD-E,,
0029VF-E,55,
002B0Y-E,,
002B6L-E,,
001GCK-E,,3314
002BB8-E,,
002BJJ-E,,
002BJN-E,,
002BVF-E,,
002BWL-E,,
000HGT-E,158649,60326
002154-E,3356,
06YTDW-E,4849,1976
002384-E,827,467
0020ZM-E,,
001CVY-E,53882,38518
002B44-E,,0
0021HZ-E,,
002B2T-E,,
001D77-E,,27196
0020T6-E,544,348
05VD99-E,43299,520
0026PX-E,,463
001GM8-E,4888,4466
05W4G0-E,31405,2364
0021HG-E,8292,3003
001F5Z-E,,79
001GH1-E,,121
060F27-E,,6
0020WJ-E,4817,3566
002C18-E,,
001NJZ-E,53372,16058
002C4W-E,,
002C68-E,,
002C9T-E,,
002BY9-E,25320,41
002BZT-E,,582
002CS4-E,,
002CV8-E,,
002CVM-E,,
002CYG-E,,
002D0Q-E,,
002D10-E,,
002D1M-E,,
002D5P-E,,
001PKW-E,,15648
065FWR-E,,62
002G05-E,9900,
002DDZ-E,,0
002DFH-E,596,569
002DKJ-E,,
002DW3-E,20000,
002F3R-E,,
002F3S-E,,
002F5C-E,,
002F7R-E,,
002FJJ-E,,
002FL5-E,,
002FMY-E,,2
002FP3-E,,
001MXZ-E,2806,1966
002FV4-E,,
002FV9-E,,
002FVS-E,440,
002FX3-E,,
002FXW-E,,
002G02-E,,
002G17-E,,
002G23-E,,
001JWZ-E,1317,668
002G2M-E,,
0646S9-E,,66
002G69-E,,
0634S8-E,,586
002G6T-E,,
002G6V-E,,
001JZX-E,,15969
086XV5-E,,3
002G8B-E,,
002G8C-E,,
002G8M-E,,
002G8T-E,,
002G97-E,,
002CZ9-E,,203
07VYZL-E,,36
0880M4-E,1717,7
07NZV3-E,,
087QFZ-E,,1
001MS7-E,143,49
002G71-E,260,0
07NG7K-E,20328,1510
065MPS-E,14803,397
002G64-E,1271,
001N09-E,367,184
002DKP-E,,861
002C2Z-E,159307,106140
002BX9-E,,3
088WMR-E,78652,155
07NYJB-E,,38
081MS6-E,,100
0DH1XN-E,,1
0669GC-E,5718,
062YG9-E,25509,9573
002FPM-E,164,143
05PGY3-E,,133
07RKV7-E,1037,1
0GVFLJ-E,,431
0GYLZ8-E,431,213
0H9ZZF-E,,4
0666YX-E,10092,14
002GBK-E,,
002GBP-E,,
002GRW-E,,0
002GC0-E,,
002GF2-E,,
002GFQ-E,,
002GFW-E,,
002GFX-E,,
002GFZ-E,,
002GBN-E,779,659
002GD9-E,424,250
0020GL-E,,35730
002GTP-E,11641,11054
002GD0-E,5163,1353
002GHR-E,,
002GHS-E,,
002GHY-E,,
002GJM-E,,
002GJZ-E,,
002GK8-E,,
002GK9-E,,
002GKC-E,,
0022H4-E,26142,16259
002GKP-E,,
002GKY-E,,
002GKZ-E,,
002GL6-E,,
002GLC-E,,
002GLJ-E,,
002GLL-E,,
002GM2-E,,
002GMD-E,,
002GMM-E,,
002GNN-E,,
002GNQ-E,,
002GQP-E,,
002GQZ-E,,
002GR1-E,,
002GRQ-E,,
002GTL-E,,
002GTW-E,,
001YN3-E,4134,2612
002GV3-E,,
002GVG-E,,
002GVP-E,,
002GVW-E,,
002GFH-E,2938,1562
05M0X2-E,121,109
002GW8-E,,
0D2CW0-E,20257,10432
002GWQ-E,,
002GWR-E,,
002GX4-E,,
002GX5-E,,
002GX6-E,,
0022CW-E,15439,5706
002GXG-E,,
002GXL-E,,
002GXP-E,,
002GXQ-E,2000,1193
002GY1-E,,
05FWCV-E,,169
002GYM-E,,
002GYP-E,,
002GYT-E,,
0020Z0-E,,148
002GJQ-E,,190
002GF6-E,230,208
002GWT-E,1157,
0J5KK6-E,,
0JJVHD-E,10663,10056
05KG7N-E,,192
002GRZ-E,,405
0D4K8Q-E,1223,496
002GSB-E,5961,3353
0023D5-E,1265,371
002GDT-E,,20847
002GLK-E,,591
05Q92M-E,73791,3404
002GMV-E,91,
0DX2RS-E,17517,1176
002340-E,3321,1026
0DX2M0-E,1043,327
0CY7RP-E,354,138
002D6G-E,3359,1800
002GZM-E,1631,359
002H7S-E,3730,1386
002GZP-E,,
002GZV-E,,
002GZZ-E,,
002H05-E,,
002H0Q-E,,
002H10-E,,
002H1S-E,8,
002H1V-E,,
002H1W-E,,
002H1X-E,,
002H22-E,,
002H27-E,,0
002H2B-E,,
002H2D-E,,
002H2M-E,,
002H2Q-E,,
002H30-E,,
002H33-E,,
002CH3-E,23411,18004
002H3N-E,,
002H3V-E,,
002H3X-E,,
002H3Y-E,,
002H48-E,,
002H49-E,,
05FW8R-E,,474
002H4D-E,,
002H4P-E,,
002H4Y-E,123,
09NJ74-E,,3
002B7K-E,,879
002H54-E,,
002H59-E,,
002H5B-E,,
09QCRJ-E,,152
002H5G-E,,
002H5P-E,,
002H60-E,,
002H61-E,,
002H6S-E,348,278
002H65-E,,
002H6H-E,,
0024SV-E,28917,28496
002H3P-E,287,266
002H7J-E,,
002DJT-E,27949,28291
002H83-E,,
002H3J-E,219,178
002H8J-E,,
0025H4-E,10378,9344
002H8Q-E,,
09QLZS-E,,0
002H8Y-E,,
002H94-E,650,
002H97-E,,
0029W3-E,502,370
002CBF-E,2163,1955
0024MZ-E,45758,10882
002H9Y-E,,
002D46-E,7646,5021
002H7F-E,1463,
002CS5-E,4675,470
002H7K-E,1251,908
002D91-E,30756,24064
09R368-E,,7
09Q2SL-E,,13
09QSZZ-E,,1
002H9M-E,9016,7883
05FWJK-E,,166
09Q1NL-E,,0
002H96-E,,
09Q2HN-E,770,14
002HB3-E,,
002HB5-E,,
002HB8-E,,
002HB9-E,,
002HBF-E,,
002HBH-E,,
002HBQ-E,,
002HBR-E,,
002HBW-E,,
002HBZ-E,,
002HC0-E,,
002HCF-E,,
002HCJ-E,,
002HCW-E,,
09YNNW-E,,
002HD7-E,717,
002HDJ-E,,
002HDM-E,,
002HDN-E,,
002HDP-E,,
002HDR-E,67,
002HDT-E,,
002HF0-E,,
002HF1-E,,
002HF2-E,,
002HF3-E,,
002HF4-E,,
002HF7-E,,
002HF8-E,,
002HF9-E,,
002HFC-E,,
002HFJ-E,,
002HFN-E,,
002HFS-E,,
0B6TP0-E,,42
002G7V-E,334,324
0B0S0Y-E,203,0
002FH8-E,,130
002HG5-E,,
002HG9-E,,
0B6LG4-E,,6
002HGD-E,,
002HB4-E,733,471
002HFG-E,275,189
002HCR-E,960,838
002HDZ-E,711,606
002HBL-E,,9556
002HGX-E,,
002HH3-E,,
002HH0-E,842,446
002HH9-E,,
002F9P-E,14900,7232
002HHD-E,,
002HHP-E,,
002HJ0-E,,
002HJH-E,,
002HJK-E,,
002HJL-E,,
002HJQ-E,,
002HJ6-E,27741,
002HDX-E,402,370
002HDL-E,,2039
002HCT-E,928,555
002HDD-E,,426
0FBNWQ-E,,9
002HHS-E,1287,603
001M89-E,5104,5156
09Y1CJ-E,38516,5173
002HFK-E,,397
003C5M-E,33943,2203
004GK6-E,,17
007FTH-E,,14
002HBS-E,145,67
002FYS-E,4530139,3227791
0086L3-E,35486,1
002HCD-E,,12
0B497Y-E,,0
002HB7-E,27760,26883
002HFV-E,,2011
002HGG-E,603,467
00C6P0-E,496,
002HCH-E,301,264
00CZN8-E,,2315
05FW6P-E,73190,5821
0B6YC1-E,,41
002HCK-E,,439
002HCG-E,,3141
002HJG-E,,0
002HDF-E,2671,2517
002HGS-E,,146
002HJS-E,,
002HJV-E,,
002HJW-E,,
002HJX-E,,
002HK2-E,,
002HK3-E,,
002HK5-E,,
002HK8-E,,
002HKF-E,,
002HKH-E,,
002HKS-E,,
002HKV-E,,
002HJZ-E,2629,595
002HKX-E,,
002HL2-E,,
002HL4-E,,
002HL5-E,,
002HLG-E,2820,731
002HLR-E,,
002HLX-E,,
002HM2-E,,0
002HM3-E,,
002HM7-E,2,
002HMH-E,,
002HMK-E,,
002GKD-E,12088,11249
002HMW-E,,
069GK2-E,,15
002HN4-E,,
002HN5-E,,
002HN8-E,,
05G2J8-E,348083,15168
002HNG-E,,
002HKG-E,20077,1447
002HKT-E,1311,928
002HNM-E,,
002HNQ-E,,
002HNV-E,,
002HP1-E,,
002HP3-E,,
002GT6-E,47656,112
002HP7-E,,
002HP8-E,,
002HPB-E,,
002HPD-E,,
002HPJ-E,,
067MHZ-E,,310
002HPR-E,,
05FW8N-E,,7110
002HPZ-E,,
002HQ0-E,,
002HQG-E,,
002HQK-E,,
002HQP-E,,
002HQT-E,,
002HQV-E,,
002HQX-E,,
002HR1-E,,
05FW98-E,,46082
002HR6-E,,
002HRJ-E,,
002HRP-E,,
002HRV-E,,
002HRW-E,,
002HRX-E,,
002HRY-E,,
002HS0-E,,
002HS4-E,,
002HS5-E,91,
002HS7-E,,
002HS9-E,,
002HSB-E,,
002HSC-E,2,
002HSF-E,,0
002HQ5-E,,
002HLD-E,,2065
002HMX-E,2700,
06FMJP-E,,365
002GB5-E,182428,50511
002H12-E,,44358
067XH8-E,,940
002HLW-E,12227,8779
0D203N-E,33700,25098
002HNS-E,347,241
002HNZ-E,686,626
002HS6-E,267,241
0689WK-E,,338
002HLM-E,470,327
06FPHB-E,769612,199
002HMM-E,4422,4025
002HMD-E,,503
0685VL-E,,41
05G697-E,,75
05G875-E,14096,4259
05G975-E,,10082
0893B8-E,317,204
05G9B7-E,,1999
002HLZ-E,204046,10472
002HSP-E,,
002HSW-E,,
002HSY-E,107,
002HSZ-E,,
002HT8-E,,
06HJYR-E,,
002HTT-E,,
002HV1-E,,
002HVC-E,,
002HVD-E,,
002HVF-E,,
002HVG-E,,
002HVM-E,,
002HSJ-E,77118,262
002HSX-E,1275,1167
002HVS-E,,
002HTK-E,,199779
002HW8-E,,
002HWB-E,,
002HWG-E,,
002HWH-E,,
002HWL-E,,
002HWN-E,,
002HWQ-E,,
002HTR-E,438,350
002HX0-E,,
002HWT-E,29151,
002HX8-E,,
002HX9-E,,
002HSM-E,3000,489
002HXN-E,34,
002HXT-E,,
002HXX-E,58,
002HXY-E,,
002HY1-E,,
05MDCD-E,303,222
002HGT-E,,13465
002HYH-E,,
002HTG-E,39549,36
002HYK-E,,
002HYL-E,,
002HYM-E,,
002HYW-E,,
002HSV-E,1343,466
002HZ2-E,,
002HZC-E,,
002HZD-E,,
002HZH-E,,
002HZS-E,,
002HZV-E,,38
002J00-E,,
002J0F-E,,
002HBD-E,8469,7221
002J0N-E,,
002J0S-E,,
002J16-E,,
002J17-E,,
002J1F-E,,
002HGV-E,26613,4
002J1V-E,,
002J1W-E,,
002HTZ-E,22822,20841
002HD4-E,36,32
002HDY-E,5886,369
002HFX-E,6733,1582
002HHQ-E,32350,5033
06KG6T-E,,134
06LDV1-E,,5
002HXK-E,,
002H5F-E,1216,979
002HFD-E,7495,115
002HGC-E,932,577
002HTF-E,,1677
002HXS-E,1155,802
002J05-E,4849,
06LQ71-E,,959
05NSK3-E,183895,2173
05QW89-E,,360
05SGS1-E,34071,10919
05SW8P-E,,602
05T28R-E,,113
05TW41-E,,2
05WMY6-E,3416,755
05WPRX-E,,210
05XF3L-E,76749,10899
002HZR-E,1422,1050
0C0FS7-E,36007,0
002HSL-E,4966,2953
002HW1-E,,
05Z5C4-E,,931
002HMF-E,9467,466
002J2G-E,,
0CBJS3-E,21800,211
002J2Q-E,,
002J39-E,,
002J3K-E,,
06ZPQ6-E,,325
064MM9-E,65709,
002J43-E,,
066BY9-E,,7900
067KCR-E,,359
0681H8-E,,234
002J54-E,,
06D2HH-E,,1603
06X6RN-E,,10
06GZJV-E,,0
002J5H-E,,
076PQ4-E,,1898
002J5P-E,,
002J60-E,,
07JLZB-E,,187
06XS0G-E,,2331
002J65-E,,
07KW7X-E,180274,3715
002J6B-E,,
002J6C-E,,
07M8CS-E,,77
002J6K-E,,
002J6L-E,,
002J6V-E,,
002J6W-E,,
07NDTF-E,,2
002J76-E,,
094VV1-E,,232870
002J7G-E,,
002J7S-E,,
002J7Z-E,,
002J85-E,,
002J87-E,,
09GLB9-E,,9
002J8B-E,,
09KY3Z-E,,1953
002J8Q-E,20,
002J8S-E,,
09M1BL-E,,2601
002J97-E,,
002J9D-E,,
002J9L-E,,
002J9Q-E,,
002J9V-E,,
002JB1-E,,
002JB2-E,10729,174
002JB3-E,,
002JB4-E,,
09Q56B-E,454260,11918
002JBP-E,,
002JBT-E,,
09ZC0Q-E,,3248
002JC4-E,,
002JCH-E,,
002JCJ-E,,
002JCP-E,,
002JCR-E,,
002JCX-E,,
0B4DPV-E,8550,3929
002JDX-E,,
002JF7-E,,
002JF8-E,,
0BJ0FZ-E,,3008
0C23KM-E,1053,358
002JH9-E,,
002JHG-E,,
002JHP-E,,
002KWD-E,,
002J75-E,,
0C46FJ-E,7515,1019
0C9035-E,800,16
0C9WCM-E,396,151
0CB2MN-E,1027,5
002HR5-E,2405,1075
0C651W-E,,2
06XSY7-E,158,9
05GDRG-E,,39933
0CG2NS-E,,50
06WRJG-E,,34
002HL1-E,423487,289518
002HNP-E,4616,2103
002JGJ-E,212,203
071KPF-E,,5
0CFFFS-E,,5
002HX7-E,3356,3010
0CFCFW-E,,24245
002HR9-E,,2684
002J4S-E,6993,0
0CLDSL-E,,16
002J2C-E,989,553
002JCB-E,,418
070L9D-E,,10
002HWY-E,1479,1332
0CKRRJ-E,19777,39
002J33-E,7223,86
002J3B-E,,1660
0C3NSG-E,,23
002J6M-E,,30439
002JCS-E,,860
002HP4-E,20570,198
002HRF-E,16311,740
002J4D-E,22014,19678
002KDF-E,70,
002JJ9-E,,
002JJF-E,,
002JJG-E,,
002JJL-E,,
002J6Q-E,1510,1202
002J57-E,1478,449
002JKP-E,,
002JKS-E,,
002JL6-E,,
002JLJ-E,,
002JLK-E,,
002JLQ-E,,
07NSF5-E,,23
002JK6-E,11999,1317
05H8J8-E,278344,20525
002JCG-E,1274,733
002JML-E,,
002JV7-E,1620,1156
002JNF-E,,
002JNM-E,,
002JP5-E,198,
002JP7-E,,
0D6J6D-E,,39
002J3W-E,796,729
002JQJ-E,,
002JQN-E,,
002JQV-E,,
002JR0-E,,
002JRS-E,,
002J5V-E,5252,4872
002JRW-E,,
002JS5-E,,
0DLC3Y-E,186,90
07NXRP-E,,12
002JY6-E,,
002JYK-E,,
002JZ0-E,,
002JZ5-E,,
002JZ7-E,,
002JZF-E,,
002K07-E,,
002K0C-E,,
002K2N-E,,
002K37-E,,
002K3D-E,,
002JLB-E,145063,39553
002K4J-E,13,
002K59-E,,
002K5D-E,33,
002K5H-E,,
002K7W-E,,
002K7Y-E,,
002K9T-E,,
002KC4-E,,
002KF3-E,,
002KFT-E,,
002KJS-E,,
002KJZ-E,,
002J5L-E,,49267
002KM6-E,,
002KNH-E,2800,
002KPT-E,,
002KS3-E,,
002KVT-E,,
002JJ1-E,676,572
080QSG-E,,0
082L7J-E,,
0CY2GK-E,,87
002J6R-E,2162,772
0CQV64-E,,9651
0D39H9-E,,3
002J4G-E,,6971
0D4GMC-E,,816
002JK4-E,101,0
0D4516-E,,91
0D6JQ6-E,795,
002J4B-E,27253,13465
0D0V3L-E,,210
05H1YV-E,7972,231
002KM3-E,844,0
0C73VC-E,,872
0FX0R4-E,407,323
002J6J-E,,5165
0D2T1Q-E,,115
081L3M-E,,68
0D17J0-E,,3
002KX1-E,,
002KXY-E,,
002KYG-E,,
002KCX-E,,269
002L39-E,,
002KQR-E,6051,5428
002L5T-E,,
002L6V-E,,
002L82-E,,
002M54-E,173,
002LB3-E,,
