"factset_entity_id","equity_aum"
"0C8LP8-E ",149
"0035VW-E ",26
"0C8LR9-E ",846
"00BDK5-E ",5713
"0BZXMJ-E ",7
"0D3JSC-E ",34
"06ZMC0-E ",76
"0C82F4-E ",100
"0H9YV9-E ",1
"05Q8QS-E ",0
"0BQC95-E ",2141
"0095M2-E ",297
"0034MV-E ",15729
"0034W4-E ",526
"06JRHQ-E ",0
"0J9PFJ-E ",485
"00FYJ1-E ",225
"05Q5JJ-E ",0
"00C18P-E ",210
"06N313-E ",585
"05VRNL-E ",1235
"05VZ12-E ",0
"0C9JJV-E ",476
"05W71H-E ",846
"05K84F-E ",16520
"05K7SL-E ",1098
"0J24K1-E ",12
"0KLGTW-E ",174
"06GWT3-E ",3
"05SW8P-E ",651
"05K8JX-E ",95
"0D6TX0-E ",101
"05K8QH-E ",507
"060F27-E ",7
"0B3RZS-E ",50
"0GQPT2-E ",397
"0F1W42-E ",581
"07BG5H-E ",2093
"05W9HM-E ",3
"0801RS-E ",4
"06LXNF-E ",993
"0C22RF-E ",0
"0C238L-E ",1116
"0C66L8-E ",108
"002KQG-E ",433
"06F5QT-E ",266
"05SV3G-E ",340
"05SYKJ-E ",9128
"05J8D9-E ",1312344
"06FC9W-E ",446
"07BTPH-E ",1491
"07BXLS-E ",21
"0CKQ25-E ",104
"0CK9YR-E ",9687
"0D4F92-E ",19
"0B4ZR8-E ",5
"0C9VFL-E ",50
"0C7NN6-E ",1015
"0CXSQ6-E ",8
"0CSH3J-E ",268
"05KW07-E ",18
"05LGVK-E ",1435
"05GYGX-E ",45
"05GYYH-E ",75
"05GXT1-E ",60
"002HLZ-E ",10246
"0CYJ9B-E ",103
"07CHQY-E ",0
"0FY672-E ",162
"0CZW9Y-E ",4
"0C7SB2-E ",530
"0GVZRZ-E ",866
"0GNKRM-E ",36
"0C8LR6-E ",262
"0C8FVX-E ",133
"0C8J4V-E ",484
"0C8H1S-E ",292
"0GVGQJ-E ",130
"0036WZ-E ",264
"0DB229-E ",4
"05G783-E ",0
"0036JX-E ",131
"0740W3-E ",187
"0GYF69-E ",289
"0J1HY5-E ",8
"0HV1FP-E ",354
"0F0NC2-E ",41
"0B59F1-E ",13
"0D5G47-E ",239623
"0JRW00-E ",242
"05K8K4-E ",3374
"05K8LL-E ",2291
"05K8KT-E ",6
"071TDM-E ",46
"06LW5H-E ",2857
"0024N0-E ",163
"0C82VJ-E ",108
"006P27-E ",25
"06LW9X-E ",24
"06N1Z3-E ",24
"0BZC4V-E ",4
"0BZ1LR-E ",1263
"0BZK50-E ",26
"00B007-E ",186
"00B6N0-E ",320
"00DQTN-E ",738
"0025H4-E ",8861
"003581-E ",170
"06N34H-E ",5
"06N1QB-E ",5
"05VZ2Z-E ",29
"0C9JR5-E ",219
"00D17X-E ",169
"00D6QM-E ",3310
"0CKR6P-E ",84
"05W7F8-E ",196
"004FBC-E ",162
"0CCQM0-E ",79
"05NSK3-E ",1409
"0DQW1B-E ",24
"0DQLP4-E ",11
"05MWDV-E ",15
"06LKVF-E ",28
"0GTZ3Y-E ",97
"0C7GFW-E ",117
"0G703N-E ",84
"07BFWQ-E ",1
"07BFXT-E ",893
"0CH1V0-E ",138
"0CQ34Y-E ",73
"0C23JG-E ",18
"0C1WXQ-E ",18
"002KM7-E ",534
"05M743-E ",0
"06PCW9-E ",3701
"071B8L-E ",15
"05SVSP-E ",314
"05PLGR-E ",418
"05T4PS-E ",9
"05J8DV-E ",89
"075TTV-E ",0
"0B4RZ5-E ",11217
"0C9SSP-E ",0
"0C7NK7-E ",164
"0CXCPQ-E ",125
"0CSDRT-E ",41
"00D1S8-E ",165
"05GSK4-E ",20667
"05GRW0-E ",23
"0C632F-E ",98
"0C6197-E ",33
"07BHMR-E ",0
"07BLW7-E ",555
"002JV0-E ",627
"07G1VV-E ",1037
"0KJJD4-E ",0
"0FYS8L-E ",279
"0CZQDM-E ",0
"0C7NM9-E ",54
"0C7S48-E ",81
"0CPSFB-E ",131
"0C8GMB-E ",133
"0C8G4P-E ",134
"0DBF6G-E ",4734
"0C7NZ1-E ",127
"0GNQ9C-E ",198
"0D9VD4-E ",1121
"0BZZY0-E ",170
"0HZW02-E ",1805
"07FTBZ-E ",5
"0G07VM-E ",1
"0D5N8T-E ",1643
"05KBDS-E ",5261
"05K7R4-E ",2004
"074009-E ",239
"05TR4S-E ",1937
"0035TW-E ",245
"0024Q5-E ",3719
"0D6QM8-E ",4
"06G8DB-E ",253
"0DM87Y-E ",7
"06N2M6-E ",0
"0BM3WJ-E ",8
"0BYVX5-E ",148
"00BYF5-E ",667
"06N03T-E ",307
"0C267L-E ",188
"00B07H-E ",151
"0HPKBD-E ",3
"05VMK6-E ",178
"002KLD-E ",9456
"0C84G2-E ",41
"00D127-E ",757
"00DCC0-E ",36
"05JXQH-E ",4
"0G50M1-E ",13
"0GVKH0-E ",41
"003SVP-E ",525
"003845-E ",298
"0C67VP-E ",13
"05T0CT-E ",11757
"0BL6KR-E ",136
"0C82GT-E ",0
"0GYPYQ-E ",27
"0F1W09-E ",54
"07BLYR-E ",5
"07BG3X-E ",676
"07ZVTY-E ",0
"05W93B-E ",285
"0046ZB-E ",97
"0801JP-E ",339
"002KK7-E ",0
"05M8BV-E ",18
"05N6BH-E ",0
"05SYQZ-E ",3
"06F058-E ",341
"06F2SM-E ",23
"0718YX-E ",86
"05T76G-E ",469
"05SZ8C-E ",10
"0CKLDK-E ",14
"0B40W6-E ",4
"0C9RVZ-E ",746
"0C9MJ3-E ",532
"0CXMQ7-E ",20
"0CXJ8M-E ",30
"0C914P-E ",152
"05GWH9-E ",1593
"0DD57K-E ",3
"0HHPR0-E ",11
"004D9Q-E ",0
"0CX4WV-E ",494
"0C7RVZ-E ",306
"0CWSLR-E ",255
"002JMH-E ",7394
"05TMB5-E ",90
"0CWYJ3-E ",302
"07G20L-E ",1
"0DV7C1-E ",3731
"0GJ663-E ",11
"0GJ1VW-E ",6
"0F0CVX-E ",246
"0BQHBQ-E ",5
"05G7YC-E ",299
"0B5B7V-E ",1219
"0DBGLY-E ",416
"0BM50M-E ",46
"0H00TZ-E ",94
"0CQ200-E ",0
"0742D8-E ",203
"073XTW-E ",27
"05SVVK-E ",7195
"0035HR-E ",513
"0C8L1F-E ",1470
"0G4YLL-E ",334
"0CXLJK-E ",0
"0034TX-E ",89
"00CF49-E ",1909
"0J3PHD-E ",15
"0G4YM7-E ",114
"00BDBS-E ",110
"05Q931-E ",278
"05K7RV-E ",10
"00CQY0-E ",7965
"0CYG6T-E ",29
"0024VM-E ",136
"0035G5-E ",0
"0HPTGP-E ",21
"0G1FG8-E ",137
"06XS0G-E ",2589
"05VSVF-E ",301
"005F58-E ",2816
"0DJF5B-E ",214
"05MYM5-E ",0
"0C8C05-E ",102
"05VM7X-E ",138
"05VYZJ-E ",316
"0CKMWR-E ",9719
