factset_entity_id,total_aum,entity_sub_type,fds_13f_flag
002HJZ-E,2629,IA,1
002JMT-E,3441,PB,1
002HKC-E,1862,IA,1
002HKG-E,20077,IA,1
002HL1-E,423487,IA,1
0090Q3-E,NULL,HF,0
002JJY-E,7279,HF,1
002HLW-E,12227,IA,1
002JQ6-E,700,IA,1
002JSD-E,61634,IA,1
002JV9-E,530,IA,1
002HLZ-E,204046,IA,1
0091Z1-E,NULL,BR,0
002HJJ-E,1433,IA,1
002HLM-E,552,HF,1
002JYR-E,NULL,IA,1
002HLD-E,NULL,PF,1
002JPD-E,234,PB,1
002JPM-E,5900,IA,1
008F0Y-E,8196,IA,0
002JRV-E,NULL,IA,1
002JV7-E,1620,PB,1
002JWC-E,NULL,IA,1
002K0L-E,822,PB,1
002JPV-E,10829,IA,1
002HJB-E,595011,IA,1
009LR9-E,NULL,BR,0
002HLG-E,2820,IA,1
002JK6-E,11999,IA,1
002JJ1-E,638,PB,1
002K4J-E,13,IA,0
002K59-E,NULL,IA,1
002K5D-E,33,IA,0
002K5H-E,NULL,HF,1
002K7W-E,NULL,IA,1
002K7Y-E,NULL,IA,1
000TRW-E,783,PB,1
002K9T-E,NULL,IA,0
000RGG-E,27664,IA,1
002KC4-E,NULL,IA,1
000VD2-E,74072,IA,0
002KDF-E,70,IA,0
002KF0-E,NULL,VC,0
002KF3-E,NULL,IA,1
002KFT-E,NULL,HF,1
002KJS-E,NULL,HF,1
002KJZ-E,NULL,IA,0
002KK7-E,2100,IA,1
002KM3-E,844,IA,0
002KM6-E,NULL,IA,0
002KMS-E,523,IA,1
002KNH-E,2800,IA,0
002KPT-E,NULL,IA,1
002KQD-E,12740,IA,1
002KS3-E,NULL,IA,1
002KVT-E,NULL,BR,0
002KWD-E,NULL,IA,1
002KX1-E,NULL,IA,0
002KXY-E,NULL,IA,0
002KYG-E,NULL,IA,1
00D13P-E,5977,IA,1
002L39-E,NULL,IA,1
000RBJ-E,NULL,FU,0
000SSQ-E,NULL,CP,0
000SSY-E,NULL,FU,1
000SWB-E,NULL,BR,0
000T57-E,NULL,CP,0
000T90-E,NULL,CP,1
000TBC-E,NULL,IA,1
000TRY-E,NULL,CP,0
000TTB-E,NULL,IA,1
000V4B-E,NULL,CP,0
000V67-E,NULL,CP,0
000VCJ-E,NULL,IN,1
000VKD-E,NULL,HF,0
000VRV-E,NULL,BR,0
000VVS-E,NULL,IA,0
000W5D-E,NULL,IA,0
000W78-E,NULL,IA,0
000WHF-E,NULL,IA,0
000WX9-E,NULL,MF,0
000WYY-E,NULL,CP,0
000X3M-E,NULL,CP,0
000XRL-E,NULL,VC,0
000XTC-E,NULL,VC,0
000XTG-E,NULL,PB,1
000XTX-E,NULL,CP,0
000XYT-E,NULL,CP,0
000Y72-E,NULL,PF,1
000Y7M-E,NULL,IA,1
000YM9-E,NULL,VC,0
000YNK-E,NULL,IA,1
000YRF-E,NULL,IA,0
000YSW-E,NULL,HF,1
000Z08-E,NULL,CP,1
000Z1B-E,NULL,CP,0
000Z45-E,694,HF,0
000Z85-E,NULL,CP,0
002KQG-E,503,PB,1
002K8L-E,967,IA,1
002K8G-E,250008,IA,1
000VDR-E,NULL,IA,0
000RBG-E,4906,IA,1
002KM8-E,52826,IA,1
000Z93-E,129,PB,1
000TNX-E,940638,MF,1
002KQR-E,6051,IA,1
002K53-E,2490,PB,1
000VR8-E,NULL,HF,0
05FW89-E,1829,MF,0
000T3H-E,3235,IA,1
000TGV-E,75348,MF,1
000WWX-E,NULL,MF,1
000WX0-E,117300,PF,1
000XKH-E,39073,IA,1
002KBP-E,12123,IA,1
000V62-E,NULL,FY,1
000VN1-E,157,HF,1
002KKQ-E,499,PB,1
002KM7-E,NULL,PF,1
002KNN-E,NULL,MF,1
002L1Q-E,19407,PB,0
000TWY-E,845936,IA,1
000SX3-E,223037,IA,0
000YND-E,13519,MF,1
000YS6-E,1035310,MF,1
000WMY-E,NULL,IA,1
000Z9P-E,NULL,FU,0
000ZCB-E,NULL,VC,0
000ZF0-E,NULL,CP,0
000ZFK-E,NULL,HF,1
000ZGN-E,NULL,IA,1
001018-E,NULL,CP,0
0010BM-E,NULL,IA,1
0010D8-E,NULL,IA,0
0010H1-E,NULL,CP,1
0010RQ-E,NULL,IA,0
0010TK-E,NULL,VC,0
0010Z7-E,NULL,IA,1
00112V-E,NULL,IA,1
001150-E,24527,IA,1
00116S-E,NULL,HF,1
0011BN-E,11201,VC,0
0011BY-E,NULL,CP,0
0011D1-E,NULL,MF,1
0011HZ-E,NULL,IA,1
0011J1-E,NULL,HF,1
0011JT-E,NULL,CP,0
0011L0-E,NULL,IA,1
0011MR-E,NULL,MF,1
0011NS-E,NULL,IA,1
0011QF-E,NULL,FU,0
0010FM-E,NULL,HF,1
05HM4D-E,7293,IA,0
0011RH-E,NULL,IA,1
0011S4-E,NULL,VC,0
0011SJ-E,NULL,IA,0
0011TB-E,NULL,IA,0
0011TN-E,574,HF,0
0011TW-E,NULL,IA,1
0011TZ-E,NULL,IA,0
0011V4-E,673,PB,1
0011WG-E,NULL,IA,1
0011XG-E,NULL,HF,1
0011XL-E,NULL,FO,0
00120G-E,1365,IA,1
00120M-E,2131,VC,1
00121H-E,NULL,IA,0
00121Y-E,NULL,IA,1
00127C-E,NULL,MF,1
0011M0-E,285931,IA,1
001PSS-E,NULL,BR,0
001PKW-E,16584,IA,1
00114R-E,NULL,IA,0
001Q4T-E,NULL,FY,0
001Q5Q-E,NULL,IA,1
001Q69-E,NULL,FO,0
001Q6P-E,NULL,IA,0
001Q7H-E,NULL,IA,0
001Q94-E,NULL,VC,0
001QCJ-E,NULL,VC,0
05FWH8-E,24856,IA,0
001QPY-E,NULL,BR,0
001QS9-E,NULL,IA,1
001QV0-E,NULL,CP,1
001QW9-E,NULL,HF,1
001QWK-E,NULL,VC,1
001R13-E,NULL,PB,1
001R53-E,NULL,IA,0
001RF0-E,NULL,BR,0
001RK8-E,NULL,IA,1
001RKJ-E,NULL,IA,0
001RLW-E,3915,IA,1
001RPR-E,NULL,IA,1
001RR3-E,NULL,IA,1
001RRZ-E,NULL,VC,0
001S5B-E,NULL,VC,0
001SBP-E,NULL,HF,1
001SPB-E,NULL,IA,1
001SVX-E,NULL,VC,0
001T00-E,NULL,HF,0
001T47-E,NULL,IA,1
001T4W-E,NULL,HF,0
001T9P-E,NULL,HF,1
0010SD-E,NULL,HF,0
001Q8G-E,5024,HF,0
0011WH-E,2095,IA,1
001091-E,4500,IA,1
00122J-E,2719,MF,1
001SHD-E,NULL,HF,0
05GFYX-E,NULL,MF,0
00104F-E,40523,IA,1
001T6F-E,7000,IA,1
001T5F-E,80011,PF,1
05G3L9-E,36809,IA,0
0010SV-E,NULL,IA,1
05HMK1-E,NULL,IA,0
001PRH-E,16840,IA,1
00121D-E,43144,MF,1
001R5D-E,998,PB,1
00103D-E,1630,IA,1
05GSFD-E,59684,IA,0
0010BP-E,4231,IA,1
0010RD-E,NULL,IA,1
00107D-E,1122,PB,1
0011MX-E,NULL,IA,1
000ZXF-E,109109,IA,1
000ZBK-E,15037,IA,1
000ZCN-E,26951,IA,1
0010BL-E,NULL,HF,1
0011Y4-E,1901,HF,1
0011Z0-E,NULL,IA,1
001207-E,19329,PB,1
001R2G-E,772,IA,1
001TKL-E,NULL,VC,0
001TLG-E,NULL,VC,0
001TPC-E,NULL,CP,1
001TY6-E,NULL,CP,0
001TYJ-E,NULL,HF,1
001V8S-E,NULL,HF,1
001VKN-E,NULL,CP,0
001VL8-E,NULL,VC,0
001VMJ-E,NULL,IA,1
001VPR-E,NULL,CP,0
001W41-E,NULL,HF,0
001WF8-E,175,VC,0
001WML-E,NULL,BR,0
001WYK-E,48330,HF,0
001X1F-E,NULL,IA,0
001X30-E,NULL,VC,0
001X83-E,NULL,CP,0
001X87-E,NULL,IA,0
001X8Q-E,NULL,IA,1
001X8R-E,NULL,IA,1
001XCF-E,NULL,IA,1
001XDJ-E,NULL,IA,1
001XLZ-E,NULL,BR,0
001TJR-E,NULL,IA,1
001XN0-E,331,PB,1
001XR1-E,18921,IA,0
001XW9-E,3792,IA,1
001XX6-E,NULL,BR,1
001XY8-E,NULL,IA,0
001Y0B-E,NULL,IA,1
001Y4F-E,NULL,VC,0
001Y4H-E,2004,IA,1
001Y5T-E,NULL,IA,1
001Y5Y-E,112,PB,0
001Y77-E,NULL,VC,0
001Y7K-E,NULL,IA,0
001TLD-E,3854,HF,1
05HMSL-E,NULL,IA,0
001Y8F-E,NULL,HF,1
001XGV-E,804,IA,1
001YB3-E,NULL,PB,0
002XG6-E,450,PB,1
001YJX-E,NULL,IA,0
001TK8-E,67863,HF,1
001YP2-E,NULL,IA,1
001YPY-E,NULL,HF,0
001YQQ-E,NULL,BR,0
002XCX-E,291,IA,1
002XDN-E,8000,VC,0
002XFZ-E,NULL,HF,0
002XG1-E,NULL,PB,1
002XH3-E,NULL,VC,0
002XHM-E,419,VC,1
002XJJ-E,NULL,PB,1
002XL0-E,NULL,IA,1
002XM1-E,NULL,IA,0
002XN8-E,NULL,IA,1
002XRR-E,NULL,IA,1
002XS6-E,900,VC,0
002XT5-E,NULL,BR,0
002XWH-E,NULL,IA,1
002Y0Z-E,NULL,HF,1
05HP67-E,NULL,IA,0
002Y15-E,2040,MF,1
002Y1H-E,3589,IA,1
002Y24-E,NULL,IA,1
002Y2R-E,NULL,IA,0
002Y2T-E,NULL,VC,0
002Y31-E,NULL,HF,1
002Y3M-E,NULL,IA,1
002Y3T-E,NULL,IA,1
001V32-E,NULL,HF,0
002Y34-E,NULL,PB,0
001TRV-E,550,IA,1
001XKH-E,3547,PB,1
001XC9-E,NULL,IA,1
001Y83-E,35157,IA,1
001XQ7-E,4248,IA,1
002XGG-E,721,IA,1
001Y7Z-E,4239,IA,1
05HQ77-E,NULL,PB,0
001YNK-E,NULL,IA,1
001WLL-E,NULL,IA,0
002XSZ-E,10348,IA,1
05HMK8-E,NULL,IA,0
001XF9-E,2951,IA,1
001Y1P-E,1981,IA,1
001WQ7-E,350,IA,1
001X1H-E,2856,IA,1
002XCH-E,4164,PB,1
001YF6-E,4662,IA,1
002Y3N-E,485,PB,1
001YD6-E,48415,HF,1
001YPD-E,NULL,IA,1
002XD5-E,NULL,IA,1
002XR7-E,27686,IA,1
001TNS-E,3167,IA,1
001VR9-E,42972,HF,1
001W3Q-E,NULL,HF,1
001XJ8-E,NULL,PF,1
001XT4-E,179309,IA,1
002Y4L-E,NULL,IA,1
002Y4T-E,NULL,IA,1
002Y6P-E,NULL,HF,1
002Y81-E,NULL,IA,0
002Y95-E,NULL,CP,0
002YBT-E,NULL,IA,0
002YCJ-E,NULL,CP,0
002YKR-E,NULL,IA,1
002YSW-E,NULL,PF,0
05JK9P-E,NULL,PF,0
002Z1L-E,NULL,FO,0
002Z5Y-E,NULL,VC,0
002Z9Y-E,2092,VC,0
002ZDR-E,NULL,CP,0
05HVZX-E,NULL,IA,0
002ZVF-E,NULL,BR,0
002ZVM-E,139,IA,1
002ZXJ-E,NULL,CP,0
002ZZ8-E,58,HF,0
002ZZM-E,NULL,IA,1
003042-E,NULL,HF,1
003046-E,NULL,IA,1
00307Y-E,NULL,IA,1
00308V-E,NULL,IA,0
003099-E,NULL,IA,1
0030B5-E,NULL,IA,0
0030BD-E,NULL,CP,0
0030BP-E,NULL,IA,1
0030BQ-E,NULL,MF,1
05J8NW-E,5720,PB,1
0030F2-E,NULL,IA,0
0030FL-E,NULL,IA,1
003124-E,NULL,VC,0
003166-E,NULL,VC,0
00318B-E,NULL,HF,1
0031BW-E,NULL,VC,0
0031JK-E,NULL,CP,1
00328V-E,47300,VC,0
00328Y-E,NULL,VC,0
0032BS-E,NULL,IA,0
0032BY-E,NULL,IA,1
0032G2-E,NULL,IA,1
0032LY-E,NULL,IA,1
0032QB-E,NULL,IA,1
0032TR-E,NULL,MF,0
0032TV-E,NULL,IA,0
05JNBN-E,908,IA,0
0032VC-E,NULL,HF,1
0032VL-E,456,IA,1
0032VN-E,NULL,IA,1
0032W0-E,NULL,IA,1
0031ZN-E,174,IA,0
002G7F-E,NULL,IA,1
002G8B-E,NULL,CP,0
002G8C-E,NULL,IA,0
002G8M-E,NULL,IA,1
002G8T-E,NULL,VC,1
002G97-E,NULL,IA,1
002GBK-E,NULL,IA,0
002GBN-E,706,PB,1
002GBP-E,NULL,IA,1
002GC0-E,NULL,CP,1
002GD9-E,393,IA,1
002GF2-E,NULL,HF,0
002GF6-E,230,IA,1
002HNG-E,NULL,PB,0
0032LL-E,6915,IA,1
0032CN-E,956,PB,1
05J84P-E,NULL,BR,0
0030CS-E,295,IA,1
0031SR-E,55389,IA,1
0032TD-E,NULL,IA,1
002GB3-E,2780,PB,1
002ZJ6-E,503,HF,1
0032WD-E,4690,PB,1
002GD0-E,5163,IA,1
