factset_fund_id,fsym_id,adj_holding,reported_holding,Desktop Fund AUM
04G2ZY-E,HKM5XZ-S,2.0,2,6
04G2ZY-E,HKM5XZ-S,2.0,2,6
04G2ZY-E,HKM5XZ-S,2.0,2,6
04G4J9-E,HKM5XZ-S,2.0,2,33
04G4J9-E,HKM5XZ-S,2.0,2,33
04G4J9-E,HKM5XZ-S,2.0,2,33
04HKRZ-E,HKM5XZ-S,2.0,2,
04G28W-E,HKM5XZ-S,2.0,2,0
04G28W-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04HKRZ-E,HKM5XZ-S,2.0,2,
04FWCZ-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04FWCZ-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04FWCZ-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04FWCZ-E,HKM5XZ-S,2.0,2,0
04G28Q-E,HKM5XZ-S,2.0,2,0
04G2ZY-E,HKM5XZ-S,2.0,2,6
04FWCZ-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04G28Q-E,HKM5XZ-S,2.0,2,0
04G2ZY-E,HKM5XZ-S,2.0,2,6
04FWCZ-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04G28Q-E,HKM5XZ-S,2.0,2,0
04FWCZ-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04HKRZ-E,HKM5XZ-S,2.0,2,
04FWCZ-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04HKRZ-E,HKM5XZ-S,2.0,2,
04DXM3-E,HKM5XZ-S,2.0,2,
04G28N-E,HKM5XZ-S,2.0,2,0
04H0XX-E,HKM5XZ-S,3.0,3,3
04L14V-E,HKM5XZ-S,3.0,3,110
04KSXW-E,HKM5XZ-S,3.0,3,0
04HM84-E,HKM5XZ-S,3.0,3,0
04JQNK-E,HKM5XZ-S,3.0,3,362
04H0X2-E,HKM5XZ-S,3.0,3,
04HKS2-E,HKM5XZ-S,3.0,3,
04HKS3-E,HKM5XZ-S,3.0,3,
04HKS0-E,HKM5XZ-S,3.0,3,
04HKS2-E,HKM5XZ-S,3.0,3,
04JQNK-E,HKM5XZ-S,3.0,3,362
04G4J9-E,HKM5XZ-S,3.0,3,33
04HVV4-E,HKM5XZ-S,3.0,3,0
04G2ZY-E,HKM5XZ-S,3.0,3,6
04D2YW-E,HKM5XZ-S,3.0,3,0
04G2ZY-E,HKM5XZ-S,3.0,3,6
04G2ZY-E,HKM5XZ-S,3.0,3,6
04JQNK-E,HKM5XZ-S,3.0,3,362
04G2ZY-E,HKM5XZ-S,3.0,3,6
04G2ZY-E,HKM5XZ-S,3.0,3,6
04G2ZY-E,HKM5XZ-S,3.0,3,6
04G2ZY-E,HKM5XZ-S,3.0,3,6
04G2ZY-E,HKM5XZ-S,3.0,3,6
04G2ZY-E,HKM5XZ-S,3.0,3,6
04HKRZ-E,HKM5XZ-S,3.0,3,
04G2ZY-E,HKM5XZ-S,3.0,3,6
04DG5F-E,HKM5XZ-S,3.0,3,
04G2ZY-E,HKM5XZ-S,3.0,3,6
04G2ZY-E,HKM5XZ-S,3.0,3,6
04G2ZY-E,HKM5XZ-S,3.0,3,6
04G2ZY-E,HKM5XZ-S,3.0,3,6
04HXW8-E,HKM5XZ-S,3.0,3,0
04G2ZY-E,HKM5XZ-S,3.0,3,6
04GD24-E,HKM5XZ-S,3.0,3,
04HKRZ-E,HKM5XZ-S,3.0,3,
04HKRZ-E,HKM5XZ-S,3.0,3,
04HKRZ-E,HKM5XZ-S,3.0,3,
04HKRZ-E,HKM5XZ-S,3.0,3,
04DXM3-E,HKM5XZ-S,3.0,3,
04FDJP-E,HKM5XZ-S,3.0,3,
04DCP1-E,HKM5XZ-S,3.0,3,
04HM84-E,HKM5XZ-S,4.0,4,0
04L14V-E,HKM5XZ-S,4.0,4,110
04KR12-E,HKM5XZ-S,4.0,4,47
04KB6S-E,HKM5XZ-S,4.0,4,6
04KR12-E,HKM5XZ-S,4.0,4,47
04KR12-E,HKM5XZ-S,4.0,4,47
04HM84-E,HKM5XZ-S,4.0,4,0
04GGQS-E,HKM5XZ-S,4.0,4,0
04HM84-E,HKM5XZ-S,4.0,4,0
04GGQS-E,HKM5XZ-S,4.0,4,0
04GGQS-E,HKM5XZ-S,4.0,4,0
04HM84-E,HKM5XZ-S,4.0,4,0
04HM84-E,HKM5XZ-S,4.0,4,0
04G2ZY-E,HKM5XZ-S,4.0,4,6
04BHM3-E,HKM5XZ-S,4.0,4,0
04JQNK-E,HKM5XZ-S,4.0,4,362
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04HKRZ-E,HKM5XZ-S,4.0,4,
04H13M-E,HKM5XZ-S,4.0,4,0
04HKRZ-E,HKM5XZ-S,4.0,4,
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04H13M-E,HKM5XZ-S,4.0,4,0
04D1TQ-E,HKM5XZ-S,4.0,4,
04L0TK-E,HKM5XZ-S,5.0,5,41
04JGMW-E,HKM5XZ-S,5.0,5,0
04JGMW-E,HKM5XZ-S,5.0,5,0
04JGMW-E,HKM5XZ-S,5.0,5,0
04JGMW-E,HKM5XZ-S,5.0,5,0
04HM84-E,HKM5XZ-S,5.0,5,0
04KFYN-E,HKM5XZ-S,5.0,5,6326
04JGMW-E,HKM5XZ-S,5.0,5,0
04KFYN-E,HKM5XZ-S,5.0,5,6326
04KFYN-E,HKM5XZ-S,5.0,5,6326
04HM84-E,HKM5XZ-S,5.0,5,0
04HM84-E,HKM5XZ-S,5.0,5,0
04HM84-E,HKM5XZ-S,5.0,5,0
04JM45-E,HKM5XZ-S,5.0,5,
04G2ZY-E,HKM5XZ-S,5.0,5,6
04JM45-E,HKM5XZ-S,5.0,5,
04JM45-E,HKM5XZ-S,5.0,5,
04GD24-E,HKM5XZ-S,5.0,5,
04D1TR-E,HKM5XZ-S,5.0,5,
04D1TS-E,HKM5XZ-S,5.0,5,
04FDJP-E,HKM5XZ-S,5.0,5,
04FDJP-E,HKM5XZ-S,5.0,5,
04G2ZY-E,HKM5XZ-S,6.0,6,6
04G2ZY-E,HKM5XZ-S,6.0,6,6
04G2ZY-E,HKM5XZ-S,6.0,6,6
04K94Z-E,HKM5XZ-S,6.0,6,6
04KB6S-E,HKM5XZ-S,6.0,6,6
04BQ4R-E,HKM5XZ-S,6.0,6,6
04GJRY-E,HKM5XZ-S,6.0,6,28
04BQ4R-E,HKM5XZ-S,6.0,6,6
04K94Z-E,HKM5XZ-S,6.0,6,6
04BQ4R-E,HKM5XZ-S,6.0,6,6
04BQ4R-E,HKM5XZ-S,6.0,6,6
04DX83-E,HKM5XZ-S,6.0,6,0
04DX83-E,HKM5XZ-S,6.0,6,0
04BQ4R-E,HKM5XZ-S,6.0,6,6
04HM84-E,HKM5XZ-S,6.0,6,0
04HM84-E,HKM5XZ-S,6.0,6,0
04HKRZ-E,HKM5XZ-S,6.0,6,
04BQ4R-E,HKM5XZ-S,6.0,6,6
04BQ4R-E,HKM5XZ-S,6.0,6,6
04G2ZY-E,HKM5XZ-S,6.0,6,6
04G2ZY-E,HKM5XZ-S,6.0,6,6
04G2ZY-E,HKM5XZ-S,6.0,6,6
04G2ZY-E,HKM5XZ-S,6.0,6,6
04G2ZY-E,HKM5XZ-S,6.0,6,6
04G2ZY-E,HKM5XZ-S,6.0,6,6
04G2ZY-E,HKM5XZ-S,6.0,6,6
04G2ZY-E,HKM5XZ-S,6.0,6,6
04G2ZY-E,HKM5XZ-S,6.0,6,6
04G2ZY-E,HKM5XZ-S,6.0,6,6
04G2ZY-E,HKM5XZ-S,6.0,6,6
04G2ZY-E,HKM5XZ-S,6.0,6,6
04F9HZ-E,HKM5XZ-S,6.0,6,
04F5K0-E,HKM5XZ-S,6.0,6,
04FYCR-E,HKM5XZ-S,6.0,6,
04F5K0-E,HKM5XZ-S,6.0,6,
04L7H9-E,HKM5XZ-S,7.0,7,7
04L7H9-E,HKM5XZ-S,7.0,7,7
04C69Y-E,HKM5XZ-S,7.0,7,8
04L0TJ-E,HKM5XZ-S,7.0,7,23
04KB6S-E,HKM5XZ-S,7.0,7,6
04BV2P-E,HKM5XZ-S,7.0,7,0
04HM53-E,HKM5XZ-S,7.0,7,0
