factset_entity_id,total_aum,equity_aum,Desktop Institution AUM,Desktop Institution Equity AUM,Difference AUM,Difference Equity AUM
002CBF-E ,2163,2054,2163,2054,0,0
002CCB-E ,2285,1632,2285,1632,0,0
002CDB-E ,118946,58753,118946,58753,0,0
002CH3-E ,25107,19200,25107,19200,0,0
002CHW-E ,3428,3079,3428,3079,0,0
002CM4-E ,1048,228,1048,228,0,0
002CS5-E ,18699,1141,18699,1141,0,0
002CT0-E ,1054,539,1054,539,0,0
002CZ9-E ,,189,,189,0,0
002D46-E ,7646,5031,7646,5031,0,0
002D5Y-E ,,8402,,8402,0,0
002D6G-E ,4339,1806,4339,1806,0,0
002D80-E ,,0,,0,0,0
002DBD-E ,3181,49,3181,49,0,0
002DC8-E ,151,137,151,137,0,0
002DDZ-E ,,0,,6242,0,-6242
002DFH-E ,609,559,609,559,0,0
002DFS-E ,13494,7554,13494,7554,0,0
002DKP-E ,874,876,874,876,0,0
002DJT-E ,,26385,,26385,0,0
002DRR-E ,227800,50308,227800,50308,0,0
002DZN-E ,,1722,,1722,0,0
002F4J-E ,7845,986,7845,986,0,0
002F9P-E ,14600,7408,14600,7408,0,0
002G76-E ,347,182,347,182,0,0
002FH8-E ,,129,,129,0,0
002FMY-E ,,8,,8,0,0
002FPX-E ,,5704,,5704,0,0
002FQB-E ,1789,1168,1789,1168,0,0
002FRN-E ,,1019,,1019,0,0
002FSK-E ,,231,,231,0,0
002FTH-E ,358772,48313,358772,48313,0,0
002FVQ-E ,25937,14515,25937,14515,0,0
002FYM-E ,490,254,490,254,0,0
002FYS-E ,4530139,3111854,4530139,3111854,0,0
002FZ2-E ,1342,859,1342,859,0,0
002G2B-E ,1322,1117,1322,1117,0,0
002G44-E ,1202,825,1202,825,0,0
002G4S-E ,697,583,697,583,0,0
002G53-E ,10893,7474,10893,7474,0,0
002G5X-E ,42442,18870,42442,18870,0,0
002G63-E ,527,368,527,368,0,0
002G6D-E ,11525,10893,11525,10893,0,0
002G71-E ,260,0,260,0,0,0
002G77-E ,546,339,546,339,0,0
002G7F-E ,,427,,427,0,0
002G7V-E ,339,308,339,308,0,0
002G8H-E ,1343,1165,1343,1165,0,0
002G8N-E ,10074,1603,10074,1603,0,0
002G95-E ,,204,,204,0,0
002BZT-E ,,583,,583,0,0
002G84-E ,1421,905,1421,905,0,0
002GCJ-E ,778,698,778,698,0,0
002GB3-E ,2780,2132,2780,2132,0,0
002GB5-E ,206398,49809,206398,49809,0,0
002GBN-E ,706,604,779,604,-73,0
002GBT-E ,,5035,,5035,0,0
002GD0-E ,5163,1519,5163,1519,0,0
002GD9-E ,393,240,393,240,0,0
002GDT-E ,,19371,,19371,0,0
002GFH-E ,2938,1505,2938,1505,0,0
002GG1-E ,1959,1200,1959,1200,0,0
002GG4-E ,1613,890,1613,890,0,0
002GG9-E ,,9307,,9307,0,0
002GGK-E ,1693,891,1693,891,0,0
002GKD-E ,10989,9971,10989,9971,0,0
002GHH-E ,846,734,846,734,0,0
002GMZ-E ,239,219,239,219,0,0
002GJQ-E ,135,117,135,117,0,0
002GL5-E ,1416,1203,1416,1203,0,0
002GL7-E ,12600,2318,12600,2318,0,0
002GLF-E ,5469,2153,5469,2153,0,0
002GLK-E ,1001,596,1001,596,0,0
002GLY-E ,16000,2924,16000,2924,0,0
002GMB-E ,606,532,606,532,0,0
002GMC-E ,644,551,644,551,0,0
002GN4-E ,831,235,831,235,0,0
002GQ5-E ,682,581,682,581,0,0
002GQB-E ,1175,86,1175,86,0,0
002GQJ-E ,512,272,512,272,0,0
002GQX-E ,830,497,830,497,0,0
002GRW-E ,,0,,0,0,0
002GRZ-E ,,394,,394,0,0
002GSB-E ,5961,3611,5961,3611,0,0
002GSP-E ,,919,,919,0,0
002GT6-E ,47656,107,47656,107,0,0
002GTP-E ,12559,11263,12559,11263,0,0
002GTQ-E ,83005,4987,83005,4987,0,0
002V49-E ,,2,,2,0,0
002GTZ-E ,10421,4628,10421,4628,0,0
002GVB-E ,934,645,934,645,0,0
002GVK-E ,4994,2633,4994,2633,0,0
002GVN-E ,,5755,,5755,0,0
002GVY-E ,,32411,,32411,0,0
002GW3-E ,1144,646,1144,646,0,0
002GWD-E ,934,662,812,662,122,0
002GWH-E ,4532,680,4532,680,0,0
002GWM-E ,2961,1289,2961,1289,0,0
002GWP-E ,500,471,500,471,0,0
002GX7-E ,298,224,298,224,0,0
002GXQ-E ,2000,1297,2000,1297,0,0
002GYB-E ,638,583,638,583,0,0
002VWN-E ,,76,,76,0,0
002GF6-E ,230,209,230,209,0,0
002GYH-E ,265,173,256,173,9,0
002GYZ-E ,,5593,,5593,0,0
002GZ0-E ,600,323,600,323,0,0
002GZG-E ,27964,2752,27964,2752,0,0
002GZM-E ,2403,350,2403,350,0,0
002GZN-E ,,482,,482,0,0
002H07-E ,,830,,830,0,0
002H12-E ,,43905,,43905,0,0
002H13-E ,2186,1877,2186,1877,0,0
002H7G-E ,1442,128,1442,128,0,0
002H1F-E ,26523,24270,26523,24270,0,0
002H1T-E ,527,168,527,168,0,0
002H27-E ,,0,,0,0,0
002H2F-E ,196,173,196,173,0,0
002H2R-E ,8741,7795,8741,7795,0,0
00302P-E ,1255,374,1255,374,0,0
002H2Z-E ,101912,3486,101912,3486,0,0
002H3C-E ,6126,3062,6126,3062,0,0
002H3G-E ,1040,584,1040,584,0,0
002H3J-E ,212,174,212,174,0,0
002H3P-E ,,251,,251,0,0
002H3Q-E ,16574,6811,16574,6811,0,0
0030BJ-E ,,28,,28,0,0
002H43-E ,44050,23878,44050,23878,0,0
002H51-E ,1969,642,1969,642,0,0
002H53-E ,102846,49404,108249,49404,-5403,0
002H5C-E ,1010,657,1010,657,0,0
002H5F-E ,1216,965,1216,965,0,0
002H5M-E ,,648,,648,0,0
00382L-E ,53,0,53,0,0,0
002H5W-E ,184,118,184,118,0,0
002H6S-E ,348,260,348,260,0,0
002H6W-E ,433,274,360,274,73,0
002H71-E ,158,128,158,128,0,0
002H7B-E ,22258,11315,22258,11315,0,0
003B4W-E ,133,1,133,1,0,0
002H7K-E ,1251,905,1251,905,0,0
002H7S-E ,3730,1375,3730,1375,0,0
002H7Y-E ,,63442,,63442,0,0
002H7Z-E ,845,754,845,754,0,0
002H8C-E ,,134,,134,0,0
002H8D-E ,832,715,832,715,0,0
002H8L-E ,826,736,826,736,0,0
002H8W-E ,2965,2670,2965,2670,0,0
002H98-E ,,0,,0,0,0
002H99-E ,1525,1117,1525,1117,0,0
002H9D-E ,1159,791,1159,791,0,0
002H9G-E ,1006,594,1006,594,0,0
002H9M-E ,9016,7703,9016,7703,0,0
002H9P-E ,1638,969,1638,969,0,0
002H9X-E ,,726,,726,0,0
002H63-E ,,1407,,1407,0,0
002HB2-E ,,288,,288,0,0
002HB4-E ,733,468,733,468,0,0
002HB7-E ,33000,26061,33000,26061,0,0
002HBD-E ,8812,6935,8812,6935,0,0
002HGH-E ,9458,8820,9458,8820,0,0
002HBS-E ,154,65,154,65,0,0
002HCG-E ,3260,3040,3260,3040,0,0
002HCH-E ,358,252,358,252,0,0
002HCK-E ,,435,,435,0,0
002HCN-E ,,942,,942,0,0
002HCR-E ,968,806,968,806,0,0
002HCT-E ,928,547,928,547,0,0
002HD4-E ,46,32,36,32,10,0
002HDD-E ,,582,,582,0,0
002HDF-E ,2671,2398,2671,2398,0,0
002HDL-E ,,1990,,1990,0,0
002HDX-E ,417,349,417,349,0,0
002HDY-E ,5886,203,5886,203,0,0
002HDZ-E ,718,648,718,648,0,0
002HF5-E ,7861,63,7861,63,0,0
002HFB-E ,651,449,651,449,0,0
002HFD-E ,7495,250,7495,250,0,0
002HFG-E ,300,190,300,190,0,0
002HFK-E ,,425,,425,0,0
003C2C-E ,255,52,255,52,0,0
002HFT-E ,393,106,393,106,0,0
002HFV-E ,2010,1863,2010,1863,0,0
002HFW-E ,870,533,870,533,0,0
002HFX-E ,6733,1690,6733,1690,0,0
002HFZ-E ,36962,6144,36962,6144,0,0
002HG1-E ,157,131,157,131,0,0
002HGC-E ,727,543,727,543,0,0
002HGF-E ,105844,74648,105844,74648,0,0
003C3L-E ,135000,4909,135000,4909,0,0
002HGM-E ,579,526,579,526,0,0
002HGP-E ,2218,1266,2218,1266,0,0
002HGQ-E ,789,623,789,623,0,0
002HGS-E ,224,139,224,139,0,0
002HGT-E ,,13609,,13609,0,0
002HGV-E ,26613,3,26613,3,0,0
002HGW-E ,1374,913,1374,913,0,0
003GWP-E ,157,31,157,31,0,0
002HH0-E ,842,453,842,453,0,0
002HH7-E ,618,149,618,149,0,0
002HH8-E ,1349,878,1349,878,0,0
002HHG-E ,38439,1110,38439,1110,0,0
002HHL-E ,1829,1498,1829,1498,0,0
002HHQ-E ,35284,5027,35284,5027,0,0
002HHS-E ,1269,693,1269,693,0,0
002HJ2-E ,,4119,,4119,0,0
002HJB-E ,595011,105206,595011,105206,0,0
002HJF-E ,5100,1993,5100,1993,0,0
002HJG-E ,733,0,733,0,0,0
002HJJ-E ,1433,497,1433,497,0,0
003H25-E ,,165,,165,0,0
002HJR-E ,1788,948,1788,948,0,0
002HJZ-E ,2629,595,2629,595,0,0
002HKC-E ,1862,534,1862,534,0,0
002HKG-E ,20077,1315,20077,1315,0,0
002HKT-E ,1311,897,1311,897,0,0
002HKW-E ,301,143,301,143,0,0
002HL1-E ,423487,243296,423487,243296,0,0
002HSM-E ,3000,507,3000,507,0,0
002HLD-E ,,2056,,2056,0,0
002HLG-E ,2820,713,2820,713,0,0
002HLM-E ,552,319,470,319,82,0
002HLW-E ,12227,8562,12227,8562,0,0
002HLZ-E ,204046,10246,204046,10246,0,0
002HM2-E ,,0,NO DATA,NO DATA,---,---
002HMD-E ,,485,,485,0,0
002HMF-E ,9467,529,9467,529,0,0
002HMM-E ,4422,3976,4422,3976,0,0
002HMP-E ,,233,,233,0,0
002HMY-E ,3272,966,3272,966,0,0
002HN1-E ,8677,5359,8677,5359,0,0
002HNF-E ,,14849,,14849,0,0
002HNJ-E ,1030,561,1030,561,0,0
002HNL-E ,491,422,449,422,42,0
002HNP-E ,4616,2413,4616,2413,0,0
002HNS-E ,331,214,331,214,0,0
002HNZ-E ,854,622,854,622,0,0
002HP4-E ,20570,187,20570,187,0,0
002HP5-E ,295853,109447,295853,109447,0,0
002HPC-E ,207601,184048,207601,184048,0,0
002HPL-E ,807,618,807,618,0,0
002HPS-E ,3820,86,3820,86,0,0
002HPX-E ,1307,247,1307,247,0,0
002HQM-E ,34946,7412,34946,7412,0,0
002HQQ-E ,902,606,902,606,0,0
002HQY-E ,27726,16534,27726,16534,0,0
002HR5-E ,2405,1142,2405,1142,0,0
003KZ8-E ,,27,,27,0,0
002HRB-E ,422,372,422,372,0,0
002HRF-E ,16311,601,16311,601,0,0
002HRL-E ,31340,896,31340,896,0,0
002HRN-E ,,1294,,1294,0,0
002HRQ-E ,2768,1066,2768,1066,0,0
002HRR-E ,878,13,878,13,0,0
002HS2-E ,513,338,513,338,0,0
002HS6-E ,420,232,420,232,0,0
002HSF-E ,,0,,0,0,0
002HSL-E ,4966,2884,4966,2884,0,0
002HRC-E ,5129,3562,5129,3562,0,0
002HSV-E ,1343,420,1343,420,0,0
002HSX-E ,1275,1116,1275,1116,0,0
002HT0-E ,182,105,182,105,0,0
002HTF-E ,,1623,,1623,0,0
002HTG-E ,39549,35,39549,35,0,0
002HTK-E ,,216083,,216083,0,0
002HTL-E ,247,192,297,192,-50,0
002HTR-E ,588,343,588,343,0,0
002HTZ-E ,23879,19376,23879,19376,0,0
002HVP-E ,715,500,715,500,0,0
002HVY-E ,2104,1961,2104,1961,0,0
002HVZ-E ,1840,1070,1840,1070,0,0
002HW4-E ,1488,631,1488,631,0,0
002HWR-E ,954,553,954,553,0,0
002HWS-E ,,25311,,25311,0,0
002HWY-E ,1450,1272,1450,1272,0,0
002HX7-E ,,3107,,3107,0,0
002HXB-E ,1419,756,1419,756,0,0
002HXC-E ,199,50,167,50,32,0
002HVN-E ,1478,327,1478,327,0,0
002HXS-E ,1155,770,1155,770,0,0
002HXV-E ,1851,162,1851,162,0,0
002HXZ-E ,,7805,,7805,0,0
002HY9-E ,260,133,260,133,0,0
002HYD-E ,346834,77321,346834,77321,0,0
002HYG-E ,814,641,814,641,0,0
003Q8H-E ,,0,,0,0,0
002HYS-E ,2063,1202,2063,1202,0,0
002HYZ-E ,,847,,847,0,0
002HZL-E ,290,234,290,234,0,0
