factset_entity_id,total_aum,equity_aum,Desktop Institution AUM,Desktop Institution Equity AUM
001TNS-E ,3167.0,1335,N/A,N/A
002B2S-E ,,15,N/A,N/A
002BX9-E ,,3,N/A,N/A
001VPR-E ,,10881,N/A,N/A
001VR9-E ,42972.0,2807,N/A,N/A
001W3Q-E ,,5626,N/A,N/A
002FPM-E ,195.0,150,N/A,N/A
001WQ7-E ,350.0,282,N/A,N/A
001X1H-E ,2856.0,1892,N/A,N/A
001XC9-E ,,5322,N/A,N/A
001XF9-E ,2951.0,1835,N/A,N/A
001XGV-E ,804.0,630,N/A,N/A
001XJ8-E ,,9404,N/A,N/A
001XKH-E ,3547.0,2740,N/A,N/A
001XN0-E ,331.0,290,N/A,N/A
001XP1-E ,50384.0,41758,N/A,N/A
001XPP-E ,,621,N/A,N/A
001XQ7-E ,4248.0,1022,N/A,N/A
001XT4-E ,179309.0,20046,N/A,N/A
001XW9-E ,3792.0,2111,N/A,N/A
001Y1P-E ,1981.0,1507,N/A,N/A
001Y5Y-E ,112.0,0,N/A,N/A
001Y7Z-E ,4239.0,2710,N/A,N/A
001Y81-E ,197.0,0,N/A,N/A
001Y83-E ,35157.0,36754,N/A,N/A
001Y8B-E ,22105.0,10693,N/A,N/A
001Y9W-E ,806.0,374,N/A,N/A
001YCG-E ,2749.0,1669,N/A,N/A
001YD6-E ,43048.0,6128,N/A,N/A
001YF6-E ,4662.0,2383,N/A,N/A
001YN3-E ,4134.0,2596,N/A,N/A
001YNK-E ,,371,N/A,N/A
001YPD-E ,,268,N/A,N/A
001YQZ-E ,341.0,276,N/A,N/A
001YV7-E ,,0,N/A,N/A
001YWB-E ,,8830,N/A,N/A
001YX3-E ,41520.0,4082,N/A,N/A
001Z1L-E ,597.0,535,N/A,N/A
001Z2Y-E ,41047.0,308,N/A,N/A
001Z5Y-E ,,126,N/A,N/A
001Z6B-E ,441.0,356,N/A,N/A
001Z79-E ,108.0,80,N/A,N/A
001ZF3-E ,163328.0,45090,N/A,N/A
001ZHV-E ,,107349,N/A,N/A
002G25-E ,10519.0,7954,N/A,N/A
001ZNW-E ,985.0,676,N/A,N/A
001ZP6-E ,,1818,N/A,N/A
001ZQ5-E ,252.0,133,N/A,N/A
001ZTT-E ,2428.0,1396,N/A,N/A
002H4C-E ,249.0,30,N/A,N/A
001ZY1-E ,,14079,N/A,N/A
002082-E ,433.0,229,N/A,N/A
00208Z-E ,,1140,N/A,N/A
00209B-E ,1569.0,989,N/A,N/A
0020GL-E ,,25060,N/A,N/A
0020GT-E ,,0,N/A,N/A
0020QN-E ,1480.0,1370,N/A,N/A
0020T6-E ,544.0,0,N/A,N/A
0020WJ-E ,4817.0,3643,N/A,N/A
0020Z0-E ,,148,N/A,N/A
0021HG-E ,8292.0,3001,N/A,N/A
0021QB-E ,,115,N/A,N/A
0021VT-E ,,525,N/A,N/A
0022CW-E ,15439.0,5637,N/A,N/A
0022H4-E ,32100.0,17405,N/A,N/A
0022J9-E ,147.0,98,N/A,N/A
002340-E ,3321.0,1387,N/A,N/A
002384-E ,827.0,658,N/A,N/A
002187-E ,22619.0,19888,N/A,N/A
0023GR-E ,1418.0,1137,N/A,N/A
00245B-E ,744.0,242,N/A,N/A
0024GN-E ,295.0,213,N/A,N/A
0024MZ-E ,45758.0,13288,N/A,N/A
0024N0-E ,1944042.0,163,N/A,N/A
0024Q4-E ,21353.0,3530,N/A,N/A
002HGY-E ,,101,N/A,N/A
0024SV-E ,,28347,N/A,N/A
0024VM-E ,,137,N/A,N/A
0024VP-E ,36550.0,521,N/A,N/A
0024XL-E ,301.0,226,N/A,N/A
00250F-E ,31400.0,16554,N/A,N/A
002HJM-E ,,749,N/A,N/A
0025QG-E ,,1896,N/A,N/A
002656-E ,15990.0,5636,N/A,N/A
0026D8-E ,224.0,133,N/A,N/A
0026PX-E ,,430,N/A,N/A
0027L0-E ,,4,N/A,N/A
0027V1-E ,,0,N/A,N/A
002LG5-E ,,0,N/A,N/A
002RD1-E ,,15,N/A,N/A
0029XN-E ,3000.0,3515,N/A,N/A
002S10-E ,,2,N/A,N/A
002B3Q-E ,,78241,N/A,N/A
002B44-E ,,0,N/A,N/A
002B7K-E ,1700.0,879,N/A,N/A
002BRP-E ,,37602,N/A,N/A
002SGG-E ,5.0,1,N/A,N/A
002S5Q-E ,,1,N/A,N/A
002BS9-E ,2758.0,2220,N/A,N/A
002BSH-E ,102955.0,48101,N/A,N/A
002D91-E ,30800.0,24634,N/A,N/A
002BY9-E ,25320.0,56,N/A,N/A
002C1K-E ,,70,N/A,N/A
002C2Z-E ,159307.0,117624,N/A,N/A
002CBF-E ,2163.0,2054,N/A,N/A
002CCB-E ,2285.0,1632,N/A,N/A
002CDB-E ,118946.0,58753,N/A,N/A
002CH3-E ,25107.0,19200,N/A,N/A
002CHW-E ,3428.0,3079,N/A,N/A
002CM4-E ,1048.0,228,N/A,N/A
002CS5-E ,18699.0,1141,N/A,N/A
002CT0-E ,1054.0,539,N/A,N/A
002CZ9-E ,,189,N/A,N/A
002D46-E ,7646.0,5031,N/A,N/A
002D5Y-E ,,8402,N/A,N/A
002D6G-E ,4339.0,1806,N/A,N/A
002D80-E ,,0,N/A,N/A
002DBD-E ,3181.0,49,N/A,N/A
002DC8-E ,151.0,137,N/A,N/A
002DDZ-E ,,0,N/A,N/A
002DFH-E ,609.0,559,N/A,N/A
002DFS-E ,13494.0,7554,N/A,N/A
002DKP-E ,874.0,876,N/A,N/A
002DJT-E ,,26385,N/A,N/A
002DRR-E ,227800.0,50308,N/A,N/A
002DZN-E ,,1722,N/A,N/A
002F4J-E ,7845.0,986,N/A,N/A
002F9P-E ,14600.0,7408,N/A,N/A
002G76-E ,347.0,182,N/A,N/A
002FH8-E ,,129,N/A,N/A
002FMY-E ,,8,N/A,N/A
002FPX-E ,,5704,N/A,N/A
002FQB-E ,1789.0,1168,N/A,N/A
002FRN-E ,,1019,N/A,N/A
002FSK-E ,,231,N/A,N/A
002FTH-E ,358772.0,48313,N/A,N/A
002FVQ-E ,25937.0,14515,N/A,N/A
002FYM-E ,490.0,254,N/A,N/A
002FYS-E ,4530139.0,3111854,N/A,N/A
002FZ2-E ,1342.0,859,N/A,N/A
002G2B-E ,1322.0,1117,N/A,N/A
002G44-E ,1202.0,825,N/A,N/A
002G4S-E ,697.0,583,N/A,N/A
002G53-E ,10893.0,7474,N/A,N/A
002G5X-E ,42442.0,18870,N/A,N/A
002G63-E ,527.0,368,N/A,N/A
002G6D-E ,11525.0,10893,N/A,N/A
002G71-E ,260.0,0,N/A,N/A
002G77-E ,546.0,339,N/A,N/A
002G7F-E ,,427,N/A,N/A
002G7V-E ,339.0,308,N/A,N/A
002G8H-E ,1343.0,1165,N/A,N/A
002G8N-E ,10074.0,1603,N/A,N/A
002G95-E ,,204,N/A,N/A
002BZT-E ,,583,N/A,N/A
002G84-E ,1421.0,905,N/A,N/A
002GCJ-E ,778.0,698,N/A,N/A
002GB3-E ,2780.0,2132,N/A,N/A
002GB5-E ,206398.0,49809,N/A,N/A
002GBN-E ,706.0,604,N/A,N/A
002GBT-E ,,5035,N/A,N/A
002GD0-E ,5163.0,1519,N/A,N/A
002GD9-E ,393.0,240,N/A,N/A
002GDT-E ,,19371,N/A,N/A
002GFH-E ,2938.0,1505,N/A,N/A
002GG1-E ,1959.0,1200,N/A,N/A
002GG4-E ,1613.0,890,N/A,N/A
002GG9-E ,,9307,N/A,N/A
002GGK-E ,1693.0,891,N/A,N/A
002GKD-E ,10989.0,9971,N/A,N/A
002GHH-E ,846.0,734,N/A,N/A
002GMZ-E ,239.0,219,N/A,N/A
002GJQ-E ,135.0,117,N/A,N/A
002GL5-E ,1416.0,1203,N/A,N/A
002GL7-E ,12600.0,2318,N/A,N/A
002GLF-E ,5469.0,2153,N/A,N/A
002GLK-E ,1001.0,596,N/A,N/A
002GLY-E ,16000.0,2924,N/A,N/A
002GMB-E ,606.0,532,N/A,N/A
002GMC-E ,644.0,551,N/A,N/A
002GN4-E ,831.0,235,N/A,N/A
002GQ5-E ,682.0,581,N/A,N/A
002GQB-E ,1175.0,86,N/A,N/A
002GQJ-E ,512.0,272,N/A,N/A
002GQX-E ,830.0,497,N/A,N/A
002GRW-E ,,0,N/A,N/A
002GRZ-E ,,394,N/A,N/A
002GSB-E ,5961.0,3611,N/A,N/A
002GSP-E ,,919,N/A,N/A
002GT6-E ,47656.0,107,N/A,N/A
002GTP-E ,12559.0,11263,N/A,N/A
002GTQ-E ,83005.0,4987,N/A,N/A
002V49-E ,,2,N/A,N/A
002GTZ-E ,10421.0,4628,N/A,N/A
002GVB-E ,934.0,645,N/A,N/A
002GVK-E ,4994.0,2633,N/A,N/A
002GVN-E ,,5755,N/A,N/A
002GVY-E ,,32411,N/A,N/A
002GW3-E ,1144.0,646,N/A,N/A
002GWD-E ,934.0,662,N/A,N/A
002GWH-E ,4532.0,680,N/A,N/A
002GWM-E ,2961.0,1289,N/A,N/A
002GWP-E ,500.0,471,N/A,N/A
002GX7-E ,298.0,224,N/A,N/A
002GXQ-E ,2000.0,1297,N/A,N/A
002GYB-E ,638.0,583,N/A,N/A
002VWN-E ,,76,N/A,N/A
002GF6-E ,230.0,209,N/A,N/A
002GYH-E ,265.0,173,N/A,N/A
002GYZ-E ,,5593,N/A,N/A
002GZ0-E ,600.0,323,N/A,N/A
002GZG-E ,27964.0,2752,N/A,N/A
002GZM-E ,2403.0,350,N/A,N/A
002GZN-E ,,482,N/A,N/A
002H07-E ,,830,N/A,N/A
002H12-E ,,43905,N/A,N/A
002H13-E ,2186.0,1877,N/A,N/A
002H7G-E ,1442.0,128,N/A,N/A
002H1F-E ,26523.0,24270,N/A,N/A
002H1T-E ,527.0,168,N/A,N/A
002H27-E ,,0,N/A,N/A
002H2F-E ,196.0,173,N/A,N/A
002H2R-E ,8741.0,7795,N/A,N/A
00302P-E ,1255.0,374,N/A,N/A
002H2Z-E ,101912.0,3486,N/A,N/A
002H3C-E ,6126.0,3062,N/A,N/A
002H3G-E ,1040.0,584,N/A,N/A
002H3J-E ,212.0,174,N/A,N/A
002H3P-E ,,251,N/A,N/A
002H3Q-E ,16574.0,6811,N/A,N/A
0030BJ-E ,,28,N/A,N/A
002H43-E ,44050.0,23878,N/A,N/A
002H51-E ,1969.0,642,N/A,N/A
002H53-E ,102846.0,49404,N/A,N/A
002H5C-E ,1010.0,657,N/A,N/A
002H5F-E ,1216.0,965,N/A,N/A
002H5M-E ,,648,N/A,N/A
00382L-E ,53.0,0,N/A,N/A
002H5W-E ,184.0,118,N/A,N/A
002H6S-E ,348.0,260,N/A,N/A
002H6W-E ,433.0,274,N/A,N/A
002H71-E ,158.0,128,N/A,N/A
002H7B-E ,22258.0,11315,N/A,N/A
003B4W-E ,133.0,1,N/A,N/A
002H7K-E ,1251.0,905,N/A,N/A
002H7S-E ,3730.0,1375,N/A,N/A
002H7Y-E ,,63442,N/A,N/A
002H7Z-E ,845.0,754,N/A,N/A
002H8C-E ,,134,N/A,N/A
002H8D-E ,832.0,715,N/A,N/A
002H8L-E ,826.0,736,N/A,N/A
002H8W-E ,2965.0,2670,N/A,N/A
002H98-E ,,0,N/A,N/A
002H99-E ,1525.0,1117,N/A,N/A
002H9D-E ,1159.0,791,N/A,N/A
002H9G-E ,1006.0,594,N/A,N/A
002H9M-E ,9016.0,7703,N/A,N/A
002H9P-E ,1638.0,969,N/A,N/A
002H9X-E ,,726,N/A,N/A
002H63-E ,,1407,N/A,N/A
002HB2-E ,,288,N/A,N/A
002HB4-E ,733.0,468,N/A,N/A
002HB7-E ,33000.0,26061,N/A,N/A
002HBD-E ,8812.0,6935,N/A,N/A
002HGH-E ,9458.0,8820,N/A,N/A
002HBS-E ,154.0,65,N/A,N/A
002HCG-E ,3260.0,3040,N/A,N/A
002HCH-E ,358.0,252,N/A,N/A
002HCK-E ,,435,N/A,N/A
002HCN-E ,,942,N/A,N/A
002HCR-E ,968.0,806,N/A,N/A
002HCT-E ,928.0,547,N/A,N/A
002HD4-E ,46.0,32,N/A,N/A
002HDD-E ,,582,N/A,N/A
002HDF-E ,2671.0,2398,N/A,N/A
002HDL-E ,,1990,N/A,N/A
002HDX-E ,417.0,349,N/A,N/A
002HDY-E ,5886.0,203,N/A,N/A
002HDZ-E ,718.0,648,N/A,N/A
002HF5-E ,7861.0,63,N/A,N/A
002HFB-E ,651.0,449,N/A,N/A
002HFD-E ,7495.0,250,N/A,N/A
002HFG-E ,300.0,190,N/A,N/A
002HFK-E ,,425,N/A,N/A
003C2C-E ,255.0,52,N/A,N/A
002HFT-E ,393.0,106,N/A,N/A
002HFV-E ,2010.0,1863,N/A,N/A
002HFW-E ,870.0,533,N/A,N/A
002HFX-E ,6733.0,1690,N/A,N/A
002HFZ-E ,36962.0,6144,N/A,N/A
002HG1-E ,157.0,131,N/A,N/A
002HGC-E ,727.0,543,N/A,N/A
002HGF-E ,105844.0,74648,N/A,N/A
003C3L-E ,135000.0,4909,N/A,N/A
002HGM-E ,579.0,526,N/A,N/A
002HGP-E ,2218.0,1266,N/A,N/A
002HGQ-E ,789.0,623,N/A,N/A
002HGS-E ,224.0,139,N/A,N/A
002HGT-E ,,13609,N/A,N/A
002HGV-E ,26613.0,3,N/A,N/A
002HGW-E ,1374.0,913,N/A,N/A
003GWP-E ,157.0,31,N/A,N/A
002HH0-E ,842.0,453,N/A,N/A
002HH7-E ,618.0,149,N/A,N/A
002HH8-E ,1349.0,878,N/A,N/A
002HHG-E ,38439.0,1110,N/A,N/A
002HHL-E ,1829.0,1498,N/A,N/A
002HHQ-E ,35284.0,5027,N/A,N/A
002HHS-E ,1269.0,693,N/A,N/A
002HJ2-E ,,4119,N/A,N/A
002HJB-E ,595011.0,105206,N/A,N/A
002HJF-E ,5100.0,1993,N/A,N/A
002HJG-E ,733.0,0,N/A,N/A
002HJJ-E ,1433.0,497,N/A,N/A
003H25-E ,,165,N/A,N/A
002HJR-E ,1788.0,948,N/A,N/A
002HJZ-E ,2629.0,595,N/A,N/A
002HKC-E ,1862.0,534,N/A,N/A
002HKG-E ,20077.0,1315,N/A,N/A
002HKT-E ,1311.0,897,N/A,N/A
002HKW-E ,301.0,143,N/A,N/A
002HL1-E ,423487.0,243296,N/A,N/A
002HSM-E ,3000.0,507,N/A,N/A
002HLD-E ,,2056,N/A,N/A
002HLG-E ,2820.0,713,N/A,N/A
002HLM-E ,552.0,319,N/A,N/A
002HLW-E ,12227.0,8562,N/A,N/A
002HLZ-E ,204046.0,10246,N/A,N/A
002HM2-E ,,0,N/A,N/A
002HMD-E ,,485,N/A,N/A
002HMF-E ,9467.0,529,N/A,N/A
002HMM-E ,4422.0,3976,N/A,N/A
002HMP-E ,,233,N/A,N/A
002HMY-E ,3272.0,966,N/A,N/A
002HN1-E ,8677.0,5359,N/A,N/A
002HNF-E ,,14849,N/A,N/A
002HNJ-E ,1030.0,561,N/A,N/A
002HNL-E ,491.0,422,N/A,N/A
002HNP-E ,4616.0,2413,N/A,N/A
002HNS-E ,331.0,214,N/A,N/A
002HNZ-E ,854.0,622,N/A,N/A
002HP4-E ,20570.0,187,N/A,N/A
002HP5-E ,295853.0,109447,N/A,N/A
002HPC-E ,207601.0,184048,N/A,N/A
002HPL-E ,807.0,618,N/A,N/A
002HPS-E ,3820.0,86,N/A,N/A
002HPX-E ,1307.0,247,N/A,N/A
002HQM-E ,34946.0,7412,N/A,N/A
002HQQ-E ,902.0,606,N/A,N/A
002HQY-E ,27726.0,16534,N/A,N/A
002HR5-E ,2405.0,1142,N/A,N/A
003KZ8-E ,,27,N/A,N/A
002HRB-E ,422.0,372,N/A,N/A
002HRF-E ,16311.0,601,N/A,N/A
002HRL-E ,31340.0,896,N/A,N/A
002HRN-E ,,1294,N/A,N/A
002HRQ-E ,2768.0,1066,N/A,N/A
002HRR-E ,878.0,13,N/A,N/A
002HS2-E ,513.0,338,N/A,N/A
002HS6-E ,420.0,232,N/A,N/A
002HSF-E ,,0,N/A,N/A
002HSL-E ,4966.0,2884,N/A,N/A
002HRC-E ,5129.0,3562,N/A,N/A
002HSV-E ,1343.0,420,N/A,N/A
002HSX-E ,1275.0,1116,N/A,N/A
002HT0-E ,182.0,105,N/A,N/A
002HTF-E ,,1623,N/A,N/A
002HTG-E ,39549.0,35,N/A,N/A
002HTK-E ,,216083,N/A,N/A
002HTL-E ,247.0,192,N/A,N/A
002HTR-E ,588.0,343,N/A,N/A
002HTZ-E ,23879.0,19376,N/A,N/A
002HVP-E ,715.0,500,N/A,N/A
002HVY-E ,2104.0,1961,N/A,N/A
002HVZ-E ,1840.0,1070,N/A,N/A
002HW4-E ,1488.0,631,N/A,N/A
002HWR-E ,954.0,553,N/A,N/A
002HWS-E ,,25311,N/A,N/A
002HWY-E ,1450.0,1272,N/A,N/A
002HX7-E ,,3107,N/A,N/A
002HXB-E ,1419.0,756,N/A,N/A
002HXC-E ,199.0,50,N/A,N/A
002HVN-E ,1478.0,327,N/A,N/A
002HXS-E ,1155.0,770,N/A,N/A
002HXV-E ,1851.0,162,N/A,N/A
002HXZ-E ,,7805,N/A,N/A
002HY9-E ,260.0,133,N/A,N/A
002HYD-E ,346834.0,77321,N/A,N/A
002HYG-E ,814.0,641,N/A,N/A
