factset_fund_id,aum,equity_aum,Desktop AUM,Desktop Equity AUM,Difference AUM,Difference Equity AUM
04JCVR-E ,,4163343,,4163343,0,0
04GVKG-E ,26112208,,26112208,,0,0
04GQJ4-E ,181979609,,181979609,,0,0
04J6QK-E ,,16089357,,16089357,0,0
04JWT2-E ,167819734,151202065,167819734,151202065,0,0
04JJ6X-E ,588614638,249421024,588614638,249421024,0,0
04BL0V-E ,20083805,123619283,20083805,123619283,0,0
04K9LK-E ,105171112,360115,105171112,360115,0,0
04G8C5-E ,325458347,517521403,325458347,517521403,0,0
04FMLP-E ,27911585,2364526,27911585,2364526,0,0
04BY0J-E ,90288490,516107446,90288490,516107446,0,0
04BBYF-E ,21556501,149701925,21556501,149701925,0,0
04GTMQ-E ,,125359755,,125359755,0,0
04J5SM-E ,,193999376,,193999376,0,0
04GNVK-E ,,54528191,,54528191,0,0
04H1HM-E ,,2488862789,,2488862789,0,0
04G1JR-E ,34390832454,34390832455,34390832454,34390832455,0,0
04J5SX-E ,,28927813,,28927813,0,0
04FXFX-E ,31180960497,31180960497,31180960497,31180960497,0,0
04G1JQ-E ,41826592088,41826592088,41826592088,41826592088,0,0
04BZH1-E ,1369086717,1341475397,1369086717,1341475397,0,0
04FCK7-E ,,300008108,,300008108,0,0
04L6FR-E ,10497550,11709190,10497550,11709190,0,0
04FGTC-E ,755707792,4577375,755707792,4577375,0,0
04BFYD-E ,98193994377,1.01E+11,98193994377,1.01E+11,0,0
04BNRP-E ,53486981,107261048,53486981,107261048,0,0
04FXSJ-E ,,5007925,,5007925,0,0
04L3FG-E ,901257,901257,901257,901257,0,0
04KWDJ-E ,,556096121,,556096121,0,0
04HKLL-E ,39773637,200047001,39773637,200047001,0,0
04G8RB-E ,114940884,12049693,114940884,12049693,0,0
04L3MQ-E ,,8785712,,8785712,0,0
04C9JK-E ,2738116,6583530,2738116,6583530,0,0
04BJZ2-E ,620398633,804198618,620398633,804198618,0,0
04BXCV-E ,95233814,451217077,95233814,451217077,0,0
04H9KB-E ,75606303,75606305,75606303,75606305,0,0
04FXFF-E ,38810513886,,38810513886,,0,0
04BDHW-E ,67443174,82580302,67443174,82580302,0,0
04CWSQ-E ,565404779,597654556,565404779,597654556,0,0
04JMPB-E ,24925487,10885911,24925487,10885911,0,0
04BTRT-E ,109747150,733407752,109747150,733407752,0,0
04KNZ9-E ,,5992861,,5992861,0,0
04FBT0-E ,98879114,5396769,98879114,5396769,0,0
04GS6Y-E ,,,,,0,0
04BL5Y-E ,86960544,,86960544,,0,0
04F6RH-E ,251015638,,251015638,,0,0
04FBWM-E ,,11756341,,11756341,0,0
04FXJ3-E ,,,,,0,0
04JN1H-E ,371588481,333550281,371588481,333550281,0,0
04J56L-E ,703162766,863643543,703162766,863643543,0,0
04FCG9-E ,,,,,0,0
04FX7Q-E ,,,,,0,0
04JG0H-E ,1413724,60248866,1413724,60248866,0,0
04HZN2-E ,11526507,,11526507,,0,0
04LBN6-E ,,,,,0,0
04CT26-E ,7379447,,7379447,,0,0
04L2V4-E ,4433745,9412658,4433745,9412658,0,0
04HPFY-E ,30754422,19376086,30754422,19376086,0,0
04DPW5-E ,261466233,,261466233,,0,0
04DXBP-E ,1682905,,1682905,,0,0
04HW13-E ,41599172,153094266,41599172,153094266,0,0
04J15K-E ,25856331,2876020,25856331,2876020,0,0
04KX76-E ,,,,,0,0
04L3GN-E ,,,,,0,0
04J8LP-E ,13286155110,13286155112,13286155110,13286155112,0,0
04FCTN-E ,126139902,149084884,126139902,149084884,0,0
04JP0N-E ,3766571,3142106,3766571,3142106,0,0
04J3HZ-E ,,11757373,,11757373,0,0
04CS10-E ,,358236752,,358236752,0,0
04KLPC-E ,6644989,10160090,6644989,10160090,0,0
04BYL0-E ,,9940421968,,9940421968,0,0
04KKSS-E ,604575,389464,604575,389464,0,0
04BDHC-E ,290528886,1199664191,290528886,1199664191,0,0
04BRWF-E ,143939087,856006654,143939087,856006654,0,0
04B8KC-E ,19389365738,26890043448,19389365738,26890043448,0,0
04B9JD-E ,347906069,218232047,347906069,218232047,0,0
04B8QD-E ,6474596993,8916965276,6474596993,8916965276,0,0
04BR72-E ,341010379,956362998,341010379,956362998,0,0
04JLVY-E ,,222647741,,222647741,0,0
04GQQ1-E ,18765603,47920584,18765603,47920584,0,0
04JBBW-E ,,199011738,,199011738,0,0
04F86G-E ,,56872224,,56872224,0,0
04F636-E ,364302899,10571782,364302899,10571782,0,0
04GVTN-E ,17412720,30174639,17412720,30174639,0,0
04BCPW-E ,2758900170,4527379291,2758900170,4527379291,0,0
04BPQP-E ,234889268,1421884606,234889268,1421884606,0,0
04C0J2-E ,288821875,71326667,288821875,71326667,0,0
04KF1K-E ,,7950930,,7950930,0,0
04HXMP-E ,,331498752,,331498752,0,0
04C0DP-E ,360460930,880002334,360460930,880002334,0,0
04C087-E ,10279298,12333426,10279298,12333426,0,0
04F685-E ,36078748,15614256,36078748,15614256,0,0
04CZ2C-E ,,957808220,,957808220,0,0
04BV8G-E ,486275595,1365074407,486275595,1365074407,0,0
04G6L1-E ,,354847282,,354847282,0,0
04BG5N-E ,166749932,271192370,166749932,271192370,0,0
04DRXP-E ,,285074787,,285074787,0,0
04JMDB-E ,,62796309,,62796309,0,0
04DGPS-E ,,14970,,14970,0,0
04F9F8-E ,48884062,40068523,48884062,40068523,0,0
04F5BM-E ,,,,,0,0
04F61T-E ,215662556,1126265,215662556,1126265,0,0
04KG0H-E ,26324228,16213345,26324228,16213345,0,0
04F8KM-E ,52409219,52409219,52409219,52409219,0,0
04DHZR-E ,267194081,91427090,267194081,91427090,0,0
04HL0N-E ,127472736,216044022,127472736,216044022,0,0
04KWXY-E ,,349312240,,349312240,0,0
04BNS5-E ,437662761,859240749,437662761,859240749,0,0
04HLKW-E ,,,,,0,0
04KMF7-E ,17540396,17540395,17540396,17540395,0,0
04FBZ6-E ,2957902949,,2957902949,,0,0
04DF18-E ,,,,,0,0
04DF1C-E ,,,,,0,0
04JDN8-E ,59269074,51349781,59269074,51349781,0,0
04BFP4-E ,1704963706,2618060791,1704963706,2618060791,0,0
04JM4J-E ,41453611,43759421,41453611,43759421,0,0
04J42N-E ,27046200,24810349,27046200,24810349,0,0
04J3YY-E ,47328586,19159838,47328586,19159838,0,0
04KJ1N-E ,,49869361,,49869361,0,0
04HZSR-E ,2256207,,2256207,,0,0
04HZVJ-E ,12178091,,12178091,,0,0
04K9CJ-E ,,,,,0,0
04D131-E ,10588666,,10588666,,0,0
04D12Y-E ,15017549,,15017549,,0,0
