factset_entity_id,Name,Position,Style,Turnover,EquityAssets,QualityRating,Style Desktop,Turnover Desktop,AUM Desktop,Equity AUM Desktop,Quality Rating Desktop,Targeting_Score Desktop,Position Desktop,STYLE MATCH,TURNOVER MATCH,POSITION MATCH,QR MATCH
0618F5-E,Hudson Bay Capital Management LP,0,Hedge Fund,High,4408.258826,31,Hedge Fund,High,6326,2389,31,25,0,TRUE,TRUE,TRUE,TRUE
0618KM-E,Employees Retirement System of Texas,84899,GARP,Very Low,7057.070818,75,GARP,Very Low,,6906,75,67,84899,TRUE,TRUE,TRUE,TRUE
061VCS-E,First American Bank (Asset Management),17775,GARP,Very Low,1273.545768,65,GARP,Very Low,,663,65,69,17775,TRUE,TRUE,TRUE,TRUE
0631M3-E,IFM Investors Pty Ltd.,14575,GARP,Very Low,1576.879208,67,GARP,Very Low,72020,1962,67,,14575,TRUE,TRUE,TRUE,TRUE
063526-E,Morgan Stanley & Co. International Plc,0,GARP,High,5809.756353,52,GARP,High,,5564,52,52,0,TRUE,TRUE,TRUE,TRUE
0639C0-E,Pershing Square Capital Management LP,0,Hedge Fund,Very Low,7134.479164,67,Hedge Fund,Very Low,10033,7048,67,68,0,TRUE,TRUE,TRUE,TRUE
0642S3-E,"Town & Country Bank & Trust Co. (Bardstown, Kentucky)",3545,Yield,Very Low,220.163599,57,Yield,Very Low,,218,57,54,3545,TRUE,TRUE,TRUE,TRUE
0644CQ-E,London & Capital Asset Management Ltd.,105378,GARP,Low,689.231459,65,GARP,Low,,688,65,,105378,TRUE,TRUE,TRUE,TRUE
0645TX-E,"Envestnet Asset Management, Inc.",183114,GARP,Low,74684.61035,83,GARP,Low,126484,67349,83,78,183114,TRUE,TRUE,TRUE,TRUE
064B7H-E,"Woodbury Financial Services, Inc.",2045,GARP,Low,2031.614407,56,GARP,Low,5742,1841,56,53,2045,TRUE,TRUE,TRUE,TRUE
064NPL-E,"Hirtle, Callaghan & Co. LLC",0,GARP,Low,1299.719192,69,GARP,Low,19806,1234,69,56,0,TRUE,TRUE,TRUE,TRUE
064VS0-E,Windward Capital Management Co.,1996,GARP,Very Low,783.360959,73,GARP,Very Low,,800,73,70,1996,TRUE,TRUE,TRUE,TRUE
066NC4-E,"Haverford Financial Services, Inc.",26803,GARP,Very Low,295.578542,61,GARP,Very Low,309,277,61,73,26803,TRUE,TRUE,TRUE,TRUE
066XHG-E,Marshall Wace North America LP,65442,Hedge Fund,High,15477.13449,37,Hedge Fund,High,19803,14072,37,37,65442,TRUE,TRUE,TRUE,TRUE
066XWF-E,Bank of Nova Scotia Trust Co.,6739,Yield,Very Low,824.556298,69,Yield,Very Low,,817,69,64,6739,TRUE,TRUE,TRUE,TRUE
066ZJJ-E,Tributary Capital Management LLC,100000,GARP,Very Low,1431.790203,70,GARP,Very Low,2078,1462,70,82,100000,TRUE,TRUE,TRUE,TRUE
06778N-E,FSC Securities Corp.,5640,GARP,Low,1502.906002,54,GARP,Low,8182,1358,54,52,5640,TRUE,TRUE,TRUE,TRUE
067G8D-E,DWS Investments Hong Kong Ltd.,631,GARP,Very Low,385.206118,55,GARP,Very Low,,3242,55,,631,TRUE,TRUE,TRUE,TRUE
0684CV-E,"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",29539,Yield,Very Low,4913.665821,71,Yield,Very Low,118500,40073,71,61,29539,TRUE,TRUE,TRUE,TRUE
069316-E,DWS Investments (UK) Ltd.,170000,Hedge Fund,Very Low,29934.04639,62,Hedge Fund,Very Low,102652,69506,62,90,170000,TRUE,TRUE,TRUE,TRUE
0699FZ-E,"AssetMark, Inc.",54,GARP,Medium,11189.37352,64,GARP,Medium,29542,10425,64,62,54,TRUE,TRUE,TRUE,TRUE
