factset_entity_id,fs_perm_sec_id,security_name,fsym_id,Match,Upper,Security,Mkt Val,Position,Mkt Value Desktop,Position Desktop
0011M0-E,P5DLYY-S-US,LIBERTY GLOBAL PLC  CL C,P5DLYY-S,True,LIBERTY GLOBAL PLC  CL C,Liberty Global Plc  Cl C,1266367012.0,47111868.0,1140578324,47111868
0011M0-E,QTQT3M-S-US,LIBERTY LATIN AMERICA LTD  CL A,QTQT3M-S,False,,,,,-,-
0011M0-E,VXWYP7-S-US,LIBERTY LATIN AMERICA LTD  CL C,VXWYP7-S,False,,,,,-,-
0011M0-E,JPY6CM-S-DE,LINDE AG  ORD,JPY6CM-S,False,,,,,-,-
0011M0-E,NB64DG-S-US,LINDE PLC  COM,NB64DG-S,True,LINDE PLC  COM,Linde Plc  Com,1592676920.0,7822194.0,1376158590,7822194
0011M0-E,MH7782-S-GB,LLOYDS BANKING GROUP PLC  ORD,MH7782-S,True,LLOYDS BANKING GROUP PLC  ORD,Lloyds Banking Group Plc  Ord,700936677.0,957668429.0,781160560.85101,957668429
0011M0-E,BV8916-S-US,LOCKHEED MARTIN CORP  COM,BV8916-S,True,LOCKHEED MARTIN CORP  COM,Lockheed Martin Corp  Com,324083.0,875.0,262640,875
0011M0-E,N91ZBG-S-US,LOWES COS INC  COM,N91ZBG-S,False,,,,,-,-
0011M0-E,KHRMVQ-S-US,MACYS INC  COM,KHRMVQ-S,True,MACYS INC  COM,Macys Inc  Com,193557.0,9100.0,218673,9100
0011M0-E,C34R8M-S-RU,MAGNIT PJSC  ORD,C34R8M-S,True,MAGNIT PJSC  ORD,Magnit Pjsc  Ord,393983562.0,6610285.0,418570466,7554679
0011M0-E,RWB1HB-S-US,MARSH & MCLENNAN COS INC  COM,RWB1HB-S,True,MARSH & MCLENNAN COS INC  COM,Marsh & Mclennan Cos Inc  Com,294351.0,2860.0,268554,2860
0011M0-E,RS1WKD-S-US,MATTEL INC  COM,RS1WKD-S,True,MATTEL INC  COM,Mattel Inc  Com,426450367.0,37018261.0,481237393,37018261
0011M0-E,V0BDBS-S-US,MAXIM INTEGRATED PRODUCTS INC  COM,V0BDBS-S,True,MAXIM INTEGRATED PRODUCTS INC  COM,Maxim Integrated Products Inc  Com,523194190.0,8666460.0,460795678,8666460
0011M0-E,F1F0GY-S-US,MCDONALDS CORP  COM,F1F0GY-S,True,MCDONALDS CORP  COM,Mcdonalds Corp  Com,3216198.0,15113.0,2869959,15113
