fsym-id	Security	Ticker	Position	MV	factset_entity_id	fs_perm_sec_id	fsym_id	Security Name
TTHQS7-S	MEDTRONIC PLC  COM	MDT-NYS	109803595	10000911433	002FYS-E	S5N94S-S-GB	S5N94S-S	ABCAM PLC  ORD
MCPQD9-S	INTERNATIONAL BUSINESS MACHINES  COM	IBM-NYS	70644599	9967952919	002FYS-E	D1R73N-S-FR	D1R73N-S	ABC ARBITRAGE SA  ORD
B2DTQ7-S	UNION PACIFIC CORP  COM	UNP-NYS	58756299	9824053193	002FYS-E	BGYPC5-S-JP	BGYPC5-S	ABC MART INC  ORD
DJH8TL-S	ADOBE INC  COM	ADBE-NAS	36846012	9819093738	002FYS-E	SN5RNX-S-ES	SN5RNX-S	ABENGOA SA  WT 03/31/25
V3049L-S	ABBVIE INC  COM	ABBV-NYS	118688577	9565112420	002FYS-E	HQ8PJL-S-US	HQ8PJL-S	ABEONA THERAPEUTICS INC  COM
	DUPONT DE NEMOURS INC  COM	DD-NYS	59559266	9525322954	002FYS-E	QF2V5D-S-US	QF2V5D-S	ABERCROMBIE & FITCH CO  CL A
W24RPK-S	ACCENTURE PLC  CL A	ACN-NYS	53519950	9420581599	002FYS-E	LGFTW9-S-GB	LGFTW9-S	ABERDEEN DIVERSIFIED INC & GROWTH TR
MDX5ZL-S	BROADCOM INC COM	AVGO-NAS	30665951	9221558125	002FYS-E	W289FW-S-GB	W289FW-S	ABERDEEN STANDARD ASIA FOCUS  ORD
T8GLHL-S	AMGEN INC  COM	AMGN-NAS	48482641	9210732137	002FYS-E	X31W4T-S-GB	X31W4T-S	ABERDEEN STANDARD EQUITY INCOME  ORD
W38FV3-S	ELI LILLY & CO  COM	LLY-NYS	69309074	8993545442	002FYS-E	DGCQ4F-S-GB	DGCQ4F-S	ABERDEEN STANDARD EUROPEAN  ORD
NGRNZY-S	PAYPAL HOLDINGS INC  COM	PYPL-NAS	86171934	8948093627	002FYS-E	TZ6KY3-S-GB	TZ6KY3-S	ABERFORTH SMALLER COS TRUST  ORD
SJWX0Y-S	TEXAS INSTRUMENTS INCORPORATED  COM	TXN-NAS	84149300	8925716251	002FYS-E	G8WYPH-S-TW	G8WYPH-S	ABILITY ENTERPRISE CO LTD  ORD
DVRKW9-S	SALESFORCE COM INC  COM	CRM-NYS	56199881	8900375154	002FYS-E	DF3N8D-S-US	DF3N8D-S	ABIOMED INC  COM
X0MHD2-S	COSTCO WHOLESALE CORP  COM	COST-NAS	36193426	8763876172	002FYS-E	S5MJQ2-S-KR	S5MJQ2-S	ABLE C&C  ORD
K6TLGQ-S	UNITED TECHNOLOGIES CORP  COM	UTX-NYS	66928216	8626377760	002FYS-E	L7GJB9-S-US	L7GJB9-S	ABM INDUSTRIES INC  COM
WK0NR3-S	NIKE INC  CL B	NKE-NYS	102065139	8594905355	002FYS-E	X8SB80-S-NL	X8SB80-S	ABN AMRO GROUP NV  GDR
LKTW6W-S	HONEYWELL INTERNATIONAL INC  COM	HON-NYS	52706080	8376050234	002FYS-E	GTY899-S-PH	GTY899-S	ABOITIZ EQUITY VENTURES INC  ORD
BRWRT6-S	ALTRIA GROUP INC  COM	MO-NYS	144442217	8295316522	002FYS-E	RTB3C6-S-PH	RTB3C6-S	ABOITIZ POWER CORP  ORD
LY6R71-S	THERMO FISHER SCIENTIFIC INC  COM	TMO-NYS	29740537	8140579788	002FYS-E	C4DTT9-S-EG	C4DTT9-S	ABOU KIR FERTILIZERS  ORD
VLCR4Q-S	NEXTERA ENERGY INC  COM	NEE-NYS	41911719	8102373517	002FYS-E	FFRVN7-S-US	FFRVN7-S	ABRAXAS PETROLEUM CORP  COM
QDYJZC-S	NVIDIA CORP  COM	NVDA-NAS	44614572	8010992548	002FYS-E	H43PS7-S-ZA	H43PS7-S	ABSA GROUP LTD  ORD
NB64DG-S	LINDE PLC  COM	LIN-NYS	44551308	7837911616	002FYS-E	BNJXRR-S-AE	BNJXRR-S	ABU DHABI COMMERCIAL BANK  ORD
SR2BN3-S	ALIBABA GROUP HOLDING LTD  SPONS ADR	BABA-NYS	42897509	7826650517	002FYS-E	RVHBQG-S-AE	RVHBQG-S	ABU DHABI NATL OIL CO FOR DISTR  ORD
RT71JB-S	SIMON PROPERTY GROUP INC  COM	SPG-NYS	40228030	7329949346	002FYS-E	RQ9PR2-S-US	RQ9PR2-S	ACACIA COMMUNICATIONS INC  COM
N91ZBG-S	LOWES COS INC  COM	LOW-NYS	64820019	7095847480	002FYS-E	NFP7Q1-S-GB	NFP7Q1-S	ACACIA MINING PLC  ORD
LY1BXZ-S	CROWN CASTLE INTERNATIONAL CORP  COM	CCI-NYS	53139048	6801798144	002FYS-E	TF0ST3-S-US	TF0ST3-S	ACACIA RESEARCH CORP  ACACIA TECH
S48T3X-S	CATERPILLAR INC  COM	CAT-NYS	48955566	6632989637	002FYS-E	VQPLZW-S-SE	VQPLZW-S	ACADEMEDIA AB  ORD
H3ZZPR-S	STARBUCKS CORP  COM	SBUX-NAS	89140878	6626732871	002FYS-E	BHXVXH-S-US	BHXVXH-S	ACADIA HEALTHCARE CO INC  COM
RMF5GJ-S	GILEAD SCIENCES INC  COM	GILD-NAS	99511032	6469212190	002FYS-E	S8ZK2P-S-US	S8ZK2P-S	ACADIA PHARMACEUTICALS INC  COM
BV8916-S	LOCKHEED MARTIN CORP  COM	LMT-NYS	21180421	6357515167	002FYS-E	FT2SZL-S-US	FT2SZL-S	ACADIA REALTY TRUST  SBI
P321KV-S	GENERAL ELECTRIC CO  COM	GE-NYS	627241026	6266137850	002FYS-E	PQJJK6-S-TW	PQJJK6-S	ACBEL POLYTECH INC  ORD
H547YV-S	BRISTOL MYERS SQUIBB CO  COM	BMY-NYS	130166532	6210245242	002FYS-E	C8WKDH-S-US	C8WKDH-S	ACCELERATE DIAGNOSTICS INC  COM
NK1C4M-S	DANAHER CORP  COM	DHR-NYS	46691814	6164253284	002FYS-E	C6NTTH-S-US	C6NTTH-S	ACCELERON PHARMA INC  COM
C6M0W9-S	UNITED PARCEL SERVICE INC  CL B	UPS-NYS	54396487	6078263457	002FYS-E	RS53VK-S-CN	RS53VK-S	ACCELINK TECHNOLOGIES  ORD A
L6CX6R-S	CONOCOPHILLIPS  COM	COP-NYS	88538943	5909089056	002FYS-E	Q53RYJ-S-NL	Q53RYJ-S	ACCELL GROUP NV  ORD
RXHPCQ-S	AUTOMATIC DATA PROCESSING INC  COM	ADP-NAS	36923841	5898214361	002FYS-E	D51LBQ-S-AU	D51LBQ-S	ACCENT GROUP LTD  ORD
CM333K-S	BOOKING HOLDINGS INC  COM	BKNG-NAS	3367369	5875755842	002FYS-E	W24RPK-S-US	W24RPK-S	ACCENTURE PLC  CL A
DG873S-S	PROLOGIS INC  COM	PLD-NYS	80867995	5818452240	002FYS-E	QDYZTS-S-US	QDYZTS-S	ACCESS NATIONAL CORP  COM
DBQ20D-S	AMERICAN EXPRESS CO  COM	AXP-NYS	50630128	5533872990	002FYS-E	SKXH8L-S-GB	SKXH8L-S	ACCESSO TECHNOLOGY GRP (LO Q)  ORD
QLL3Y6-S	BECTON DICKINSON & CO  COM	BDX-NYS	22108928	5521262589	002FYS-E	R95JNF-S-ES	R95JNF-S	ACCIONA SA  ORD
QQ57WH-S	US BANCORP/DE  COM	USB-NYS	113663479	5477443053	002FYS-E	S90M3P-S-IN	S90M3P-S	ACC LTD  ORD
C7R3T7-S	QUALCOMM INC  COM	QCOM-NAS	95909247	5469704356	002FYS-E	R2KQ06-S-US	R2KQ06-S	ACCO BRANDS CORP  COM
WC6XYF-S	ANTHEM INC  COM	ANTM-NYS	18959698	5441054132	002FYS-E	R9WWSX-S-SG	R9WWSX-S	ACCORDIA GOLF TRUST  UNITS REG S
JDWM79-S	CVS HEALTH CORP  COM	CVS-NYS	99395266	5360386695	002FYS-E	RDQD5J-S-FR	RDQD5J-S	ACCOR SA  ORD
D8DHJ7-S	MONDELEZ INTERNATIONAL INC  CL A	MDLZ-NAS	106738473	5328384572	002FYS-E	RYN510-S-TW	RYN510-S	ACCTON TECHNOLOGY CORP  ORD
RPTTVL-S	DUKE ENERGY CORP  COM	DUK-NYS	57587519	5182876710	002FYS-E	C6PV7Y-S-US	C6PV7Y-S	ACCURAY INC  COM
M9K04P-S	CHUBB LTD  COM	CB-NYS	36821150	5157906692	002FYS-E	M88R8V-S-IT	M88R8V-S	ACEA SPA  ORD
LX1RL8-S	COLGATE PALMOLIVE CO  COM	CL-NYS	74231211	5087807202	002FYS-E	HL5CT6-S	HL5CT6-S	ACE CAP TR II  DEBT
NYHJP1-S	STRYKER CORP  COM	SYK-NYS	25695219	5075319657	002FYS-E	J53MR8-S-US	J53MR8-S	ACELRX PHARMACEUTICALS INC  COM
VVB1XW-S	TJX COMPANIES INC  COM	TJX-NYS	95316580	5071795222	002FYS-E	RH0ZQQ-S-TW	RH0ZQQ-S	ACER INC  ORD
LJQMXR-S	INTUIT INC  COM	INTU-NAS	19282686	5040686947	002FYS-E	RWBPQY-S-ES	RWBPQY-S	ACERINOX SA  ORD REG
XHD8GP-S	CELGENE CORP  COM	CELG-NAS	52169634	4921683272	002FYS-E	BRVLL3-S-US	BRVLL3-S	ACER THERAPEUTICS INC  COM
W7T9H9-S	INTUITIVE SURGICAL INC  COM	ISRG-NAS	8491715	4845202745	002FYS-E	PLZ1VJ-S-US	PLZ1VJ-S	ACETO CORP  COM
LHF4PR-S	DOMINION ENERGY INC  COM	D-NYS	62992248	4828985732	002FYS-E	TP8013-S-US	TP8013-S	ACHAOGEN INC  COM
JPYYTB-S	EQUINIX INC  COM	EQIX-NAS	10494845	4755843960	002FYS-E	FQYX9R-S-US	FQYX9R-S	ACHIEVE LIFE SCIENCES INC  COM
HG5HFV-S	GOLDMAN SACHS GROUP INC  COM	GS-NYS	24732066	4748309351	002FYS-E	GND63T-S-JP	GND63T-S	ACHILLES CORP  ORD
SZF3KC-S	SCHLUMBERGER NV  COM	SLB-NYS	108975553	4748064844	002FYS-E	MTD0MH-S-US	MTD0MH-S	ACHILLION PHARMACEUTICALS INC  COM
NFMH78-S	CSX CORP  COM	CSX-NAS	62757941	4695549146	002FYS-E	BGT3MW-S-US	BGT3MW-S	ACI WORLDWIDE INC  COM
XHJHJN-S	CIGNA CORP  COM	CI-NYS	28016121	4505552579	002FYS-E	P45TXH-S-BE	P45TXH-S	ACKERMANS & VAN HAAREN  NV  ORD
D9K19L-S	CME GROUP INC  CL A	CME-NAS	27166636	4471084953	002FYS-E	L1WN8Q-S-US	L1WN8Q-S	ACLARIS THERAPEUTICS INC  COM
QSFJYG-S	WALGREENS BOOTS ALLIANCE  COM	WBA-NAS	69788745	4415533896	002FYS-E	K3DSPF-S-US	K3DSPF-S	ACME UNITED CORP  COM
H44KF1-S	SOUTHERN CO  COM	SO-NYS	83465134	4313478125	002FYS-E	T5L8D0-S-US	T5L8D0-S	ACM RESEARCH INC  CL A
NXC32S-S	S&P GLOBAL INC  COM	SPGI-NYS	20361970	4287212784	002FYS-E	P46QMB-S-US	P46QMB-S	ACNB CORP  COM
MQ12CY-S	PUBLIC STORAGE  COM	PSA-NYS	19670146	4283764396	002FYS-E	CC5Q38-S-JP	CC5Q38-S	ACOM CO LTD  ORD
W926PT-S	EOG RESOURCES INC  COM	EOG-NYS	44381997	4224278474	002FYS-E	M3WKK1-S-US	M3WKK1-S	ACORDA THERAPEUTICS INC  COM
RWHXPV-S	MORGAN STANLEY  COM	MS-NYS	99617166	4203844405	002FYS-E	HY35X2-S-ES	HY35X2-S	ACS ACTIVIDADES CONST SERVICIOS  ORD
MTDQ28-S	CHARTER COMMUNICATIONS INC  CL A	CHTR-NAS	11957582	4148204772	002FYS-E	KT3P0X-S-US	KT3P0X-S	ACTINIUM PHARMACEUTICALS INC  COM
MT931R-S	OCCIDENTAL PETROLEUM CORP  COM	OXY-NYS	62385751	4129936716	002FYS-E	BYGV0R-S-JP	BYGV0R-S	ACTIVIA PROPERTIES INC  ORD
