factset_fund_id,fs_perm_sec_id,fsym_id,security_name,FS_Market_Value,FS_Position,Upper_Case Name,Lower_case_name,Mkt Val,Pos
04CC29-E,GGK810-S-US,GGK810-S,STEEL DYNAMICS INC  COM,148485314,4876365,TRANSACTION CAPITAL LTD  ORD,Transaction Capital Ltd  Ord,31763320,20459202
04CC29-E,GRRVR1-S-ES,GRRVR1-S,RED ELECTRICA CORP SA  ORD,148240918,7468331,TELEFONICA DEUTSCHLAND HOLDING  ORD,Telefonica Deutschland Holding  Ord,51493688,20430517
04CC29-E,JFZVJF-S-DK,JFZVJF-S,GN STORE NORD AS  ORD,148047439,3009216,SUN HUNG KAI & CO LTD  ORD,Sun Hung Kai & Co Ltd  Ord,9695863,20399031
04CC29-E,VCMPFJ-S-US,VCMPFJ-S,FIDELITY NATIONAL FINL  FNF GRP COM,147737673,3555660,TELE2 AB  ORD B,Tele2 Ab  Ord B,282163714,20352288
04CC29-E,P45KD7-S-US,P45KD7-S,COOPER COMPANIES INC  COM,147431483,444151,HERA SPA  ORD,Hera Spa  Ord,81180222,20316591
04CC29-E,KRRDD7-S-US,KRRDD7-S,ARTHUR J GALLAGHER & CO  COM,147079834,1594880,MAPLETREE INDUSTRIAL TRUST  ORD,Mapletree Industrial Trust  Ord,34279224,"20,306,274"
04CC29-E,TJL47N-S-GB,TJL47N-S,KINGFISHER PLC  ORD,146848780,52958938,ALFA SAB  ORD A,Alfa Sab  Ord A,18617515,20234890
04CC29-E,SHMTH8-S-US,SHMTH8-S,W W GRAINGER INC  COM,146165935,538801,GENTING MALAYSIA BHD  ORD,Genting Malaysia Bhd  Ord,16683756,20219794
04CC29-E,WJVTHK-S-US,WJVTHK-S,CINCINNATI FINANCIAL CORP  COM,146138258,1355391,CYDSA SAB  ORD A,Cydsa Sab  Ord A,28224716,20219437
04CC29-E,PW1X8Y-S-US,PW1X8Y-S,CENTERPOINT ENERGY INC  COM,146132386,5040786,SKYWORTH GROUP (DIGITAL) LTD  ORD,Skyworth Group (Digital) Ltd  Ord,5393433,20197099
04CC29-E,V3Y428-S-US,V3Y428-S,CITIZENS FINANCIAL GROUP INC  COM,145775150,4155506,EUROBANK ERGASIAS SA  ORD,Eurobank Ergasias Sa  Ord,18361498,20178135
04CC29-E,H8NJCD-S-DK,H8NJCD-S,NOVOZYMES AS  ORD B,145267304,3096024,MITSUBISHI ESTATE CO LTD  ORD,Mitsubishi Estate Co Ltd  Ord,380670836,"20,104,148"
04CC29-E,F5YLLW-S-DE,F5YLLW-S,RHEINMETALL AG  ORD,145242599,1240067,INDIVIOR PLC  ORD,Indivior Plc  Ord,"10,709,888",20086815
04CC29-E,VVFQYB-S-US,VVFQYB-S,D R HORTON INC  COM,145164294,3210179,LOTTE CHEMICAL TITAN HLDG BHD  ORD,Lotte Chemical Titan Hldg Bhd  Ord,14421756,20085452
04CC29-E,NL59TF-S-US,NL59TF-S,EQUIFAX INC  COM,145156106,1057912,SINGAPORE POST LTD  ORD,Singapore Post Ltd  Ord,14465158,20023197
04CC29-E,LKS1R5-S-IN,LKS1R5-S,TECH MAHINDRA LTD  ORD,145038034,14661547,NATIONAL BANK OF KUWAIT  ORD,National Bank Of Kuwait  Ord,66465932,20018653
04CC29-E,W3B9CV-S-US,W3B9CV-S,BROADRIDGE FINANCIAL SOLUTIONS  ORD,145029063,1093816,FUFENG GROUP LTD  ORD,Fufeng Group Ltd  Ord,10562303,20016113
04CC29-E,HWW027-S-ZA,HWW027-S,RMB HOLDINGS LTD  ORD,144874327,24627057,LONG4LIFE LTD  ORD,Long4Life Ltd  Ord,6796288,20014396
04CC29-E,S35WF2-S-JP,S35WF2-S,NITORI HOLDINGS CO LTD  ORD,144649859,1056737,TELEKOM MALAYSIA BHD  ORD,Telekom Malaysia Bhd  Ord,21182844,"20,006,842"
04CC29-E,JBMHHH-S-CN,JBMHHH-S,ANHUI GUJING DISTILLERY CO  ORD A,144392785,8204970,BEIJING CAPITAL LAND LTD  ORD H,Beijing Capital Land Ltd  Ord H,7383837,19927772
04CC29-E,GV31DS-S-US,GV31DS-S,MARKETAXESS HOLDINGS INC  COM,144323577,400021,AXIS BANK LTD  ORD,Axis Bank Ltd  Ord,217904334,19925032
04CC29-E,LSJQMY-S-US,LSJQMY-S,WATERS CORP  COM,144016341,664834,NTT DOCOMO INC  ORD,Ntt Docomo Inc  Ord,480846314,19854447
04CC29-E,XKV56X-S-US,XKV56X-S,SKYWORKS SOLUTIONS INC  COM,143833512,1753212,FORD MOTOR CO  COM,Ford Motor Co  Com,206761945,19842797
04CC29-E,W1403R-S-HK,W1403R-S,TECHTRONIC INDUSTRIES CO LTD  ORD,143411983,19105040,SIG PLC ORD,Sig Plc Ord,31195684,19786181
04CC29-E,G2626D-S-FR,G2626D-S,CNP ASSURANCES SA  ORD,143211729,6203106,ABU DHABI NATL OIL CO FOR DISTR  ORD,Abu Dhabi Natl Oil Co For Distr  Ord,14579570,19688553
04CC29-E,CKZK74-S-FR,CKZK74-S,RENAULT SA  ORD,143184300,2425860,SOUTHERN CROSS MEDIA GROUP  ORD,Southern Cross Media Group  Ord,"18,027,075",19652751
04CC29-E,MLLBTS-S-KR,MLLBTS-S,CELLTRION INC  ORD,143131577,919825,PARAMOUNT GROUP INC  COM,Paramount Group Inc  Com,275312528,19623131
04CC29-E,L9XWZZ-S-US,L9XWZZ-S,HCP INC  COM,143095110,4428818,GUANGSHEN RAILWAY CO LTD  ORD H,Guangshen Railway Co Ltd  Ord H,6515725,19613861
04CC29-E,PZBL6C-S-CH,PZBL6C-S,BARRY CALLEBAUT  ORD REG,142961096,72199,INCITEC PIVOT LTD  ORD,Incitec Pivot Ltd  Ord,43352607,19579885
04CC29-E,F9KNZP-S-FR,F9KNZP-S,EURONEXT NV  ORD REG,142758714,1818672,SUNTEC REAL ESTATE INVT TRUST  ORD,Suntec Real Estate Invt Trust  Ord,27964377,19554141
04CC29-E,JBFJ2W-S-US,JBFJ2W-S,CITRIX SYSTEMS INC  COM,141477791,1393458,GIORDANO INTERNATIONAL LTD  ORD,Giordano International Ltd  Ord,8488499,19539843
04CC29-E,B852PJ-S-IN,B852PJ-S,HAVELLS INDIA LTD  ORD,140717993,13411945,SIGMA HEALTHCARE LTD  ORD,Sigma Healthcare Ltd  Ord,"8,438,016",19519793
04CC29-E,TYYCTY-S-US,TYYCTY-S,LIBERTY MEDIA CORP  CL C SIRIUSXM,140610792,3524080,MITSUBISHI CORP  ORD,Mitsubishi Corp  Ord,532394092,19470028
04CC29-E,F3NL57-S-US,F3NL57-S,MARVELL TECHNOLOGY GROUP LTD  ORD,140591203,5405275,POWSZECHNA KASA OS BANK  ORD A BRR,Powszechna Kasa Os Bank  Ord A Brr,214028237,19469325
04CC29-E,TLV7ZG-S-AU,TLV7ZG-S,COCHLEAR LTD  ORD,140289494,905648,INDUSTRIA DE DISENO TEXTIL SA  ORD,Industria De Diseno Textil Sa  Ord,604816769,19465097
04CC29-E,MH3184-S-JP,MH3184-S,SEKISUI HOUSE LTD  ORD,140039639,8149169,SHENGYI (GUANGDONG SHENG) TECH ORD A,Shengyi (Guangdong Sheng) Tech Ord A,42599939,19462069
04CC29-E,WNDVBT-S-US,WNDVBT-S,EASTMAN CHEMICAL CO  COM,139955711,1800305,COFCO MEAT HOLDINGS LTD  ORD,Cofco Meat Holdings Ltd  Ord,5941362,19375058
04CC29-E,BXFH68-S-US,BXFH68-S,GENUINE PARTS CO  COM,139901960,1334815,BOMBARDIER INC  CL B COM,Bombardier Inc  Cl B Com,32744919,19328343
04CC29-E,G0XCH4-S-JP,G0XCH4-S,SHIMANO INC  ORD,139847868,947902,3I GROUP PLC  ORD,3I Group Plc  Ord,273797386,19312474
04CC29-E,FMFDFZ-S-JP,FMFDFZ-S,OLYMPUS CORP  ORD,139598167,12304580,NOS SGPS (ZON OPTIMUS) SA  ORD,Nos Sgps (Zon Optimus) Sa  Ord,126631394,19286661
04CC29-E,GNCWJJ-S-US,GNCWJJ-S,CHECK POINT SOFTWARE TECHNOLOGY  ORD,139069244,1182260,NINE ENTERTAINMENT CO HOLDINGS  ORD,Nine Entertainment Co Holdings  Ord,26473648,19265191
04CC29-E,RGWPJP-S-SE,RGWPJP-S,CASTELLUM AB  ORD,138527094,6653562,TASLY PHARMA GROUP (TIANJIN)  ORD A,Tasly Pharma Group (Tianjin)  Ord A,48203362,19258081
04CC29-E,TRVDX2-S-ES,TRVDX2-S,BANKIA SA  ORD,138504151,58011238,HONGKONG LAND HOLDINGS LTD  ORD,Hongkong Land Holdings Ltd  Ord,127852264,19254859
04CC29-E,KGV19W-S-RU,KGV19W-S,SURGUTNEFTEGAS PJSC  ORD,137934045,325377535,BHARTI AIRTEL (TELE VENTURES)  ORD,Bharti Airtel (Tele Ventures)  Ord,98483890,19249572
04CC29-E,SZK8H8-S-JP,SZK8H8-S,TDK CORP  ORD,137877406,1765992,KING YUAN ELECTRONICS CO LTD  ORD,King Yuan Electronics Co Ltd  Ord,19522798,19239970
04CC29-E,N5N8R8-S-CA,N5N8R8-S,THOMSON REUTERS CORP  COM,137813507,2029654,DEUTSCHE BANK AG  ORD,Deutsche Bank Ag  Ord,149439571,19232892
04CC29-E,S27LPQ-S-US,S27LPQ-S,SS&C TECHNOLOGIES HOLDINGS INC  COM,137750011,2339107,KINGS TOWN BANK (TAINAN BK)  ORD,Kings Town Bank (Tainan Bk)  Ord,20582904,19216962
