FactSetEntityId,Style,TurnoverLabel,TotalAUM
001150-E,Growth,Low,24527
00116S-E,,,NULL
0011BN-E,,,11201
0011BY-E,,,NULL
0011D1-E,,,NULL
0011HZ-E,,,NULL
0011J1-E,,,NULL
0011JT-E,,,NULL
0011L0-E,,,NULL
0011M0-E,Value,Very Low,285931
0011MR-E,,,NULL
0011MX-E,GARP,Low,NULL
0011NS-E,,,NULL
0011QF-E,,,NULL
0011QG-E,Growth,Low,173
0011QK-E,Value,Very Low,108404
0011RH-E,Growth,Very Low,NULL
0011S4-E,,,NULL
0011SJ-E,,,NULL
0011TB-E,,,NULL
0011TN-E,,,574
0011TW-E,GARP,Very Low,NULL
0011TZ-E,,,NULL
0011V4-E,Growth,Very Low,673
0011WG-E,,,NULL
0011WH-E,Aggressive Growth,Low,2095
0011XG-E,,,NULL
0011XL-E,,,NULL
0011Y4-E,Value,Medium,1901
0011Z0-E,Growth,Medium,NULL
001207-E,Growth,Low,19329
00120G-E,Value,Very Low,1365
00120M-E,,,2131
00121D-E,Growth,Very Low,43144
00121H-E,,,NULL
00121Y-E,,,NULL
00122J-E,Growth,Very Low,2719
00127C-E,,,NULL
00128H-E,Growth,Very Low,NULL
0012DH-E,Growth,Low,1279
0012L0-E,,,NULL
0012LW-E,Value,Low,77513
0012MH-E,Growth,High,1703
0012MS-E,Value,Medium,NULL
0012NF-E,,,NULL
0012PN-E,,,8218
0012Q8-E,,,NULL
0012RH-E,,,NULL
0012WM-E,,,NULL
0012X3-E,,,6200
0012YB-E,,,NULL
0012ZV-E,Growth,High,29099
00132N-E,Growth,High,2482
00134N-E,Aggressive Growth,Very Low,2193
00134V-E,,,NULL
00134W-E,,,NULL
001357-E,,,NULL
001358-E,Value,High,741
0013BR-E,Growth,,NULL
0013BS-E,Growth,Very Low,23826
0013MY-E,,,NULL
0013X9-E,Yield,Very Low,25066
0013XN-E,GARP,,NULL
0013ZM-E,Growth,Very Low,182
00140T-E,Growth,High,28579
00141F-E,,,NULL
00143D-E,Yield,Very Low,NULL
00146Q-E,,,NULL
0014MW-E,,,NULL
0014VV-E,,,NULL
0015NZ-E,,,NULL
00161G-E,,,NULL
001685-E,,,NULL
0016C1-E,,,NULL
0016FP-E,Growth,Low,10074
0016HY-E,,,NULL
0016JR-E,,,NULL
0016L3-E,,,NULL
0016VC-E,,,NULL
0016XJ-E,,,NULL
0016Z2-E,Growth,Medium,NULL
001702-E,,,NULL
00176H-E,Aggressive Growth,High,1397
00179W-E,Aggressive Growth,Medium,NULL
0017DP-E,Growth,Medium,712
0017G2-E,,,NULL
0017GJ-E,GARP,,50
0017HB-E,,,NULL
0017ZB-E,,,NULL
0017ZL-E,,,NULL
00180K-E,Growth,Low,57824
001850-E,,,NULL
00189R-E,GARP,Very Low,NULL
0018BF-E,,,NULL
0018FV-E,,,NULL
0018FW-E,,,NULL
0018NJ-E,,,NULL
0018PD-E,,,NULL
0018XT-E,Growth,High,36060
001980-E,,,NULL
0019H9-E,,,NULL
0019KF-E,Aggressive Growth,Low,98186
001BC5-E,Growth,Very Low,496035
001BK5-E,,,NULL
001BL6-E,,,NULL
001BMP-E,Deep Value,,NULL
001BNZ-E,,,NULL
001BP9-E,,,NULL
001BQN-E,GARP,Very Low,233
001BR5-E,,,NULL
001BRN-E,,,NULL
001BRP-E,,,NULL
001BS2-E,,,NULL
001BSD-E,,,10388
001BXX-E,,,NULL
001C3W-E,,,NULL
001C59-E,,,NULL
001C6G-E,,,NULL
001CMV-E,,,NULL
001CVY-E,Yield,Medium,53882
001D0F-E,,,NULL
001D27-E,Value,Low,NULL
001D77-E,Aggressive Growth,Very Low,NULL
001DBD-E,,,NULL
001DCC-E,,,3400
001DDN-E,,,NULL
001DGK-E,Value,Medium,NULL
001DKD-E,,,NULL
001DN5-E,GARP,,552
001DP2-E,,Very Low,94952
001DPF-E,,,NULL
001DR8-E,,,NULL
001DTQ-E,,,NULL
001DTT-E,,,NULL
001DYS-E,,,2987
001F5Z-E,Deep Value,,NULL
001F6V-E,,High,NULL
001FCW-E,,,NULL
001FCX-E,,,NULL
001FCY-E,,,NULL
001FFM-E,,,NULL
001FK9-E,,,NULL
001FKZ-E,Growth,Low,160906
001FQ5-E,Growth,Medium,774
001G54-E,,,NULL
001G5D-E,,,NULL
001GB0-E,Deep Value,Very Low,1345
001GCK-E,Growth,Medium,NULL
001GH1-E,,Very Low,NULL
001GJD-E,,,NULL
001GM8-E,GARP,Low,4888
001GPR-E,,,NULL
001GVT-E,,,NULL
001GY5-E,,,NULL
001GZ3-E,,,NULL
001H1F-E,,,NULL
001H56-E,,,NULL
001H78-E,Growth,Low,5590
001H7S-E,Deep Value,,172
