FactSetEntityId,Style,TurnoverLabel,TotalAUM
05HV78-E,,,NULL
05HV8V-E,,,NULL
05HV9P-E,,,NULL
05HVC6-E,,,NULL
05HVJM-E,,,NULL
05HVTH-E,Aggressive Growth,Very Low,NULL
05HVXC-E,,,NULL
05HVYX-E,,,NULL
05HVZX-E,Growth,Medium,NULL
05HW0K-E,Growth,,NULL
05HW0V-E,,,NULL
05HW0X-E,Growth,Medium,NULL
05HW0Y-E,,,NULL
05HW0Z-E,Growth,Low,NULL
05HW11-E,Growth,Low,2752
05HW12-E,,,NULL
05HW1W-E,,,NULL
05HWBN-E,,,NULL
05HWCT-E,,,NULL
05HWDB-E,,,NULL
05HWSY-E,,,NULL
05HWXH-E,,,NULL
05HWZD-E,,,NULL
05HX0B-E,Growth,Medium,NULL
05HX1N-E,Growth,Low,5513
05HX5B-E,Yield,Very Low,NULL
05HXD6-E,,,8233
05HXMB-E,,,NULL
05HXPC-E,,,NULL
05HXXM-E,,,NULL
05HXYF-E,,,NULL
05HXZL-E,GARP,Medium,NULL
05HY1K-E,Yield,Low,NULL
05HY34-E,,,NULL
05HY3G-E,,,NULL
05HY64-E,,,NULL
05HY95-E,,,NULL
05HYKX-E,Growth,Very Low,NULL
05HYPZ-E,GARP,Very Low,188
05HYQD-E,Yield,,118
05HYRN-E,,,NULL
05HYSR-E,,,NULL
05HYTF-E,,,NULL
05HYTH-E,Value,Medium,118
05HYTL-E,,,NULL
05HYYT-E,,,NULL
05HZ3H-E,,,NULL
05HZ9N-E,,,NULL
05HZDD-E,,,NULL
05HZF1-E,,,NULL
05HZJ8-E,,,NULL
05HZKQ-E,Aggressive Growth,,NULL
05HZVB-E,Aggressive Growth,Very Low,19000
05J06F-E,,,NULL
05J09S-E,,,NULL
05J0FJ-E,,,NULL
05J0KY-E,,,NULL
05J0LL-E,,,NULL
05J0NR-E,Growth,Very Low,NULL
05J0ST-E,,,NULL
05J15C-E,,,NULL
05J1BJ-E,,,NULL
05J1J1-E,Growth,Low,NULL
05J1N6-E,GARP,,6453
05J1ST-E,,,NULL
05J24T-E,,,NULL
05J24Y-E,,Very Low,NULL
05J2Z3-E,,,NULL
05J32D-E,,,13800
05J48K-E,,,NULL
05J48L-E,,,NULL
05J48R-E,,Low,NULL
05J4H1-E,,,NULL
05J4K4-E,,,NULL
05J57J-E,Growth,Medium,NULL
05J5GB-E,,,NULL
05J5JZ-E,Growth,Very Low,NULL
05J5N1-E,,,142
05J5P6-E,Growth,Low,1802
05J696-E,,,NULL
05J69C-E,Growth,High,NULL
05J6H7-E,Aggressive Growth,Medium,NULL
05J6HD-E,Yield,Low,NULL
05J6HF-E,,,NULL
05J6HP-E,,,NULL
05J6HW-E,,,NULL
05J6J5-E,Growth,Very Low,11894
05J6J6-E,,,NULL
05J6JN-E,Growth,Medium,NULL
05J6JS-E,Aggressive Growth,Low,110416
05J6K0-E,,,NULL
05J6KB-E,Aggressive Growth,Very Low,8539
05J6KH-E,Growth,Very Low,NULL
05J6KP-E,,,NULL
05J6KR-E,,,NULL
05J6LL-E,Index,Very Low,NULL
05J6LR-E,Growth,Very Low,NULL
05J6M4-E,,,NULL
05J6MG-E,,,NULL
05J6NP-E,GARP,,NULL
05J6PJ-E,Growth,Very Low,20690
05J6QK-E,Growth,Medium,25958
05J6R5-E,,,NULL
05J6R7-E,,,NULL
05J6RB-E,,,NULL
05J6RK-E,,,NULL
05J6RT-E,,,NULL
05J6S2-E,Growth,Very Low,NULL
05J6T5-E,,,NULL
05J6TD-E,,,NULL
05J6V0-E,Growth,Very Low,NULL
05J6V2-E,GARP,Very Low,NULL
05J6WH-E,,,NULL
05J6WY-E,,,NULL
05J6X7-E,,,NULL
05J6XH-E,,,NULL
05J6XX-E,Value,Low,NULL
05J6Y6-E,Growth,Very Low,NULL
05J6YJ-E,,,NULL
05J6YK-E,,,28504
05J6YM-E,,,NULL
05J709-E,,,NULL
05J70N-E,Yield,Very Low,20
05J70V-E,,Very Low,NULL
05J72L-E,,,84
05J72W-E,,,NULL
05J7D9-E,,,NULL
05J7DN-E,,,NULL
05J7JW-E,,,NULL
05J7NL-E,,,NULL
05J7PB-E,Index,,NULL
05J7PG-E,,,541
05J7PJ-E,,,NULL
05J7PR-E,,,NULL
05J7PX-E,Growth,Very Low,NULL
05J7PZ-E,,,NULL
05J7Q6-E,,,NULL
05J7RV-E,,,NULL
05J7TK-E,,,NULL
05J7V0-E,,,NULL
05J7VQ-E,,,NULL
05J7Y7-E,,,NULL
05J7Y8-E,,,NULL
05J7YF-E,GARP,Very Low,NULL
05J81X-E,Yield,Very High,65
05J81Y-E,,,NULL
05J81Z-E,,,NULL
05J821-E,,,NULL
05J824-E,,,NULL
05J826-E,,Very Low,14010
05J827-E,,,NULL
05J828-E,Aggressive Growth,,NULL
05J82J-E,Yield,Very Low,NULL
05J82T-E,,,NULL
05J84P-E,GARP,,NULL
05J85M-E,GARP,Very Low,NULL
05J862-E,Yield,Very Low,NULL
05J86H-E,,,NULL
05J86R-E,,,NULL
05J871-E,Index,Very Low,806621
05J87L-E,,,NULL
05J87T-E,,,NULL
05J87Y-E,GARP,Very Low,NULL
05J88Y-E,Growth,Very Low,NULL
05J899-E,,,NULL
05J8D9-E,Index,Very Low,NULL
05J8DF-E,,,NULL
05J8DL-E,Yield,,NULL
05J8DP-E,,,NULL
05J8DV-E,Yield,Very Low,NULL
05J8DZ-E,Yield,Low,2241
05J8FY-E,,Very Low,NULL
05J8FZ-E,GARP,Very Low,NULL
05J8G7-E,,,NULL
05J8GF-E,,,NULL
05J8GQ-E,Yield,Very Low,NULL
05J8H4-E,Growth,Very Low,NULL
05J8HG-E,,,NULL
05J8HL-E,Deep Value,,NULL
05J8NR-E,,,NULL
05J8NW-E,Value,Very Low,5720
05J8NZ-E,,,NULL
05J8T4-E,,,NULL
05J8VY-E,GARP,Low,NULL
05J8WV-E,,,3022
05J8X4-E,,,NULL
05J8X5-E,,,179
05J905-E,,,NULL
05J91S-E,Aggressive Growth,,2240
05J91X-E,,,NULL
05J922-E,,,NULL
05J92G-E,Aggressive Growth,Medium,1747
05J94N-E,,,NULL
05J952-E,,,NULL
05J95L-E,Yield,,NULL
05J95Q-E,Growth,Very Low,NULL
05J95S-E,,,NULL
05J96W-E,,,NULL
05J96Z-E,,,NULL
05J97C-E,Yield,Very Low,231
05J9J8-E,,,NULL
05J9ST-E,,,372
05JBJD-E,Growth,Medium,32323
05JCBN-E,,,108
05JCYT-E,Growth,Low,NULL
05JDL1-E,,,NULL
05JDLX-E,,,NULL
05JDMJ-E,,,NULL
05JDMZ-E,,,NULL
05JDNF-E,,,5622
05JDQ2-E,,,NULL
05JDYF-E,Growth,Low,NULL
05JF70-E,,,NULL
05JFKT-E,,,NULL
05JFZH-E,,,NULL
05JG43-E,,,NULL
05JGDB-E,Yield,Very Low,NULL
05JGGB-E,,,NULL
05JGHP-E,,,NULL
05JGJD-E,,,NULL
05JH37-E,,,NULL
05JHYQ-E,,,NULL
05JJ00-E,Aggressive Growth,,NULL
05JJ4W-E,Value,,NULL
05JJ6X-E,,,NULL
05JJ8C-E,Deep Value,,NULL
05JJ8V-E,,,NULL
05JJ8W-E,,,NULL
05JJ9M-E,Growth,Low,NULL
05JJB4-E,Growth,High,37673
05JJBM-E,Growth,High,56676
05JJBN-E,,,NULL
05JJC2-E,Growth,Medium,34931
05JJC3-E,Growth,Low,38462
05JJJL-E,,,9
05JJJT-E,,,NULL
05JJL5-E,,,NULL
05JJN9-E,,,NULL
05JJP9-E,,,38426
05JJPW-E,Growth,,NULL
05JJPX-E,,,NULL
05JK0S-E,,,NULL
05JK0Z-E,,,NULL
05JK39-E,Value,Medium,NULL
05JK55-E,Yield,Very Low,NULL
05JK5G-E,,,NULL
05JK5T-E,Growth,Low,2434
05JK9C-E,Growth,,76146
05JK9M-E,,,101
05JK9N-E,Yield,,NULL
05JK9P-E,Value,Very Low,NULL
05JKF4-E,GARP,,NULL
05JKGG-E,Growth,High,NULL
05JKK4-E,,,NULL
05JKPY-E,Aggressive Growth,,NULL
05JL1P-E,,,NULL
05JLBT-E,,,76000
05JLBY-E,,,NULL
05JLG6-E,,,198
05JLGC-E,,,NULL
05JLK4-E,Growth,,14749
05JLQ7-E,,,NULL
05JM1K-E,Yield,Very Low,NULL
05JM1R-E,Yield,Very Low,NULL
05JM5P-E,,High,348010
05JMGJ-E,,,NULL
05JMGY-E,,,4377
05JMJ2-E,,,NULL
05JMVW-E,,,NULL
05JMYG-E,,,NULL
05JN3W-E,Yield,,7474
05JN75-E,Yield,,NULL
05JNBN-E,GARP,Medium,908
05JNRK-E,,,NULL
05JNWB-E,,Medium,1584
05JNX7-E,,,2284
05JP7L-E,,,NULL
05JP7W-E,Aggressive Growth,Low,4561
05JPBV-E,,,NULL
05JPJF-E,Deep Value,,10671
05JPXJ-E,Growth,,NULL
05JQ6L-E,,,NULL
05JR08-E,,,NULL
05JRBM-E,,,NULL
05JRFS-E,,,NULL
05JRH8-E,Aggressive Growth,,NULL
05JRJD-E,GARP,,NULL
05JRL0-E,,,NULL
05JRTR-E,Yield,,NULL
05JRTV-E,GARP,,NULL
05JRTX-E,GARP,Low,58950
05JRV7-E,GARP,,NULL
05JRVG-E,GARP,High,54174
05JRYH-E,,,NULL
05JRYL-E,GARP,,NULL
05JRYM-E,,,NULL
05JRYW-E,Yield,,NULL
05JS21-E,,,NULL
05JS37-E,GARP,,NULL
05JS4W-E,Value,,NULL
05JS5Z-E,,,NULL
05JS77-E,GARP,Very Low,NULL
05JSCD-E,GARP,,NULL
05JSHR-E,,,NULL
05JSKG-E,,,NULL
05JSL9-E,,,NULL
05JSZM-E,,,NULL
05JSZV-E,,,NULL
05JT9M-E,,,NULL
05JTDN-E,GARP,,175800
05JTDS-E,Yield,,NULL
05JTFW-E,,,NULL
05JTGC-E,Yield,,NULL
05JTHH-E,,,NULL
05JTPD-E,,,NULL
05JTTT-E,,,1406
05JTV2-E,Yield,,240
05JTVK-E,,,NULL
05JV95-E,,,7937
05JVGZ-E,Aggressive Growth,,873
05JVJJ-E,,,NULL
05JVM4-E,,,NULL
05JVZ3-E,,,NULL
05JW0M-E,,,1210
05JW4P-E,,,NULL
05JW4Y-E,,,1984
05JW68-E,GARP,,NULL
05JW6B-E,,,NULL
05JW6J-E,GARP,Medium,12581
05JW7K-E,,,NULL
05JW9Q-E,,,NULL
05JWC0-E,,,434
05JWDS-E,Yield,,NULL
05JWN3-E,,,NULL
05JWPV-E,,,NULL
05JWQ9-E,,,NULL
05JWRM-E,,,1926
05JWRN-E,,,NULL
05JWVJ-E,,,NULL
05JWY4-E,,,NULL
05JWYP-E,,,NULL
05JWZL-E,,,NULL
05JWZM-E,,,NULL
05JX06-E,Deep Value,,NULL
05JX20-E,,,NULL
05JX4W-E,,,NULL
05JX6P-E,,,50364
05JX8X-E,,,NULL
05JX9K-E,,,NULL
05JXDT-E,Yield,,NULL
05JXG0-E,,,NULL
05JXJ4-E,,,597
05JXJ9-E,,,131
05JXJC-E,,,6
05JXJR-E,,Very Low,NULL
05JXJV-E,,,NULL
05JXKX-E,,,NULL
05JXN2-E,,,NULL
05JXNH-E,,,213
05JXQ9-E,,,NULL
05JXQH-E,Yield,,NULL
05JXQP-E,,Very Low,11985
05JXXC-E,,,1347
05JXXQ-E,,,121
05JY2L-E,,,NULL
05JY6J-E,,,833
05JYB8-E,,,NULL
05JYL1-E,Aggressive Growth,,NULL
05JYL5-E,,,NULL
05JYLZ-E,,,NULL
05JYMG-E,,,NULL
05JYMW-E,,,NULL
05JYP1-E,,,NULL
05JYPY-E,,,NULL
05JYY6-E,Growth,Medium,9585
05JYYX-E,,,NULL
05JZ22-E,,,NULL
05JZ3L-E,Growth,Medium,NULL
05JZ3N-E,,,NULL
05JZ54-E,,,NULL
05JZ60-E,,,NULL
05JZ8Y-E,,,NULL
05JZFC-E,,,NULL
05JZJR-E,,,NULL
05JZMD-E,,,NULL
05JZTJ-E,,,NULL
05JZTM-E,,,NULL
05JZX7-E,,,NULL
05JZXN-E,,,178
05JZXP-E,,,NULL
05K05R-E,,,NULL
05K084-E,,,NULL
05K08Q-E,Value,,12080
05K0BX-E,Deep Value,,NULL
05K0JN-E,,,NULL
05K0MX-E,,,NULL
05K0S0-E,,,NULL
05K0TL-E,,,NULL
05K159-E,,,NULL
05K174-E,Yield,,NULL
05K17K-E,Growth,Medium,28667
05K197-E,GARP,,NULL
05K1HR-E,,,NULL
05K1KX-E,,,NULL
05K1M2-E,Aggressive Growth,,65199
05K1PN-E,,,NULL
05K1Y6-E,Growth,Medium,10189
05K1YC-E,Index,Low,NULL
05K22K-E,,,NULL
05K22M-E,,,NULL
05K232-E,,,NULL
05K246-E,,,NULL
05K266-E,,,NULL
05K267-E,Growth,Medium,NULL
05K28D-E,,,NULL
05K28L-E,Index,Very Low,322920
05K2F7-E,,,NULL
05K2FR-E,,,NULL
05K2L0-E,GARP,Low,NULL
05K2L2-E,Growth,Very Low,6231
05K2QJ-E,,,NULL
05K2QT-E,Growth,Very Low,NULL
05K2RP-E,,,NULL
05K2TR-E,Growth,,NULL
05K2TY-E,,,NULL
05K2YT-E,GARP,,NULL
05K304-E,Growth,Very Low,NULL
05K31K-E,Growth,Very Low,951192
05K31S-E,,,NULL
05K32F-E,,,NULL
05K33B-E,Yield,,NULL
05K36L-E,GARP,,NULL
05K36M-E,Growth,,NULL
05K39Q-E,Aggressive Growth,,NULL
05K3BY-E,,,NULL
05K3CM-E,Deep Value,,NULL
05K3CW-E,,,NULL
05K3CY-E,,,NULL
05K3D2-E,,,NULL
05K3D6-E,,,NULL
05K3FH-E,,,517
05K3FW-E,Yield,,2069
05K3FZ-E,,,NULL
05K3JC-E,,,NULL
05K3M3-E,Yield,Very Low,26303
05K3RH-E,Yield,,50840
05K3TN-E,,,NULL
05K3VJ-E,,,NULL
05K3VS-E,,,NULL
05K3Y6-E,,,NULL
05K41S-E,Yield,Medium,NULL
05K41W-E,,,NULL
05K456-E,Value,Low,NULL
05K46W-E,Yield,Very Low,NULL
05K4RX-E,,,NULL
05K4S4-E,GARP,,NULL
05K57N-E,Growth,Low,NULL
05K5FQ-E,,,NULL
05K5S9-E,,,NULL
05K5TC-E,,,NULL
05K5TW-E,GARP,Very Low,NULL
05K5V0-E,,,NULL
05K5V5-E,,,NULL
05K5XJ-E,,,NULL
05K5XN-E,,,NULL
05K5Y4-E,,,NULL
05K5Y9-E,,,NULL
05K5YJ-E,,,NULL
05K5YM-E,,,NULL
05K5YT-E,,,306
05K5ZF-E,,Medium,NULL
05K5ZH-E,,,NULL
05K5ZS-E,Growth,Very Low,2893
05K5ZV-E,Yield,,NULL
05K5ZZ-E,,,NULL
05K603-E,,,24135
05K605-E,,,NULL
05K60F-E,,,NULL
05K60H-E,,,NULL
05K60K-E,,,NULL
05K60S-E,,,NULL
05K60T-E,,,NULL
05K61R-E,,,247
05K634-E,Growth,High,NULL
05K65F-E,,,NULL
05K67X-E,GARP,,86
05K6C5-E,,,NULL
05K6C9-E,,,NULL
05K6CL-E,,,NULL
05K6CM-E,,,NULL
05K6D2-E,,,NULL
05K6G9-E,Growth,Medium,150
05K6GD-E,,,NULL
05K6GF-E,,,33
05K6H1-E,Growth,Very Low,19130
05K6K8-E,,,NULL
05K6NQ-E,Value,Very Low,6199
05K6PB-E,,,NULL
05K6Q5-E,Value,Medium,NULL
05K6QT-E,,,NULL
05K6T2-E,,,NULL
05K75W-E,Growth,Very Low,NULL
05K77N-E,,High,NULL
05K7BK-E,,,NULL
05K7GZ-E,Growth,Low,103487
05K7H6-E,,,NULL
05K7KZ-E,,,NULL
05K7MT-E,,,NULL
05K7P3-E,,,NULL
05K7P4-E,,,NULL
05K7PP-E,,,NULL
05K7R4-E,Yield,Medium,NULL
05K7RP-E,,,NULL
05K7RT-E,,,NULL
05K7RV-E,,,15840
05K7RX-E,,,NULL
05K7S2-E,,,NULL
05K7S6-E,GARP,,NULL
05K7SH-E,,,5973
05K7SL-E,Growth,Low,NULL
05K7T2-E,Aggressive Growth,Very High,284
05K7WX-E,,,NULL
05K7WY-E,,,NULL
05K7X3-E,,,59
05K7X7-E,,,NULL
05K7XP-E,,,NULL
05K7XR-E,Growth,Low,NULL
05K7Z4-E,,,NULL
05K82M-E,,,NULL
05K831-E,,,NULL
05K834-E,,,NULL
05K835-E,,,6269
05K83B-E,,Very High,74292
05K83C-E,,,NULL
05K83G-E,,,NULL
05K846-E,Value,,NULL
05K84C-E,,,3971
05K84F-E,Value,Medium,234857
05K84Z-E,,,NULL
05K887-E,,,NULL
05K88G-E,Yield,High,1257
05K88Y-E,,,NULL
05K89D-E,,,NULL
05K89H-E,,,NULL
05K8B4-E,,,NULL
05K8B6-E,,,NULL
05K8BB-E,,,NULL
05K8BK-E,,,NULL
05K8BZ-E,,,NULL
05K8C2-E,,,NULL
05K8C5-E,,,NULL
05K8CB-E,,,NULL
05K8CQ-E,,,NULL
05K8CT-E,,,NULL
05K8CX-E,,,NULL
05K8CZ-E,,,NULL
05K8D9-E,,,NULL
05K8HP-E,Growth,Medium,3992
05K8HY-E,,,NULL
05K8J2-E,,,NULL
05K8J8-E,,,NULL
05K8JF-E,,,NULL
05K8JK-E,,,NULL
05K8JX-E,Value,High,168
05K8K0-E,,,NULL
05K8K2-E,,,NULL
05K8K4-E,Growth,Very Low,NULL
05K8KH-E,,,NULL
05K8KL-E,,,NULL
05K8KT-E,GARP,,NULL
05K8KX-E,,,NULL
05K8L2-E,,,NULL
05K8LB-E,,,NULL
05K8LF-E,,,NULL
05K8LL-E,,Very Low,4303
05K8P0-E,,,1043
05K8PH-E,,,NULL
05K8PM-E,,,NULL
05K8Q4-E,,,NULL
05K8QH-E,Growth,Medium,NULL
05K8X2-E,,,NULL
05K8XH-E,Yield,Very Low,4553
05K919-E,Aggressive Growth,Low,12457
05K91B-E,,,NULL
05K91P-E,,,NULL
05K91Q-E,,,NULL
05K91R-E,Growth,Very Low,NULL
05K91T-E,Growth,Very Low,4450
05K92L-E,,,NULL
05K92W-E,,,NULL
05K934-E,,,NULL
05K9BD-E,Value,Low,16000
05K9BH-E,,,NULL
05K9BN-E,,,NULL
05K9CP-E,,,NULL
05K9CX-E,Value,Low,16128
05K9CZ-E,Growth,Very Low,NULL
05K9PZ-E,,,NULL
05K9Q0-E,,,NULL
05K9Q3-E,Growth,Low,NULL
05K9Q7-E,Deep Value,,NULL
05K9QD-E,,,NULL
05K9QV-E,,,4103
05K9QW-E,,,NULL
05KB5X-E,Deep Value,,NULL
05KB6J-E,Aggressive Growth,Very Low,NULL
05KBDS-E,Growth,Low,57850
05KBGC-E,,,NULL
05KBGK-E,Yield,,NULL
05KBH6-E,,,NULL
05KBKZ-E,,,NULL
05KBV1-E,,,NULL
05KBV4-E,Growth,Very Low,NULL
05KBV5-E,,,NULL
05KBV9-E,Growth,Very Low,NULL
05KBVC-E,,,NULL
05KBVH-E,,,NULL
05KBVJ-E,Growth,Low,NULL
05KBVL-E,,,NULL
05KBVS-E,Growth,Medium,17077
05KBWD-E,Growth,Very Low,NULL
05KBX6-E,Aggressive Growth,,NULL
05KBXP-E,,,NULL
05KBXY-E,,,NULL
05KBY3-E,,,NULL
05KBY9-E,,,NULL
05KBYD-E,,,NULL
05KBYL-E,,,391
05KBYP-E,,,71
05KBYR-E,,,5
05KBZ6-E,,,NULL
05KBZC-E,,,NULL
05KBZH-E,,,NULL
05KBZS-E,,,NULL
05KBZW-E,,,NULL
05KC4J-E,,,NULL
05KC4M-E,Yield,,NULL
05KC54-E,,,NULL
05KCG6-E,,,4889
05KCG7-E,,,NULL
05KCHG-E,,,NULL
05KCJS-E,Yield,Very Low,NULL
05KCNX-E,,,NULL
05KCNZ-E,,,NULL
05KCPB-E,,,NULL
05KCPG-E,,,NULL
05KCPJ-E,,,332
05KCPR-E,,,NULL
05KCPS-E,,,NULL
05KCPT-E,,,NULL
05KCPY-E,,Medium,1170
05KCQ3-E,,,NULL
05KCQV-E,,,NULL
05KCR6-E,,,29
05KCRC-E,,,NULL
05KCRH-E,,,NULL
05KCRP-E,,,NULL
05KCRQ-E,,,NULL
05KCT8-E,Growth,Medium,NULL
05KCXF-E,,,NULL
05KCXK-E,,,NULL
05KCXS-E,,,19
05KCY8-E,,,392
05KD38-E,,,NULL
05KDBG-E,,,NULL
05KDKL-E,,,NULL
05KDNQ-E,,,NULL
05KDP0-E,Yield,,NULL
05KDT2-E,GARP,Very Low,NULL
05KDV3-E,,,NULL
05KDYT-E,,,NULL
05KF02-E,,,34
05KF5D-E,,,NULL
05KF8L-E,,,NULL
05KFKK-E,Yield,Low,1522
05KFLV-E,Yield,,NULL
05KFM2-E,,Very Low,NULL
05KFX8-E,,,NULL
05KFYG-E,Growth,Low,964692
05KFYL-E,Yield,Low,NULL
05KFYT-E,,,NULL
05KFZJ-E,,,NULL
05KFZP-E,,,NULL
05KFZQ-E,,,99
05KG7N-E,Growth,Very Low,NULL
05KGGX-E,GARP,Very Low,NULL
05KGHG-E,,,NULL
05KGL7-E,,,NULL
05KGQ2-E,,,NULL
05KHC1-E,,,NULL
05KHDQ-E,,,NULL
05KHFQ-E,,,NULL
05KHFR-E,,,1600
05KHG0-E,,,NULL
05KHGG-E,,Very High,NULL
05KHGN-E,Growth,Very Low,NULL
05KHJD-E,,,NULL
05KHJJ-E,,,NULL
05KHJN-E,,,NULL
05KHJS-E,,,NULL
05KHN1-E,,,NULL
05KHN4-E,,,NULL
05KHN7-E,GARP,Low,NULL
05KHNB-E,,,NULL
05KHS2-E,,,NULL
05KHS7-E,Yield,Very Low,973
05KHTY-E,,,NULL
05KJ3Q-E,,,NULL
05KJ4D-E,,Very Low,NULL
05KJ5F-E,,,12861
05KJ7N-E,Growth,Medium,NULL
05KJDM-E,,,NULL
05KJJC-E,,,NULL
05KJJW-E,,,37000
05KJKZ-E,Growth,Very Low,17140
05KJN1-E,Yield,,NULL
05KJTB-E,,,NULL
05KJTH-E,,,NULL
05KJTP-E,,,NULL
05KJTQ-E,GARP,Low,313
05KJTR-E,Yield,,NULL
05KJTS-E,,,NULL
05KJVB-E,,,32
05KJW8-E,,,NULL
05KJYS-E,,,NULL
05KK0Q-E,Yield,,NULL
05KK58-E,Growth,Low,NULL
05KK5Z-E,,,NULL
05KK7Y-E,,,NULL
05KKCW-E,,,10979
05KKFS-E,,,NULL
05KKJ3-E,,,NULL
05KKJB-E,Value,,NULL
05KKJF-E,,,NULL
05KKJJ-E,,,NULL
05KKNJ-E,,,31
05KKZH-E,GARP,,5925
05KL82-E,,,NULL
05KL9B-E,,,NULL
05KLJF-E,,,NULL
05KLK2-E,,,NULL
05KLKF-E,,,NULL
05KLQG-E,,,NULL
05KLWK-E,,,NULL
05KLX4-E,,,NULL
05KLZJ-E,,,NULL
05KM01-E,Yield,,NULL
05KM06-E,,,NULL
05KM2L-E,,,NULL
05KMB7-E,,,3
05KMBH-E,,,NULL
05KMC1-E,,,NULL
05KMDR-E,,High,2147
05KMM1-E,,,NULL
05KMXF-E,,,NULL
05KMZ1-E,Growth,Medium,1019
05KMZY-E,Growth,,19626
05KN20-E,Deep Value,,76
05KN2W-E,,,NULL
05KN4X-E,,,NULL
05KN5W-E,Growth,,NULL
05KN6C-E,,,NULL
05KN79-E,,,NULL
05KNBH-E,,,NULL
05KNGR-E,Aggressive Growth,Very Low,NULL
05KNHV-E,,,2045
05KNLN-E,Yield,Medium,NULL
05KNLZ-E,,,NULL
05KNR7-E,,,10000
05KNTK-E,,,NULL
05KNTN-E,,,NULL
05KNTS-E,Aggressive Growth,Medium,NULL
05KNYD-E,,,12
05KP4K-E,,,NULL
05KP4Z-E,,,NULL
05KP6T-E,,,NULL
05KP86-E,GARP,,NULL
05KP9Z-E,Growth,Low,NULL
05KPC2-E,Growth,Very Low,NULL
05KPS5-E,,,NULL
05KPSG-E,GARP,Low,NULL
05KPSY-E,Growth,Very Low,1129
05KPTH-E,,,NULL
05KPVQ-E,,,1100
05KPW5-E,,,2773
05KPWX-E,,,6851
05KPZY-E,,,295
05KQ1N-E,,,NULL
05KQ1S-E,,,1700
05KQ4W-E,,,NULL
05KQ58-E,,,723
05KQ5P-E,,,NULL
05KQ84-E,,,5761
05KQ8P-E,,,400
05KQBK-E,,,13353
05KQDP-E,,,NULL
05KQFH-E,,,NULL
05KQJ4-E,,Very Low,NULL
05KQKF-E,,,NULL
05KQLD-E,,,NULL
05KQMD-E,,,NULL
05KQMM-E,,,NULL
05KQMN-E,,,NULL
05KQNL-E,,,NULL
05KQQ2-E,,,784
05KQQT-E,,,2985
05KQR4-E,,,2200
05KQS8-E,Growth,Medium,36700
05KQW8-E,Growth,Very Low,NULL
05KQYJ-E,,,389
05KQZ8-E,,,NULL
05KR1B-E,,,198
05KR1S-E,,,2381
05KR5F-E,,,NULL
05KR6B-E,GARP,Very Low,NULL
05KR8J-E,,,NULL
05KRBH-E,,,NULL
05KRKB-E,,,13703
05KRL1-E,,,NULL
05KRLF-E,,,NULL
05KRQ7-E,Growth,,NULL
05KRQL-E,,,NULL
05KRTT-E,,,3300
05KRTY-E,,,NULL
05KRVG-E,,,240
05KRWW-E,,,735
05KRWX-E,,,NULL
05KRX5-E,,,2400
05KS1D-E,,,NULL
05KS7M-E,,,NULL
05KS80-E,,,NULL
05KS95-E,,,NULL
05KSC0-E,,,NULL
05KSCF-E,,,NULL
05KSF3-E,,,NULL
05KSGT-E,,,NULL
05KSHP-E,Growth,Very Low,25829
05KSJF-E,,,NULL
05KSKY-E,,,NULL
05KSM4-E,,,8130
05KSNQ-E,,,NULL
05KSPQ-E,,,281
05KSPT-E,,,NULL
05KSQ1-E,,,524
05KSQF-E,,,526
05KSR1-E,,,NULL
05KSRW-E,,,NULL
05KSXZ-E,,,5659
05KSYG-E,,,NULL
05KSZ2-E,,,NULL
05KT15-E,,,NULL
05KT6Q-E,,,NULL
05KT7L-E,,,5000
05KTBQ-E,,,NULL
05KTD3-E,,,NULL
05KTGR-E,,,NULL
05KTJ4-E,,,NULL
05KTN1-E,,,15314
05KTRC-E,Value,Medium,502
05KTRJ-E,,,15492
05KTS5-E,,,NULL
05KTST-E,,,NULL
05KTSW-E,,,NULL
05KTZG-E,,,5458
05KV0T-E,,,NULL
05KV4D-E,,,NULL
05KV4W-E,,,NULL
05KV7B-E,,,NULL
05KV9X-E,,,NULL
05KVFG-E,,,NULL
05KVFH-E,,,NULL
05KVHP-E,,,NULL
05KVJ6-E,,,500
05KVKH-E,Growth,Very Low,NULL
05KVLN-E,,,NULL
05KVQ1-E,,,3348
05KVRR-E,,,NULL
05KVRS-E,,,NULL
05KVS8-E,,,NULL
05KW07-E,,,NULL
05KW5V-E,,,NULL
05KWD3-E,,,NULL
05KWFG-E,,,250
05KWHH-E,,,3
05KWJW-E,,,40536
05KWNY-E,,,700
05KWT7-E,,,NULL
05KWVV-E,,,NULL
05KWX9-E,,,NULL
05KWZ4-E,,,NULL
05KWZ8-E,,,2283
05KWZV-E,,,NULL
05KX65-E,,,NULL
05KXCP-E,,,214
05KXCR-E,,,NULL
05KXDG-E,,,NULL
05KXFP-E,,,NULL
05KXNZ-E,,,NULL
05KXWT-E,,,NULL
05KXXD-E,,,NULL
05KY1Q-E,,,2134
05KY57-E,,,NULL
05KY5L-E,,,NULL
05KY6C-E,,,445
05KY6L-E,,,NULL
05KYCG-E,,,404
05KYD4-E,,,407
05KYDZ-E,,,NULL
05KYGK-E,Growth,High,44626
05KYMR-E,,,NULL
05KYNR-E,,,NULL
05KYNW-E,,,NULL
05KYQ2-E,,,NULL
05KYR6-E,Growth,Medium,1539
05KYZF-E,,,NULL
05KZ0Q-E,,,NULL
05KZ1L-E,,,3000
05KZ20-E,,,NULL
