factset_entity_id,name,ManagerStyle,InstitutionFixedStyle
0B1QMK-E,AIMS Snowden Global Property Securities Management Pty Ltd.,NULL,
0B23VC-E,Essel Finance AMC Ltd.,NULL,GARP
0CGQKM-E,EBL Investments Ltd.,NULL,
0CGRPM-E,Kepler Cheuvreux SA (Austria),NULL,
0CH4Y0-E,Beardsley Research,NULL,
0CH9TP-E,Russell Investments France SAS,NULL,
0CHMKH-E,2100 Xenon Group LLC,NULL,
0DQ8BC-E,Perdurance Asset Management Ltd.,NULL,
0DQB44-E,Orwell Capital Partners LLP,NULL,GARP
0DQLB0-E,Capensor Capital AB,NULL,
05JXJ4-E,Sofinim NV,NULL,
05K2TY-E,Citigroup Asset Management Australia Ltd.,NULL,
05K2YT-E,Venaglass Ltd.,NULL,GARP
05K7P3-E,Fonditalia Management Co. SA,NULL,
05K84Z-E,"Hirst Investment Management, Inc.",NULL,
05K8BK-E,Cimarron Biomedical Investors LP,NULL,
05K919-E,Capital International KK,NULL,Deep Value
05K9CZ-E,FIL Investment Management (Australia) Ltd.,NULL,GARP
05KBYR-E,Genesee Investments LLC,NULL,
05KFYT-E,Michael Ostlund & Co. Fonder AB,NULL,
05KGL7-E,H. C. Wainwright & Co. LLC,NULL,GARP
05KM2L-E,Wah Hin & Co. Pte Ltd.,NULL,
05KN79-E,BNP Paribas Developpement SA,NULL,
05KP9Z-E,Alkeon Capital Management LLC,NULL,Growth
05KPSY-E,Walser Privatbank AG,NULL,Yield
05KQJ4-E,NN Investment Partners (Singapore) Ltd.,NULL,GARP
05KQMM-E,Arca Impresa Gestioni SGR SpA,NULL,
05KQQ2-E,Argos Wityu SA,NULL,
05KQR4-E,Arlington Capital Partners LLC,NULL,
05KRWW-E,Frontenac Co. LLC,NULL,
05KSRW-E,Carlisle Enterprises LLC,NULL,
05KWFG-E,Delta Partners Ltd.,NULL,
05KXNZ-E,"EQT Partners Denmark, filial af EQT Partners AB, Sverige",NULL,
05KY5L-E,FdG Associates LP,NULL,
05KZGN-E,GMT Communications Partners LLP,NULL,
05KZV2-E,Deutsche Postbank Financial Services GmbH,NULL,
05L0N5-E,Lloyds TSB Private Banking Ltd.,NULL,
05L2MW-E,Windward Capital Partners LP,NULL,
05L4GZ-E,Circle Trust Co.,NULL,
06WGBF-E,"Equity Capital Partners, Inc.",NULL,
06WMMX-E,IFCI Venture Capital Funds Ltd.,NULL,
06WQ5D-E,KPCB (China) Advisory Co. Ltd.,NULL,
06WS6M-E,Audax Mezzanine,NULL,
06WTQN-E,AsiaTech Ventures Ltd.,NULL,
06WVQZ-E,Sectram Partners SA,NULL,
06WYXX-E,Euroventures Kockazati Tokealap-kezelo Zrt.,NULL,
06XHM6-E,Riggs Capital Partners,NULL,
06XKHN-E,Scheybeeck Investments BV,NULL,
06XTBR-E,"China Chengxin International Credit Rating Co., Ltd.",NULL,
06XVYZ-E,Standard & Poor's Credit Market Services Europe Ltd. (Ger.),NULL,
06XVZZ-E,Inwood Capital Management LLC,NULL,
06XZKQ-E,Argon Capital LLC,NULL,
06XZR7-E,"New World Angels, Inc.",NULL,
06Y02T-E,Pisces Capital Management LLC,NULL,
0B0ZP1-E,Kingsbrook Partners LP,NULL,GARP
0B1477-E,NDB Aviva Wealth Management Ltd. (Old),NULL,
0B16QS-E,John Keells Stock Brokers (Pvt) Ltd.,NULL,
0B17DT-E,Credit Suisse Founder Securities Ltd.,NULL,
0B18N8-E,Lockwell Investments LLC,NULL,
0B1FQD-E,Nile Capital Management LLC,NULL,Deep Value
0B1W7T-E,Fiera Capital Corp. (Investment Management),Growth,GARP
0CGNF7-E,PREMIUM Equity Partners GmbH,NULL,
0CGPW9-E,Drexel Hamilton Investment Partners LLC,NULL,
0CGVKK-E,Third Rome Investment Solutions LLC,NULL,
0CH54Z-E,Ceera Investments LLC,NULL,
0CH7K2-E,Arbalet Capital Management LP,NULL,
0CHL7Z-E,Alkhair Capital Saudi Arabia,NULL,
0CHPX2-E,TPK Advisors LLC,NULL,
0CHS94-E,ALSTIN Family GmbH,NULL,GARP
0CJ385-E,Atlantic Business Angels Booster Association,NULL,
0DR0Q0-E,BGL Private Equity Ltd.,NULL,
0FQKTP-E,Momentum VC,NULL,
0FQKVM-E,Union Partners I LLC,NULL,
0FQNMN-E,Aegis Security Insurance Co. (Investment Portfolio),NULL,
0FQPXC-E,Eastern Alliance Insurance Co. (Investment Portfolio),NULL,
0FQVF3-E,Inventure Capital Markets,NULL,
0FQW6H-E,Euglena SMBC Nikko Leave-a-Nest Capital L.L.C.,NULL,
0FR13V-E,Pathbreaker Ventures LLC,NULL,
