FactSet Entity ID,Institution_name,Discrepancy_Column
002L8H-E,"CIBC Private Wealth Advisors, Inc.",
0DCFD3-E,Goldman Sachs & Co. LLC (Private Banking),
06027M-E,Rathbone Investment Management Ltd.,
002XG1-E,Riverbridge Partners LLC,
060DTF-E,"Mirae Asset Global Investments Co., Ltd.",
0CWKDL-E,Blackstone Alternative Solutions LLC,
002B3Q-E,New York State Common Retirement Fund,
002XTV-E,UBS Asset Management (UK) Ltd.,
05FW8P-E,CPR Asset Management SA,
05M9G5-E,"JPMorgan Chase Bank, NA (Investment Management)",
001QWK-E,The Hillman Co.,
05J6S2-E,The Bank of New York Mellon Corp. (Investment Management),
000PHW-E,Massachusetts Financial Services Co.,
000TNX-E,"T. Rowe Price Associates, Inc. (Investment Management)",
06C583-E,Portolan Capital Management LLC,
0FJX90-E,Deep Field Asset Management LLC,
0049MY-E,Balyasny Asset Management LP,
000D7G-E,The California Public Employees Retirement System,
05F9JR-E,Mellon Investments Corp.,
0DY1H2-E,Hunt Lane Capital LP,
002H7Y-E,Russell Investment Management LLC,
0044WZ-E,SEI Investments Management Corp.,
007Q5V-E,MUFG Securities EMEA Plc,
05TP21-E,Invesco Capital Management LLC,
003HVP-E,Adage Capital Management LP,
0GJKXY-E,Lucha Capital Management LP,
002DRR-E,California State Teachers' Retirement System,
000WWX-E,State Farm Investment Management Corp.,
0D3J68-E,Wells Fargo Clearing Services LLC,
08BZBV-E,"BlackRock Japan Co., Ltd.",
0H2Y8N-E,JPMorgan Securities LLC (Investment Management),
06Y5K6-E,White Elm Capital LLC,
002HXZ-E,Teachers Retirement System of the State of Kentucky,
09P678-E,Element Capital Management LLC,
000YND-E,Columbia Wanger Asset Management LLC,
0FH12C-E,Clearfield Capital Management LP,
0DCX79-E,DWS Investment GmbH,
0GB4MX-E,Morgan Stanley Smith Barney LLC (Invt Mgmt),
002BRP-E,State Board of Administration of Florida Retirement System,
05FDPL-E,Parametric Portfolio Associates LLC,
05JK9P-E,Sjunde AP-fonden,
0CSDC8-E,GLC Asset Management Group Ltd.,
06JN4W-E,BNP Paribas Arbitrage SNC,
009XY7-E,Boston Management & Research,
077CYS-E,"Bank of America, NA (Private Banking)",
00DXXK-E,USAA Asset Management Co.,
002HR9-E,Capital International SARL,
0DZ7Z6-E,Alta Park Capital LP,
09K27T-E,PineBridge Investments LLC,
0618F5-E,Hudson Bay Capital Management LP,
0FS1QN-E,Spyglass Capital Management LLC,
05SG74-E,"Asset Management One Co., Ltd.",
0031SR-E,RhumbLine Advisers LP,
001JJ6-E,"Kornitzer Capital Management, Inc.",
000P8M-E,"Lord, Abbett & Co. LLC",
06L8XD-E,BlackRock Investment Management LLC,
06NPXD-E,Capital Research & Management Co. (World Investors),
0035QZ-E,Stevens Capital Management LP,
000LH9-E,Federated MDTA LLC,
05F9FS-E,AllianceBernstein LP,
0012ZV-E,HBK Investments LP,
06327D-E,Mitsubishi UFJ Trust & Banking Corp. (Investment Management),
075NT7-E,OxFORD Asset Management LLP,
003LBB-E,AQR Capital Management LLC,
06PMGQ-E,BlackRock Investment Management (Australia) Ltd.,
06DB7L-E,FIAM LLC,
05NLNX-E,BC Investment Management Corp.,
0D7C6T-E,"Wells Fargo Bank, NA (Private Banking)",
000FF4-E,Credit Suisse Securities (USA) LLC (Broker),
0JQFMD-E,Atom Investors LP,
07KDFN-E,University of Notre Dame (Investment Management),
0DMK17-E,Taylor Wealth Management Partners LLC,
001YT0-E,Ohio Public Employees Retirement System,
000PC4-E,MacKay Shields LLC,
08GD59-E,Mediolanum Asset Management Ltd.,
002J1N-E,NNIP Advisors BV,
0024Q5-E,"Capital International, Inc.",
0H29XJ-E,Red Cedar Management LP,
0C7FNX-E,Segantii Capital Management Ltd.,
0GMWYQ-E,Calvert Research & Management,
003QFJ-E,Vantagepoint Investment Advisers LLC,
05HP6D-E,AMP Capital Investors Ltd.,
069316-E,DWS Investments (UK) Ltd.,
0CJ46C-E,"RBC Dominion Securities, Inc. (Investment Management)",
001VR9-E,Moore Capital Management LP,
0043R8-E,Marshall Wace LLP,
09Y0R8-E,Silver Lake Management Co. LLC,
0BCNBH-E,Nuveen Asset Management LLC,
00FC8N-E,Cipher Capital LP,
0606CR-E,Vanguard Investments Australia Ltd.,
0618D7-E,Zurich Life Assurance Plc,
0020GL-E,Vanguard Fiduciary Trust Co.,
0BQCLM-E,Elk Creek Partners LLC,
005N9V-E,Jane Street Capital LLC,
0090YC-E,Nicholas Investment Partners LP,
00FZ3W-E,Seven Eight Capital LP,
002JLB-E,Royal London Asset Management Ltd.,
0DN90G-E,Engineers Gate Manager LP,
09ZTH9-E,Brown Advisory LLC,
06QGX5-E,"Nomura Securities Co., Ltd. (Private Banking)",
05V7SP-E,Barclays Bank Plc (Private Banking),
05JJB4-E,Andra AP-fonden,
05G6QK-E,Aviva Investors Global Services Ltd.,
05FVVM-E,ProFund Advisors LLC,
0JMG0P-E,Lee Capital Asset Management LLC,
05JJ9M-E,FjÌ_rde AP-fonden,
00566B-E,Northern Trust Global Investments Ltd.,
05PG7S-E,Aperio Group LLC,
06M2R5-E,Pictet Asset Management SA,
0DH8SC-E,Blackstone Alternative Investment Advisors LLC,
0CRKCV-E,CWM LLC,
0D6P2W-E,Bank J. Safra Sarasin AG (Investment Management),
0DLBGG-E,Vanguard Global Advisers LLC,
0GS2R4-E,"Citigroup Global Markets, Inc. (Investment Management)",
05J6QK-E,"Los Angeles Capital Management & Equity Research, Inc.",
0G15HV-E,Schonfeld Strategic Advisors LLC,
001XQ7-E,"Penn Capital Management Co., Inc.",
08B245-E,Antipodean Advisors LLC,
05FW81-E,AXA Investment Managers UK Ltd.,
05G2Z1-E,Capital International Ltd.,
079G80-E,EULAV Asset Management,
05J862-E,Neuberger Berman BD LLC,
06SVND-E,Guardians of New Zealand Superannuation,
002Y4H-E,UBS Securities LLC,
05VHVJ-E,Lazard Asset Management LLC,
06F5NK-E,RBC Capital Markets LLC (Investment Management),
05G643-E,Credit Suisse AG,
0CVJ78-E,EFG Asset Management (Americas) Corp.,
05K28L-E,State Street Global Advisors Ltd.,
0645TX-E,"Envestnet Asset Management, Inc.",
000TGV-E,"Amundi Pioneer Asset Management, Inc.",
0612GZ-E,The Public Sector Pension Investment Board,
05G36K-E,Gulf International Bank (UK) Ltd.,
0DHGV8-E,Storebrand Asset Management AS,
05FYYC-E,Deka Investment GmbH,
000BPX-E,APG Asset Management NV,
06T5YJ-E,ZÌ_rcher Kantonalbank (Investment Management),
002HJ2-E,Amalgamated Bank (Investment Management),
0DNBZ2-E,Cubist Systematic Strategies LLC,
05SG6R-E,Daiwa Asset Management Co. Ltd.,
0C7G1Q-E,EFG Asset Management (UK) Ltd.,
00140T-E,Tudor Investment Corp.,
002D6G-E,"Sit Investment Associates, Inc.",
0FFKLT-E,Summit Partners Public Asset Management LLC,
005GHN-E,"Oppenheimer Asset Management, Inc.",
05G784-E,HSBC Global Asset Management (UK) Ltd.,
05RK9D-E,Utah Retirement Systems,
00724F-E,Wells Fargo Advisors Financial Network LLC,
06QBDB-E,Mn Services Vermogensbeheer BV,
002H3S-E,"Nomura Asset Management Co., Ltd.",
0C17NN-E,Quadrature Capital Ltd.,
05GSFD-E,KLP Kapitalforvaltning AS,
05G6HN-E,SEB Investment Management AB,
0090RC-E,"Southeast Asset Advisors, Inc.",
001MJ6-E,Colorado Public Employees' Retirement Association,
05P5CR-E,Federated Investment Management Co.,
05GBGD-E,Amundi Deutschland GmbH,
0FYZK3-E,Xact KapitalfÌ¦rvaltning AB,
0FB3YK-E,Merrill Lynch International (Investment Management),
08DLP8-E,BlackRock Asset Management Canada Ltd.,
05KBWD-E,Fideuram Asset Management (Ireland) DAC,
0DMSKN-E,"Stifel Nicolaus & Co., Inc. (Investment Management)",
001MTF-E,Comerica Bank (Investment Management Texas),
05NDVW-E,Illinois State Board of Investment,
0035TM-E,UBS O'Connor LLC,
00D1CQ-E,Quantbot Technologies LP,
001BC5-E,"UBS Financial Services, Inc.",
0684CV-E,"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",
05FW98-E,Lyxor International Asset Management SAS,
0HXD23-E,Blueshift Asset Management LLC,
05ZP03-E,Dimensional Fund Advisors Ltd.,
00FYZ2-E,"Gideon Capital Advisors, Inc.",
0BCTNT-E,PointState Capital LP,
001Y83-E,Bessemer Investment Management LLC,
008K3J-E,Alaska Retirement Management Board,
002TPV-E,Strategic Advisers LLC,
0CH436-E,"Sumitomo Mitsui Trust Asset Management Co., Ltd.",
05FGHP-E,Principal Global Investors LLC,
0HJ56H-E,Weld Capital Management LLC,
000WX0-E,State of Wisconsin Investment Board,
001H9C-E,Deltec Asset Management LLC,
06Q1B4-E,BlackRock (Singapore) Ltd.,
05G975-E,Danske Bank A/S (Investment Management),
003JY3-E,"RBC Private Counsel (USA), Inc.",
0048PD-E,Shell Asset Management Company BV,
05GSK4-E,DNB Asset Management AS,
0C04XM-E,Ziegler Capital Management LLC,
0C8G32-E,Capital Insight Partners LLC,
05XF3L-E,Irish Life Investment Managers Ltd.,
0H6JNC-E,Credit Suisse Asset Management (Schweiz) AG,
0CPHJW-E,Monashee Investment Management LLC,
09QWTV-E,BNP Paribas Asset Management Belgium SA,
006F31-E,DWS International GmbH,
05FWFG-E,Rathbone Unit Trust Management Ltd.,
05J6JS-E,Nissay Asset Management Corp.,
05HNL1-E,State Street Global Advisors France SA,
05FBK7-E,Morgan Stanley & Co. LLC,
07BYPL-E,Pendal Group Ltd. (Investment Management),
0FDPYC-E,Knights of Columbus Asset Advisors LLC,
05K1YC-E,Eurizon Capital SA,
009ND6-E,KBC Asset Management NV,
002H7B-E,Natixis Advisors LP,
05FWLZ-E,Aberdeen Asset Investments Ltd.,
0DDBDX-E,Metropolitan Life Insurance Co. (Investment Portfolio),
0DVFVB-E,AlphaCrest Capital Management LLC,
05FL7Y-E,Wolverine Trading LLC,
0JK8HH-E,Danske Bank A/S (Investment Management Sweden),
05G53H-E,Candriam Belgium SA,
05X6XR-E,Veritable LP,
0056DF-E,"Piedmont Investment Advisors, Inc.",
006VRV-E,SG Americas Securities LLC,
05J6JN-E,"The Dai-ichi Life Insurance Co., Ltd. (Investment Portfolio)",
05GXG4-E,OP Asset Management Ltd.,
0GKB9B-E,Achmea Investment Management BV,
009K4M-E,Security Investors LLC,
0631M3-E,IFM Investors Pty Ltd.,
05FWFP-E,J.O. Hambro Capital Management Ltd.,
0KSFG8-E,"Sumitomo Mitsui DS Asset Management Co., Ltd.",
07L0CH-E,Zeke Capital Advisors LLC,
078XH2-E,Verition Fund Management LLC,
06C5QC-E,BlueMountain Capital Management LLC,
003G7H-E,"US Bancorp Asset Management, Inc.",
0032S1-E,"Hanseatic Management Services, Inc.",
