Factset Entity ID,Fund Name,Discrepancy Column
04KWZ0-E,Invesco S&p 500 Equal Weight Utilities Etf,
04F85W-E,Schwab Us Large Cap Etf,
04D25B-E,Tiaa-cref Quant Large-cap Value Fund,
04BFN7-E,Cref Equity Index Account,
04BCNF-E,Pace Large Co. Value Equity Investments,
04GMT8-E,Fidelity Invt. Funds - Global Dividend Fund,
04J6T9-E,Klp Aksjeglobal Lavbeta I,
04BDWV-E,American Century Value Fund,
04JMG7-E,Fidelity Sai Us Large Cap Index Fund,
04CCKR-E,Jnl/wmc Value Fund,
04H1WL-E,Fidelity Funds Sicav - Global Multi Asset Income Fund,
04BGFM-E,John Hancock Vit - Equity Income Trust,
04GQ7G-E,Northern Multi Manager Global Listed Infrastructure Fund,
04BT3C-E,Advisors Inner Circle - Lsv Value Equity Fund,
04CF9W-E,British Columbia Inv Management Corp.,
04KTY0-E,Macquarie Large Cap Value Trust,
04J60Q-E,Most Diversified Port. - Tobam Anti-benchmark World Eq.,
04BYYJ-E,Fidelity Vip - Utilities Portfolio,
04F85T-E,Schwab Us Broad Market Etf,
04CTQP-E,John Hancock Ii - Equity Income Fund,
04BWY0-E,Jpmorgan Funds - Us Value Fund,
04F85Y-E,Schwab Us Large Cap Value Etf,
04KCDX-E,Nbi Real Assets Private Portfolio,
04BF3K-E,Vanguard Tax Managed Capital Appreciation Fund,
04DWQK-E,Mgi Funds Plc - Global Equity Fund,
04CVYK-E,Wisdomtree Tr. - Dividend (ex-financials) Fund,
04CV5S-E,First Trust Morningstar Dividend Leaders Index Fund,
04CC86-E,Fjarde Ap Fonden,
04HG9M-E,John Hancock Invt. Tr. - Enduring Assets Fund,
04BFXW-E,Russell Tax Managed Us Large Cap Fund,
04BY8D-E,Threadneedle Invt. Funds Icvc - American Smaller Cos. Fund,
04BHD6-E,Ishares Tr. - Core S&p Us Value Etf,
04CDVY-E,Tiaa-cref Large Cap Value Index Fund,
04HJD5-E,Vanguard Employee Benefit Index Fund,
04BCJD-E,Jpmorgan Large Cap Value Fund,
04GWQB-E,Jpmorgan Global Research Enhanced Index Fund,
04HKKC-E,Ishares Iii Plc - Core Msci World Ucits Etf,
04HHP8-E,Large Cap Index Master Portfolio,
04KBCM-E,Legg Mason Global Funds Plc - Rare Infrastructure Value Fund,
04CT15-E,Dfa Us Core Equity 2 Portfolio,
04HMKN-E,American Funds Insurance Series - Capital Income Builder Fund,
04D0QV-E,Jpmorgan Funds - Us Select Equity Plus Fund,
04F57N-E,Touchstone Mid Cap Value Fund,
04BHY0-E,Thrivent Large Cap Value Fund,
04DJL0-E,Strategic Advisers Value Fund,
04JBY2-E,Wellington Mgmt. Funds (ie) Plc - Durable Companies Fund,
04GQ73-E,Dfa Us Large Company Portfolio,
04GGYB-E,Rbc Us Mid Cap Value Equity Fund,
04CTHQ-E,Invesco Ftse Rafi Us 1000 Etf,
04D5HG-E,Sei Institutional Managed Trust-tax Managed Managed Volatility,
04BNZJ-E,Columbia Variable Portfolio-dividend Opportunity Fund,
04GWDY-E,Ishares Tr. - Edge Msci Usa Value Factor Etf,
04CBYT-E,Ishares Plc - S&p 500 Ucits Etf (inc),
04C7T3-E,Massmutual Select Fundamental Value Fund,
04H1RX-E,Power Dividend Index Fund,
04KZKR-E,Fidelity Strategic Advisers Us Total Stock Fund,
04GVRT-E,Bmo Us Dividend Etf,
04CS8H-E,New Zealand Superannuation Fund,
04DXLT-E,Sei Institutional Invt. Trust - Us Managed Volatility Fund,
04J4SY-E,Sun Life Infrastructure Fund,
04GVS3-E,Bmo Low Volatility Us Equity Etf,
04BCD7-E,Northern Stock Index Fund,
04H491-E,Wellington Mgmt. Funds (ie) Plc - Enduring Assets Port.,
04K046-E,Legg Mason Fds. Icvc - If Rare Global Infrastructure Income,
04DD5F-E,Jnl/ppm America Mid Cap Value Fund,
04J1J0-E,Ubs (ch) Inst. Fund 2 - Equities Usa Passive Ii,
04BV82-E,Fidelity Vip Ii- Index 500 Portfolio,
04BFB2-E,Lincoln Vip - Delaware Special Opportunities Fund,
04C7VS-E,Jnl/mellon Capital S&p 500 Index Fund,
04G24W-E,Blackrock Isf - Ishares Developed World Index Fund (ie),
04FX8B-E,Morgan Stanley Instl. Fund - Global Infrastructure Portfolio,
04JNLH-E,Allianz Global Investors Fund - Best Styles Global Ac Equity,
04CSY7-E,Macquarie Global Infrastructure Total Return Fund,
04BJ2T-E,Schwab Total Stock Market Index Fund,
04DG1K-E,Fidelity Series All Sector Equity Fund,
04BNKP-E,Delaware Wealth Builder Fund,
04D2J6-E,Norges Bank Foreign Exchange Reserves,
04CPRF-E,American Century Variable - Mid Cap Value Portfolio,
04D6M6-E,Vanguard Total World Stock Index Fund,
04BJWQ-E,Lincoln Vip - Ssga S&p 500 Index Fund,
04BR73-E,Fidelity Funds Sicav - International Fund,
04H1HM-E,Schwab Fundamental Us Large Company Index Etf,
04CX27-E,American Century Nt Mid Cap Value Fund,
04BHD4-E,Ishares Tr. - Russell 3000 Etf,
04BCGS-E,Nationwide Fund,
04CPVS-E,Klp Aksjeglobal Indeks I,
04CZG7-E,Schwab Fundamental Us Large Company Index Fund,
04BCWH-E,Allianzgi Nfj Mid Cap Value Fund,
04CS8K-E,Columbia Variable Portfolio-mid Cap Value Fund,
04CQ2N-E,Eic Energy Infrastructure Fund,
04GS3W-E,Flexshares Quality Dividend Index Fund,
04BJ2S-E,Schwab 1000 Index Fund,
04CC89-E,Andra Ap Fonden,
04H288-E,Fidelity Series Large Cap Value Index Fund,
04FCDD-E,Wells Fargo Utility & Telecommunications Fund,
04CS3B-E,Fidelity Dividend Plus Fund,
04C2BF-E,Vanguard Investment Series Plc - Us 500 Stock Index Fund,
04GG9X-E,Lord Abbett Calibrated Mid Cap Value Fund,
04HNFQ-E,Vanguard International Shares Index Fund,
04JJ06-E,Vanguard Msci Index International Shares Etf,
04JPKJ-E,Sei Institutional Invt. Trust - Global Managed Volatility Fund,
04DC17-E,Royal London Equity Funds Icvc - Us Tracker Fund,
04BB1R-E,Ge Rsp Us Equity Fund,
04BQ06-E,Metlife Stock Index Portfolio,
04BZGJ-E,Fidelity Stock Selector Large Cap Value Fund,
04FVP0-E,Vanguard Russell 1000 Value Index Fund,
04DS3D-E,Vanguard Invt. Fds. Icvc - Us Equity Index Fund,
04CQX0-E,Sei Institutional Managed Trust - Us Managed Volatility Fund,
04BTLL-E,Jpmorgan Mid Cap Equity Fund,
04BFTK-E,Voya Investors Trust - T Rowe Price Equity Income Portfolio,
04CSJQ-E,Eaton Vance Tax Managed Buy Write Opportunities Fund,
04CX1H-E,Ishares Ii Plc - Global Infrastructure Ucits Etf,
04DCVZ-E,Nationwide Vit - Multi Manager Large Cap Value Fund,
04C2BH-E,Vanguard Investment Series Plc - Global Stock Index Fund,
04BFCF-E,Great-west T Rowe Price Equity Income Fund,
04CGBH-E,Northwestern Mutual-equity Income Portfolio,
04BFSY-E,Lincoln Vip - Blackrock Dividend Value Managed Volatility Fd.,
04L3BB-E,Threadneedle (lux) - American Smaller Companies,
04C3YW-E,Harbor Mid Cap Value Fund,
04CMY5-E,Ishares Tr. - Morningstar Mid Cap Value Etf,
04F9F7-E,Bmo Global Infrastructure Index Etf,
04BPZK-E,Spdr Portfolio S&p 500 Value Etf,
04HYHK-E,Xtrackers (ie) Plc - Msci Usa Ucits Etf,
04D38Z-E,Vanguard Mega Cap Value Index Fund,
04DC1R-E,Sei Global Master Fund Plc - Global Managed Volatility,
04BFL5-E,Gabelli Utility Trust,
04G41N-E,Columbia Flexible Capital Income Fund,
04GJ0T-E,Mainstay Vp - T Rowe Price Equity Income Portfolio,
04BQQJ-E,Usaa Capital Growth Fund,
04G9F8-E,Brookfield Global Listed Infrastructure Income Fund Inc.,
04GNHD-E,John Hancock Vit - Strategic Equity Allocation Trust,
04BHNH-E,Vanguard Variable Insurance - Equity Index Portfolio,
04DKPR-E,Blackrock Cif - North American Equity Tracker Fund,
04D34K-E,Ishares Tr. - Msci Acwi Etf,
04GXWB-E,Jnl/mellon Capital Utilities Sector Fund,
04G9Q4-E,Robeco Capital Gr. Fds. - Us Bp Select Opportunities Eq.,
04G6RQ-E,Ast Wellington Mngt. Hedged Equity Port.,
04J7DK-E,Blackrock Acs I - Us Equity Tracker Fund,
04D996-E,Multi Manager Access - Us Equities,
04BPB1-E,Fidelity Vip Iii - Balanced Portfolio,
04BRQD-E,Bny Mellon Mid Cap Multi Strategy Fund,
04BRY2-E,Seb Fund 3 - Pension Fund,
04HNFT-E,Vanguard Global Infrastructure Index Fund,
04CMHT-E,Voya Investors Trust - Us Stock Index Portfolio,
04K3Z4-E,Fidelity Covington Tr. - High Dividend Etf,
04DPTT-E,Pacific Select Fund - Mid Cap Value Portfolio,
04BGFJ-E,John Hancock Vit - 500 Index Trust B,
04KSDW-E,Iq Chaikin Us Large Cap Etf,
04G9F7-E,Ast Academic Strategies Asset Allocation Port.,
04CLM5-E,Ilmarinen Mutual Pension Insurance Co.,
04CDVZ-E,Tiaa-cref S&p 500 Index Fund,
04BVYX-E,Calamos Market Neutral Income Fund,
04G9XK-E,Cf Prudential - North American Qis,
04BFH7-E,Tri-continental Fund,
04BSZ5-E,Seasons Series Trust - Sa Multi Managed Large Cap Value Port.,
04KX0T-E,Invesco S&p 500 Pure Value Etf,
04BGV9-E,Ast T Rowe Price Asset Allocation Portfolio,
