Factset Fund ID,Fund Name,Discrepancy Column
04J7Z4-E,Himco Vit Portfolio Diversifier Fund,Incorrect: E.AUM-(Ownership:69708241 Profile: None) 
04G15D-E,Jpmorgan Life Ltd. - Us Disciplined Equity Fund,Incorrect: E.AUM-(Ownership:86226981 Profile: None) 
04HHT3-E,Jpmorgan Trust Iii - Multi Manager Alternatives Fund,Incorrect: Style-(Ownership:Aggressive Growth Profile: None) turnover-(Ownership:Medium Profile: Very High) 
04JH3P-E,Ast Emerging Managers Diversified Portfolio,Incorrect: Style-(Ownership:Growth Profile: None) 
04DXTX-E,Kairos International Sicav - America,Incorrect: Style-(Ownership:Growth Profile: None) turnover-(Ownership:Low Profile: Medium) 
04B95K-E,Dodge & Cox Funds - Stock Fund,
04BF4M-E,Vanguard Total Stock Market Index Fund,
04BF1T-E,Vanguard 500 Index Fund,
04CDHZ-E,Canada Pension Plan,
04BCWS-E,Parnassus Core Equity Fund,
04BH50-E,Spdr S&p 500 Etf,
04BF2N-E,Vanguard Institutional Index Fund,
04CWDQ-E,Vanguard Dividend Appreciation Index Fund,
04BJK5-E,Vanguard Capital Opportunity Fund,
04B9ZS-E,Fidelity 500 Index Fund,
04BK4V-E,Dodge & Cox Funds - Balanced Fund,
04CC29-E,Government Pension Fund - Global (the),
04BHCS-E,Ishares Tr. - Core S&p 500 Etf,
04BF2R-E,Vanguard Value Index Fund,
04D831-E,Dodge & Cox Funds - Global Stock Fund,
04BCH6-E,Oakmark Fund,
04BH7Z-E,Spdr Series - Industrial Select Sector Spdr Fund,
04GXK3-E,Dfa Us Large Cap Value Series,
04BQ1F-E,American Balanced Fund,
04BHDC-E,Ishares Tr. - Russell 1000 Growth Etf,
04B8K7-E,American Funds Fundamental Investors,
04BBQH-E,Longleaf Partners Fund,
04G7JB-E,Dodge & Cox Worldwide Funds - Global Stock Fund,
04B9L0-E,Fidelity Dividend Growth Fund,
04CXH6-E,St. James's Place Unit Trust - Global,
04D20S-E,Artisan Global Value Fund,
04G7JD-E,Dodge & Cox Worldwide Funds - Us Stock Fund,
04BFN4-E,Cref Stock Account,
04B9YF-E,Fidelity Total Market Index Fund,
04BJKY-E,Schwab S&p 500 Index Fund,
04FCKQ-E,Ishares Vii Plc - Core S&p 500 Ucits Etf,
04BVBK-E,Vanguard Institutional Total Stock Market Index Fund,
04J9RL-E,Bridge Builder Large Cap Value Fund,
04CP9B-E,Vanguard Industrials Index Fund,
04B9G4-E,Eaton Vance Tax Managed Growth Portfolio,
04HD32-E,Artisan Partners Global Funds Plc - Global Value Fund,
04CJGC-E,Ishares Tr. - Transportation Average Etf,
04BGZ0-E,T Rowe Price Equity Index 500 Fund,
04CT15-E,Dfa Us Core Equity 2 Portfolio,
04FHR6-E,Ap7 Aktiefond,
04CX14-E,Fidelity Industrials Central Fund,
04B8YF-E,Invesco Charter Fund,
04KQ5D-E,Northern Trust Russell 1000 Growth Index Fund-non-lending,
04H3RK-E,Pioneer Core Equity Fund,
04GSZY-E,Fidelity Series Large Cap Stock Fund,
04CT14-E,Dfa Us Core Equity 1 Portfolio,
04GX8P-E,Vanguard Funds Plc - S&p 500 Ucits Etf,
04GWDY-E,Ishares Tr. - Edge Msci Usa Value Factor Etf,
04BXDB-E,Investors Us Large Cap Value Fund,
04CMFZ-E,Vanguard Large Cap Index Fund,
04CTMZ-E,Nordea 1 - Stable Return Fund,
04BPQQ-E,Vanguard Balanced Index Fund (us),
04BF6L-E,Blackrock S&p 500 Stock Master Portfolio,
04BHCT-E,Ishares Tr. - S&p 500 Growth Etf,
04DJL0-E,Strategic Advisers Value Fund,
04KWNM-E,Invesco S&p 500 Equal Weight Etf,
04BXD3-E,Investors Canadian Large Cap Value Fund,
04BT3C-E,Advisors Inner Circle - Lsv Value Equity Fund,
04BHDB-E,Ishares Tr. - Russell 1000 Etf,
04BHCV-E,Ishares Tr. - S&p 500 Value Etf,
04BFN5-E,Cref Global Equities Account,
04CLRP-E,Ishares Tr. - Core S&p Total Us Stock Market Etf,
04BH7L-E,Tiaa-cref Equity Index Fund,
04CHYH-E,Sterling Capital Special Opportunities Fund,
04L74F-E,Benefit Us Large Cap Equity Fund,
04BFN7-E,Cref Equity Index Account,
04F85W-E,Schwab Us Large Cap Etf,
04CBJ5-E,Vanguard Investment Series Plc - Us Opportunities Fund,
04C04F-E,Bl - Equities America,
04JMG7-E,Fidelity Sai Us Large Cap Index Fund,
04CWBN-E,Nordea 1 - Global Stable Equity Fund,
04BJ95-E,Matthew 25 Fund,
04CRH2-E,Ave Maria Rising Dividend Fund,
04BCLW-E,Parnassus Fund,
04GXK4-E,Dfa Tax Managed Us Marketwide Value Series,
04F85X-E,Schwab Us Large Cap Growth Etf,
04F85T-E,Schwab Us Broad Market Etf,
04CDVX-E,Tiaa-cref Large Cap Growth Index Fund,
04BCS8-E,Pioneer Disciplined Growth Fund,
04B9LZ-E,Fidelity Export & Multinational Fund,
04GG6L-E,London Life American Growth Fund (agf),
04CF9W-E,British Columbia Inv Management Corp.,
04HKKC-E,Ishares Iii Plc - Core Msci World Ucits Etf,
04BF3K-E,Vanguard Tax Managed Capital Appreciation Fund,
04HHP8-E,Large Cap Index Master Portfolio,
04HJD5-E,Vanguard Employee Benefit Index Fund,
04KHX7-E,Nomura Asset Nomura Global Ai Related Equity Fund Mother Fund,
04BRQK-E,Permanent Portfolio Family Of Funds - Permanent Portfolio,
04CWG9-E,Franklin Managed Income Fund,
04D614-E,Dfa Ta Us Core Equity 2 Portfolio,
