Factset Fund ID,Fund Name,Discrepancy Column
04BV2J-E,Blackrock Advantage Large Cap Value V.i. Fund,position-(Ownership:4256 Profile: 4352) 
04JML7-E,Ubs (ch) Inst. Fund - Equities Global Small Cap Passive Ii,position-(Ownership:4300 Profile: 0) 
04BH99-E,Rydex Internet Fund,position-(Ownership:4379 Profile: 3266) 
04BG5L-E,Rydex Technology Fund,position-(Ownership:4517 Profile: 4626) 
04D5TJ-E,London Life Global Equity Fund,position-(Ownership:48700 Profile: 35300) 
04BBFZ-E,Renaissance Global Ipo Fund (the),position-(Ownership:5000 Profile: 0) 
04K1Q1-E,Kodex Msci World Etf,position-(Ownership:515 Profile: 565) 
04CN0X-E,Blackrock Active Stock Master Portfolio,position-(Ownership:5302 Profile: 7261) 
04G9GH-E,Blackrock Scientific International Equity Fund,position-(Ownership:53181 Profile: 59868) 
04BTM5-E,Principal Investors - Mid Cap Growth Fund Iii,position-(Ownership:5345 Profile: 4992) 
04HG75-E,Nuveen Symphony Small Cap Core Fund,position-(Ownership:5366 Profile: 0) 
04BY7L-E,Rbc Global Technology Fund,position-(Ownership:5659 Profile: 8209) 
04CS8L-E,Goldman Sachs Small/mid Cap Growth Fund,position-(Ownership:580149 Profile: 431221) 
04J6ZG-E,Swisscanto (ch) Ipf I - Index Equity World (ex-ch),position-(Ownership:5894 Profile: 5874) 
04CPT8-E,Nissay Asset Nissay/putnam Overseas Equity Mother Fund,position-(Ownership:63827 Profile: 48275) 
04C7KK-E,Profunds Variable Prod - Internet Fund,position-(Ownership:6558 Profile: 5853) 
04BJQJ-E,Profunds - Technology Ultrasector,position-(Ownership:662 Profile: 2114) 
04BP8R-E,Transamerica Series - Jpmorgan Tactical Allocation Vp,position-(Ownership:6974 Profile: 4144) 
04J9RG-E,Bridge Builder Large Cap Growth Fund,position-(Ownership:7663 Profile: 8341) 
04HPB8-E,Ia Clarington Focused Us Equity Class,position-(Ownership:770 Profile: 715) 
04C1WY-E,Rbc Private World Equity Pool,position-(Ownership:77100 Profile: 69700) 
04L09W-E,Eq/goldman Sachs Mid Cap Value Portfolio,position-(Ownership:7894 Profile: 8440) 
04J43N-E,Blackrock International Alpha Tilts Fund,position-(Ownership:83876 Profile: 91346) 
04KJGW-E,Dws Us Multi Factor Fund,position-(Ownership:871 Profile: 1196) 
04GLXC-E,Comstage Sicav - Msci Emerging Markets Trn Ucits Etf,position-(Ownership:8803 Profile: 0) 
04BVDH-E,Profunds Variable Prod - Technology Fund,position-(Ownership:887 Profile: 826) 
04BQ5G-E,Blackrock Advantage Large Cap Growth Fund,position-(Ownership:91368 Profile: 96094) 
04BCNH-E,Putnam Capital Opportunities Fund,position-(Ownership:94100 Profile: 0) 
04D3C1-E,Goldman Sachs Flexible Cap Fund,position-(Ownership:950 Profile: 946) 
04JD7K-E,Bridge Builder Small/mid Cap Growth Fund,position-(Ownership:9791 Profile: 10307) 
