FactSet Entity ID,Institution_name,Discrepancy_Column
06QBDB-E,Mn Services Vermogensbeheer BV,
0DMS5B-E,Capital Bank & Trust Co. (Investment Management),
002H53-E,Voya Investment Management Co. LLC,
0D9L9X-E,"Raymond James & Associates, Inc. (Invt Mgmt)",
0GS2R4-E,"Citigroup Global Markets, Inc. (Investment Management)",
000HPH-E,BNY Mellon Investment Adviser Inc.,
068Z2T-E,LMCG Investments LLC,
09N7PK-E,Allianz Global Investors U.S. LLC,
002HJB-E,BlackRock Advisors LLC,
05HT6V-E,New Jersey Division of Investment,
07MY7Y-E,Korea Investment Corp. (Investment Management),
0DHGV8-E,Storebrand Asset Management AS,
05KQW8-E,The Retirement Systems of Alabama,
0CJ46C-E,"RBC Dominion Securities, Inc. (Investment Management)",
09YLKZ-E,QS Investors LLC,
001BC5-E,"UBS Financial Services, Inc.",
05G53H-E,Candriam Belgium SA,
003LBB-E,AQR Capital Management LLC,
002JLB-E,Royal London Asset Management Ltd.,
09K27T-E,PineBridge Investments LLC,
002656-E,Carlson Capital LP,
0D8T12-E,Castleton Investment Management LLC,
00566B-E,Northern Trust Global Investments Ltd.,
061863-E,Arizona State Retirement System,
001YT0-E,Ohio Public Employees Retirement System,
07BYPL-E,Pendal Group Ltd. (Investment Management),
002XCH-E,KCM Investment Advisors LLC,
05JJ9M-E,Fjärde AP-fonden,
006VKP-E,Macquarie Capital Investment Management LLC,
06PMGQ-E,BlackRock Investment Management (Australia) Ltd.,
05G6QK-E,Aviva Investors Global Services Ltd.,
06SVND-E,Guardians of New Zealand Superannuation,
09T0KR-E,"Sun Life Global Investments (Canada), Inc.",
002TPV-E,Strategic Advisers LLC,
001JWR-E,SunAmerica Asset Management LLC,
006BRQ-E,Pension Services Ltd.,
05JJB4-E,Andra AP-fonden,
009K4M-E,Security Investors LLC,
000LH9-E,Federated MDTA LLC,
000PC4-E,MacKay Shields LLC,
009ND6-E,KBC Asset Management NV,
0090RH-E,Weiss Multi-Strategy Advisers LLC,
002HYD-E,"Wells Capital Management, Inc.",
06T5YJ-E,Zürcher Kantonalbank (Investment Management),
0DYG2Y-E,Thrivent Financial for Lutherans (Investment Portfolio),
05G7NS-E,Robeco Institutional Asset Management BV,
0F1W43-E,Squarepoint OPS LLC,
05G643-E,Credit Suisse AG,
06ZM8D-E,de Pury Pictet Turrettini & Cie SA,
0BCNBH-E,Nuveen Asset Management LLC,
0DN90G-E,Engineers Gate Manager LP,
06KVT6-E,Crow Point Partners LLC,
00179W-E,Mackenzie Financial Corp.,
05FWLZ-E,Aberdeen Asset Investments Ltd.,Incorrect: turnover-(Ownership:Medium Profile: Low) 
0DKM72-E,Michigan Department of Treasury (Investment Management),
00DFPF-E,MetLife Investment Management LLC,
0645TX-E,"Envestnet Asset Management, Inc.",
00CF8F-E,KBC Fund Management Ltd.,
0084HS-E,ProShare Advisors LLC,
005VPR-E,Federated Equity Management Company of Pennsylvania,
05G2Z1-E,Capital International Ltd.,
0GQ9MC-E,Green Square Asset Management LLC,
05G6HN-E,SEB Investment Management AB,
002J1K-E,"Howe & Rusling, Inc.",
05K57N-E,Tennessee Consolidated Retirement System,
05WSYW-E,"Brinker Capital, Inc.",
05GPWC-E,The Oregon Investment Council,
0GVBY1-E,Flinton Capital Management LLC,
060K8R-E,Calamos Advisors LLC,
05G36K-E,Gulf International Bank (UK) Ltd.,
00FC62-E,Riverhead Capital Management LLC,
001ZF3-E,Aberdeen Asset Managers Ltd.,
001NBV-E,"PNC Bank, NA (Investment Management)",
