FactSet Entity ID,Institution_name,Discrepancy_Column
05F9FV-E,AXA Rosenberg Investment Management LLC,Incorrect: aum-(Ownership:22477 Profile: 19700) 
008KTT-E,Mariner LLC,
0012ZV-E,HBK Investments LP,
05LLK7-E,"Dana Investment Advisors, Inc.",
05FYYC-E,Deka Investment GmbH,
002K8L-E,Delta Asset Management LLC (Tennessee),
002JKF-E,D. E. Shaw & Co. LP,
0D7C6T-E,"Wells Fargo Bank, NA (Private Banking)",
001JJ6-E,"Kornitzer Capital Management, Inc.",
05HL2P-E,"Industrial Alliance Investment Management, Inc.",
0020GL-E,Vanguard Fiduciary Trust Co.,
09T4YV-E,Ardevora Asset Management LLP,
075SG7-E,"Robert W. Baird & Co., Inc. (Private Banking)",
0CLQ91-E,CIBC World Markets Corp.,
0076JN-E,Capital Fund Management SA,
06R3TX-E,Sabal Trust Co.,
05M9G5-E,"JPMorgan Chase Bank, NA (Investment Management)",
0699FZ-E,"AssetMark, Inc.",
002XR7-E,Chevy Chase Trust Co.,
002H43-E,"PanAgora Asset Management, Inc.",
06C3B4-E,William J. DeLaney,NO DATA
05J6QK-E,"Los Angeles Capital Management & Equity Research, Inc.",
05FWM7-E,Unigestion SA,
08BZBV-E,"BlackRock Japan Co., Ltd.",
0DHGV8-E,Storebrand Asset Management AS,
07NDYQ-E,Shayne & Co. LLC,
05HT6V-E,New Jersey Division of Investment,
0D7YRS-E,Hancock Whitney Bank (Investment Management),
008K3J-E,Alaska Retirement Management Board,
0D58B0-E,Invesco Investment Advisers LLC,
05SG74-E,"Asset Management One Co., Ltd.",
003G7H-E,"US Bancorp Asset Management, Inc.",Incorrect: aum-(Ownership:71264 Profile: 81512) 
001YT0-E,Ohio Public Employees Retirement System,
002Y4H-E,UBS Securities LLC,
002HBD-E,"Jacobs Levy Equity Management, Inc.",
002H7Z-E,"Schaper, Benz & Wise Investment Counsel, Inc.",
0645TX-E,"Envestnet Asset Management, Inc.",
0606CR-E,Vanguard Investments Australia Ltd.,
0DYG4K-E,The Northwestern Mutual Life Insurance Co. (Invt Port),
06T5YJ-E,Zürcher Kantonalbank (Investment Management),
06Z4N0-E,Guggenheim Partners Investment Management LLC,
09K27T-E,PineBridge Investments LLC,
05HP6D-E,AMP Capital Investors Ltd.,
0CXXXG-E,Personal Capital Advisors Corp.,
05G6NV-E,Nordea Investment Management AB,
002HYJ-E,Wilmington Trust Investment Management LLC,
069316-E,DWS Investments (UK) Ltd.,
002G5X-E,Numeric Investors LLC,
05FWLZ-E,Aberdeen Asset Investments Ltd.,Incorrect: turnover-(Ownership:Low Profile: Medium) 
0035QZ-E,Stevens Capital Management LP,
0044WZ-E,SEI Investments Management Corp.,
002H3S-E,"Nomura Asset Management Co., Ltd.",
05J6V0-E,The Bryn Mawr Trust Co.,
0G5CX6-E,"Carillon Tower Advisers, Inc.",
002LY6-E,Teacher Retirement System of Texas,
001T5F-E,State Teachers Retirement System of Ohio,
07HQ1Z-E,HighTower Advisors LLC,
0DRH69-E,COMMERZBANK AG (Investment Management),
0DDLFQ-E,Janney Montgomery Scott LLC (Investment Management),
07BYPL-E,Pendal Group Ltd. (Investment Management),
001XKH-E,"Beck, Mack & Oliver LLC",
0F1W43-E,Squarepoint OPS LLC,
002HNF-E,"Citigroup Global Markets, Inc. (Broker)",
002J1N-E,NNIP Advisors BV,
0BJ0LD-E,"RBC Global Asset Management, Inc.",
05KQW8-E,The Retirement Systems of Alabama,
0GS2R4-E,"Citigroup Global Markets, Inc. (Investment Management)",
07C34C-E,"J.J.B. Hilliard, W.L. Lyons LLC (Investment Management)",
0034KK-E,Eastern Bank Corp. (Private Banking),
001JQG-E,WEDGE Capital Management LLP,
05J87Y-E,Peapack-Gladstone Bank (Investment Management),
09N7PK-E,Allianz Global Investors U.S. LLC,
0CZR1K-E,Edgestream Partners LP,
0D2CW0-E,BB&T Securities LLC,
0080GH-E,"Parsec Financial Management, Inc.",
0D8QQB-E,"Raymond James Financial Services Advisors, Inc.",
05FY8L-E,"Union Bank & Trust Co. (Lincoln, Nebraska)",
0DNBZ2-E,Cubist Systematic Strategies LLC,
00566B-E,Northern Trust Global Investments Ltd.,
002H53-E,Voya Investment Management Co. LLC,
00DJHK-E,Summit Global Investments LLC,
002J2V-E,"Moody, Lynn & Lieberson LLC",
0717BB-E,Clifford Swan Investment Counsel LLC,
002G53-E,Tocqueville Asset Management LP,
002JLB-E,Royal London Asset Management Ltd.,
002HLZ-E,NISA Investment Advisors LLC,
002P34-E,The Caisse de dépôt et placement du Québec,
001XT4-E,"DWS Investment Management Americas, Inc.",
0C04XM-E,Ziegler Capital Management LLC,
001150-E,Manning & Napier Advisors LLC,
05PQMJ-E,"Wilkins Investment Counsel, Inc.",
05JJ9M-E,Fjärde AP-fonden,
0071ZN-E,"Commonwealth Equity Services, Inc.",
0043R8-E,Marshall Wace LLP,
001LWB-E,Welch & Forbes LLC,
000HPH-E,BNY Mellon Investment Adviser Inc.,
05G6QK-E,Aviva Investors Global Services Ltd.,
001MTF-E,Comerica Bank (Investment Management Texas),
00FC8S-E,Ergoteles LLC,
0GVFFN-E,Meadow Creek Investment Management LLC,
002G84-E,Lodestar Investment Counsel LLC,
009S80-E,"First Republic Investment Management, Inc.",
075NT7-E,OxFORD Asset Management LLP,
06SVND-E,Guardians of New Zealand Superannuation,
001YWB-E,Virginia Retirement Systems,
06PMGQ-E,BlackRock Investment Management (Australia) Ltd.,
05GRNK-E,"ClearArc Capital, Inc.",
05K57N-E,Tennessee Consolidated Retirement System,
002H07-E,Charter Trust Co.,
002J5M-E,Jacquelyn M. Ward,NO DATA
05GSK4-E,DNB Asset Management AS,
0C2K0X-E,"Steigerwald, Gordon & Koch, Inc.",
001JWR-E,SunAmerica Asset Management LLC,
0CSJB1-E,USS Investment Management Ltd.,
004Z9Q-E,Citadel Advisors LLC,
002CHW-E,Smith Asset Management Group LP,
061863-E,Arizona State Retirement System,
0C93LL-E,Gradient Investments LLC,
002GZG-E,Franklin Advisory Services LLC,
05GNGN-E,"Wilmington Trust Investment Advisors, Inc.",
00D1CQ-E,Quantbot Technologies LP,
002LPL-E,"Lee, Danner & Bass, Inc.",
0048PD-E,Shell Asset Management Company BV,
000Q6S-E,"JPMorgan Investment Management, Inc.",
0GV73Z-E,Elkfork Partners LLC,
05FW8P-E,CPR Asset Management SA,
0DKM72-E,Michigan Department of Treasury (Investment Management),
0BCNBH-E,Nuveen Asset Management LLC,
0GVFLJ-E,Camden National Bank (Investment Management),
0HHQBY-E,Cresset Asset Management LLC,
05G027-E,1919 Investment Counsel LLC,
00DFPF-E,MetLife Investment Management LLC,
001ZF3-E,Aberdeen Asset Managers Ltd.,
05G643-E,Credit Suisse AG,
0011RH-E,Stock Yards Bank & Trust Co.,
0GK52S-E,"BB&T Institutional Investment Advisers, Inc.",
00FDDB-E,HRT Financial LLC,
0C7CGL-E,"Creative Planning, Inc.",
0CRKCV-E,CWM LLC,
0CKMWR-E,"Cambridge Investment Research Advisors, Inc.",
005N9V-E,Jane Street Capital LLC,
002JCS-E,"Minis & Co., Inc.",
0G25NT-E,Venturi Wealth Management LLC,
05FQBF-E,Pacific Global Investment Management Co.,
05H69L-E,Swiss Life Asset Management AG,
08756C-E,Fidelity (Canada) Asset Management ULC,
0036XV-E,Toth Financial Advisory Corp.,
00FC62-E,Riverhead Capital Management LLC,
0DV752-E,Isthmus Partners LLC,
0728KV-E,Quantitative Investment Management LLC,
05FWKC-E,FIL Investment Advisors (UK) Ltd.,
009K4M-E,Security Investors LLC,
001LWP-E,Everett Harris & Co.,
0011MX-E,Glenmede Investment Management LP,
068VT3-E,Setanta Asset Management Ltd.,
05G36K-E,Gulf International Bank (UK) Ltd.,
00B6HR-E,Palisade Asset Management LLC,
0H6JNC-E,Credit Suisse Asset Management (Schweiz) AG,
003BXT-E,Nichols & Pratt Advisers LLP,
002J23-E,"Loring, Wolcott & Coolidge Fiduciary Advisors LLP",
