FactSet Entity ID,Institution_name,Discrepancy_Column
002XTV-E,UBS Asset Management (UK) Ltd.,Incorrect: turnover 
05FW8P-E,CPR Asset Management SA,
001QWK-E,The Hillman Co.,
05J6S2-E,The Bank of New York Mellon Corp. (Investment Management),
000PHW-E,Massachusetts Financial Services Co.,
000TNX-E,"T. Rowe Price Associates, Inc. (Investment Management)",
06C583-E,Portolan Capital Management LLC,Incorrect: aum 
0FJX90-E,Deep Field Asset Management LLC,
0049MY-E,Balyasny Asset Management LP,
000D7G-E,The California Public Employees Retirement System,
05F9JR-E,Mellon Investments Corp.,
0DY1H2-E,Hunt Lane Capital LP,
002H7Y-E,Russell Investment Management LLC,Incorrect: aum 
0044WZ-E,SEI Investments Management Corp.,
007Q5V-E,MUFG Securities EMEA Plc,
05TP21-E,Invesco Capital Management LLC,
003HVP-E,Adage Capital Management LP,
0GJKXY-E,Lucha Capital Management LP,
002DRR-E,California State Teachers' Retirement System,
0D3J68-E,Wells Fargo Clearing Services LLC,
000WWX-E,State Farm Investment Management Corp.,
08BZBV-E,"BlackRock Japan Co., Ltd.",
06Y5K6-E,White Elm Capital LLC,
06L3KD-E,Miton Asset Management Ltd.,Incorrect: eaum 
0BS7BC-E,Scott W. Wagner,NO DATA
002HXZ-E,Teachers Retirement System of the State of Kentucky,
09P678-E,Element Capital Management LLC,
000YND-E,Columbia Wanger Asset Management LLC,
0FH12C-E,Clearfield Capital Management LP,
0DCX79-E,DWS Investment GmbH,
002L8H-E,"CIBC Private Wealth Advisors, Inc.",
0GB4MX-E,Morgan Stanley Smith Barney LLC (Invt Mgmt),
001JJ6-E,"Kornitzer Capital Management, Inc.",
05FDPL-E,Parametric Portfolio Associates LLC,
0GWNMN-E,Lunia Capital LP,
009XY7-E,Boston Management & Research,Incorrect: eaum 
002BRP-E,State Board of Administration of Florida Retirement System,Incorrect: aum 
077CYS-E,"Bank of America, NA (Private Banking)",
00DXXK-E,USAA Asset Management Co.,
002HR9-E,Capital International SARL,
0DZ7Z6-E,Alta Park Capital LP,
05JK9P-E,Sjunde AP-fonden,Incorrect: eaum 
09K27T-E,PineBridge Investments LLC,
0618F5-E,Hudson Bay Capital Management LP,
0FS1QN-E,Spyglass Capital Management LLC,
08GD59-E,Mediolanum Asset Management Ltd.,Incorrect: eaum turnover 
05SG74-E,"Asset Management One Co., Ltd.",
0031SR-E,RhumbLine Advisers LP,
