FactSet Entity ID,Institution_name,Discrepancy_Column,
08DLP8-E,BlackRock Asset Management Canada Ltd.,,
001091-E,Cramer Rosenthal McGlynn LLC,,
0CQD0W-E,Montag & Caldwell LLC,,
0FM5MX-E,NN Investment Partners BV,,
001T29-E,"Conning, Inc.",,
002J5V-E,"Zacks Investment Management, Inc.",,
05G79W-E,Nordea Investment Management AB (Denmark),,
06069X-E,Sarasin & Partners LLP,,
002KQD-E,Davenport & Co. LLC,,
05FBK7-E,Morgan Stanley & Co. LLC,,
05JK9P-E,Sjunde AP-fonden,,
05G027-E,1919 Investment Counsel LLC,,
06TMWC-E,Natixis Investment Managers International SA,,
000D1Q-E,UBS Asset Management (Americas) Inc.,,
05FYYC-E,Deka Investment GmbH,,
06G51K-E,Visium Asset Management LP,,
05GH73-E,Saturna Capital Corp.,,
07HQ1Z-E,HighTower Advisors LLC,,
008KTT-E,Mariner LLC,,
05PG7S-E,Aperio Group LLC,,
09R82Y-E,AMF Fonder AB,,
05J6QK-E,"Los Angeles Capital Management & Equity Research, Inc.",,
05GSG8-E,Threadneedle Asset Management Ltd.,,
0035TM-E,UBS O'Connor LLC,,
0035PV-E,Tewksbury Capital Management Ltd.,,
06327D-E,Mitsubishi UFJ Trust & Banking Corp. (Investment Management),,
0H2Y8N-E,JPMorgan Securities LLC (Investment Management),,
05HPH0-E,GWL Investment Management,,
002XR7-E,Chevy Chase Trust Co.,,
0020GL-E,Vanguard Fiduciary Trust Co.,,
004Z9Q-E,Citadel Advisors LLC,,
0645TX-E,"Envestnet Asset Management, Inc.",,
002Y4H-E,UBS Securities LLC,,
05HT6V-E,New Jersey Division of Investment,,
05MBX1-E,"KeyBank, NA (Investment Management)",,
086TRK-E,PNC Capital Advisors LLC,,
003LBB-E,AQR Capital Management LLC,,
00D1FG-E,Two Sigma Advisers LP,,
05FW98-E,Lyxor International Asset Management SAS,,
05FRVG-E,"QS Batterymarch Financial Management, Inc.",,
002BSH-E,Eaton Vance Management,,
0C238L-E,Donaldson Capital Management LLC,,
002HYJ-E,Wilmington Trust Investment Management LLC,,
069316-E,DWS Investments (UK) Ltd.,,
0DB9DH-E,Manulife Asset Management Ltd.,,
05G2B9-E,Kames Capital Plc,,
000KN8-E,BMO Asset Managers Ltd.,,
002TPV-E,Strategic Advisers LLC,,
06F5NK-E,RBC Capital Markets LLC (Investment Management),,
001JJ6-E,"Kornitzer Capital Management, Inc.",,
002JMH-E,"Boston Trust Investment Management, Inc.",,
05G31Z-E,Investec Asset Management Ltd.,,
002LQK-E,Boston Financial Management LLC,,
08BZBV-E,"BlackRock Japan Co., Ltd.",,
05KFM2-E,Goldman Sachs & Co. LLC,,
05KYGK-E,INTECH Investment Management LLC,,
05HZVB-E,Leith Wheeler Investment Counsel Ltd.,,
0010RD-E,Westfield Capital Management Co. LP,,
00479N-E,Dearborn Partners LLC,,
001T5F-E,State Teachers Retirement System of Ohio,,
0011MX-E,Glenmede Investment Management LP,,
0C2NT4-E,Allianz Investment Management LLC,,
001YT0-E,Ohio Public Employees Retirement System,,
05JZ8Y-E,Mariner Wealth Advisors-Cincinnati LLC,,
05FBN4-E,Coutts & Co.,,
05GRNK-E,"ClearArc Capital, Inc.",,
0BJ0LD-E,"RBC Global Asset Management, Inc.",,
002J5L-E,Waddell & Reed Investment Management Co.,,
07MY7Y-E,Korea Investment Corp. (Investment Management),Incorrect: aum-(Ownership:134100 Profile: 131600) eaum-(Ownership:22254.573388 Profile: 23617) ,
0DFMYG-E,BMO Asset Management Corp., ,
0GS2R4-E,"Citigroup Global Markets, Inc. (Investment Management)", ,
09N7PK-E,Allianz Global Investors U.S. LLC, ,
0GVFHN-E,Glen Harbor Capital Management LLC, ,
0G4YRB-E,Adams Funds Advisers LLC, ,
05GSFD-E,KLP Kapitalforvaltning AS, ,
05FP7K-E,Nordea Investment Management AB (Norway), ,
05JR08-E,"Sentry Investments, Inc.",,
05F9FV-E,AXA Rosenberg Investment Management LLC, ,
002HNF-E,"Citigroup Global Markets, Inc. (Broker)", ,
06QBDB-E,Mn Services Vermogensbeheer BV, ,
0DLBVB-E,Pictet Asset Management (Singapore) Pte Ltd., ,
001MTF-E,Comerica Bank (Investment Management Texas), ,
06DB7L-E,FIAM LLC, ,
003LHX-E,Ascend Capital LLC, ,
00BDK5-E,Confluence Investment Management LLC, ,
0D2CW0-E,BB&T Securities LLC, ,
0606CR-E,Vanguard Investments Australia Ltd., ,
0DZXVN-E,Boston Private Wealth LLC, ,
002HBH-E,"Douglas C. Lane & Associates, Inc.",,
05G9B9-E,Danske Capital AB,,
0DMSKN-E,"Stifel Nicolaus & Co., Inc. (Investment Management)", ,
002H7B-E,Natixis Advisors LP, ,
0644CQ-E,London & Capital Asset Management Ltd., ,
0FG27B-E,"Associated Trust Co., N.A. (Wisconsin)", ,
0GVFFN-E,Meadow Creek Investment Management LLC, ,
00BR1V-E,SIR Capital Management LP, ,
05KQW8-E,The Retirement Systems of Alabama, ,
05FW5X-E,BNP Paribas Asset Management France SAS, ,
001YWB-E,Virginia Retirement Systems, ,
002G69-E,Advanced Investment Partners LLC,Incorrect: style-(Ownership:None Profile: ) ,
0D6XTK-E,Claar Advisors LLC, ,
06DYV7-E,ClariVest Asset Management LLC, ,
002L1Q-E,"Fiera Capital, Inc.", ,
002PWD-E,Horizon Kinetics Asset Management LLC, ,
05FW7K-E,La Banque Postale Asset Management SA, ,
07KW7X-E,"Legal & General Investment Management America, Inc.", ,
000P8J-E,"Loomis, Sayles & Co. LP", ,
002J41-E,Renaissance Technologies LLC, ,
072PPF-E,Riskmetrics Group (UK) Ltd.,Incorrect: style-(Ownership:None Profile: ) ,
09W4JX-E,SeaTown Holdings International Pte Ltd., ,
002GGR-E,Sentry Investment Management LLC, ,
05K28L-E,State Street Global Advisors Ltd., ,
066ZJJ-E,Tributary Capital Management LLC, ,
05PW4T-E,Grandfield & Dodd LLC, ,
05H9LL-E,"BMO Asset Management, Inc.", ,
002H3C-E,Martin Currie Investment Management Ltd., ,
00179W-E,Mackenzie Financial Corp., ,
0088TN-E,"Willis Investment Counsel, Inc.", ,
001JWR-E,SunAmerica Asset Management LLC,Incorrect: aum-(Ownership:79200 Profile: 69135) eaum-(Ownership:26455.597742 Profile: 28149) ,
003G7H-E,"US Bancorp Asset Management, Inc.", ,
001L2N-E,Artisan Partners LP, ,
002M0F-E,"S & Co., Inc.", ,
094MG7-E,Amundi Asset Management SA (Investment Management), ,
05L9XV-E,PGGM Vermogensbeheer BV, ,
001J5S-E,The Park National Bank (Investment Management), ,
06JN4W-E,BNP Paribas Arbitrage SNC, ,
075SG7-E,"Robert W. Baird & Co., Inc. (Private Banking)", ,
00CF8F-E,KBC Fund Management Ltd., ,
05KBWD-E,Fideuram Asset Management (Ireland) DAC, ,
002JLB-E,Royal London Asset Management Ltd., ,
0DHGV8-E,Storebrand Asset Management AS, ,
06PMGQ-E,BlackRock Investment Management (Australia) Ltd., ,
0034KK-E,Eastern Bank Corp. (Private Banking), ,
05LT39-E,Pacific Heights Asset Management LLC, ,
0BG58Q-E,Talara Capital Management LLC, ,
0618KM-E,Employees Retirement System of Texas, ,
06MV32-E,Allianz Global Investors GmbH, ,
05HQ7S-E,Guardian Capital LP, ,
05G6QK-E,Aviva Investors Global Services Ltd., ,
0GV73Z-E,Elkfork Partners LLC, ,
00128H-E,Fiduciary Trust Co. International, ,
0C7L0Q-E,"Youngs Advisory Group, Inc.", ,
002P7T-E,"Williams, Jones & Associates LLC", ,
002J7T-E,Schroder Investment Management Ltd., ,
002HLZ-E,NISA Investment Advisors LLC, ,
003XST-E,Boston Private Bank & Trust Co.,Incorrect: style-(Ownership:GARP Profile: None) ,
006F31-E,DWS International GmbH, ,
0CLQ91-E,CIBC World Markets Corp., ,
0011Y4-E,"M. D. Sass Investors Services, Inc.", ,
006X6W-E,Taurus Asset Management LLC, ,
00BQT2-E,Arrowgrass Capital Partners (US) LP, ,
0044WZ-E,SEI Investments Management Corp., ,
002G53-E,Tocqueville Asset Management LP, ,
06JZJ9-E,Alberta Investment Management Corp., ,
05FQH7-E,Pennsylvania Trust Co., ,
001XT4-E,"DWS Investment Management Americas, Inc.", ,
002H63-E,The First National Bank of Omaha (Investment Management), ,
0FJXBY-E,William Blair Investment Management LLC, ,
05TZ2D-E,British Airways Pension Investment Management Ltd., ,
000P8M-E,"Lord, Abbett & Co. LLC", ,
0DF533-E,"Adams Natural Resources Funds, Inc. (Invt Mgmt)", ,
0032R9-E,Argent Capital Management LLC, ,
09P8C5-E,BNP PARIBAS ASSET MANAGEMENT Netherlands NV, ,
002DDZ-E,"Fortis Investment Management USA, Inc.", ,
066XHG-E,Marshall Wace North America LP, ,
05WSYW-E,"Brinker Capital, Inc.", ,
00566B-E,Northern Trust Global Investments Ltd., ,
09ZTH9-E,Brown Advisory LLC, ,
05HP6D-E,AMP Capital Investors Ltd., ,
0056DF-E,"Piedmont Investment Advisors, Inc.", ,
003L6Z-E,"Chesley, Taft & Associates LLC", ,
0DKM72-E,Michigan Department of Treasury (Investment Management), ,
0035V5-E,Charles D. Hyman & Co., ,
002J0K-E,Fiduciary Trust Co., ,
05FW8P-E,CPR Asset Management SA, ,
00DFPF-E,MetLife Investment Management LLC, ,
05FY8L-E,"Union Bank & Trust Co. (Lincoln, Nebraska)", ,
05ZYBJ-E,Barclays Capital Securities Ltd., ,
0CJ46C-E,"RBC Dominion Securities, Inc. (Investment Management)", ,
002J6Y-E,Heritage Investors Management Corp., ,
002KFZ-E,"Halsey Associates, Inc.", ,
06M2R5-E,Pictet Asset Management SA, ,
0DG29L-E,Picton Mahoney Asset Management, ,
000HGT-E,Delaware Investment Management Business Trust, ,
05NLNX-E,BC Investment Management Corp., ,
0GVFFW-E,Tyers Asset Management LLC, ,
002HBD-E,"Jacobs Levy Equity Management, Inc.", ,
002JHW-E,Sterling Capital Management LLC, ,
061863-E,Arizona State Retirement System, ,
05J87Y-E,Peapack-Gladstone Bank (Investment Management), ,
05FVNC-E,"Colonial Trust Advisors, Inc.", ,
0DF53F-E,"The Adams Diversified Equity Fund, Inc. (Mutual Fund Manager)", ,
05J6JS-E,Nissay Asset Management Corp., ,
05LLK7-E,"Dana Investment Advisors, Inc.", ,
003JQW-E,Trust Company of Vermont, ,
0CVX5Y-E,"BlackRock Capital Management, Inc.", ,
0GXRGX-E,Sandbar Asset Management LLP, ,
006ZH9-E,"Advisors Asset Management, Inc.", ,
000PC4-E,MacKay Shields LLC, ,
002M3D-E,The Boston Family Office LLC, ,
05SG74-E,"Asset Management One Co., Ltd.", ,
009S80-E,"First Republic Investment Management, Inc.", ,
06T5YJ-E,Zurcher Kantonalbank (Investment Management), ,
002XCH-E,KCM Investment Advisors LLC, ,
05HDRF-E,Healthcare of Ontario Pension Plan,,
05G36K-E,Gulf International Bank (UK) Ltd., ,
001LWB-E,Welch & Forbes LLC, ,
060YMK-E,Millennium Management LLC, ,
001HBR-E,First Manhattan Co., ,
06Q5HR-E,"Decatur Capital Management, Inc.", ,
089TX3-E,Insiderfonder AB, ,
002HHQ-E,"RBC Global Asset Management (US), Inc.", ,
05GVFN-E,Swedbank Robur Fonder AB, ,
002H3S-E,"Nomura Asset Management Co., Ltd.", ,
