FactSet Entity ID,Institution_name,Discrepancy_Column
05G784-E,HSBC Global Asset Management (UK) Ltd.,
0DCX79-E,DWS Investment GmbH,
05JK9P-E,Sjunde AP-fonden,
006WTM-E,QMA LLC,
05GSFD-E,KLP Kapitalforvaltning AS,
0044WZ-E,SEI Investments Management Corp.,
06MV32-E,Allianz Global Investors GmbH,
05VHVJ-E,Lazard Asset Management LLC,
0049MY-E,Balyasny Asset Management LP,
05GZ5L-E,AMF PensionsfÌ¦rsÌ_kring AB,
000D1Q-E,UBS Asset Management (Americas) Inc.,
0020GL-E,Vanguard Fiduciary Trust Co.,
002XR7-E,Chevy Chase Trust Co.,
061J5H-E,Partners Group AG,
0606CR-E,Vanguard Investments Australia Ltd.,
0D7C6T-E,"Wells Fargo Bank, NA (Private Banking)",
0DB9DH-E,Manulife Asset Management Ltd.,
000TGV-E,"Amundi Pioneer Asset Management, Inc.",
08BZBV-E,"BlackRock Japan Co., Ltd.",
001JQG-E,WEDGE Capital Management LLP,
08756C-E,Fidelity (Canada) Asset Management ULC,
077CYS-E,"Bank of America, NA (Private Banking)",
05SG74-E,"Asset Management One Co., Ltd.",
05FBK7-E,Morgan Stanley & Co. LLC,
069316-E,DWS Investments (UK) Ltd.,
003QFJ-E,Vantagepoint Investment Advisers LLC,
05K84F-E,Bridgewater Associates LP,
05K28L-E,State Street Global Advisors Ltd.,
0HHQF6-E,Centenus Global Management LP,
05PG7S-E,Aperio Group LLC,
00FZ3W-E,Seven Eight Capital LP,
00DXXK-E,USAA Asset Management Co.,
002CDB-E,First Trust Advisors LP,
06NPTJ-E,Stonehill Capital Management LLC,
06QBDB-E,Mn Services Vermogensbeheer BV,
0DMS5B-E,Capital Bank & Trust Co. (Investment Management),
002H53-E,Voya Investment Management Co. LLC,
0D9L9X-E,"Raymond James & Associates, Inc. (Invt Mgmt)",
05FW7Z-E,JPMorgan Asset Management (UK) Ltd.,
0GS2R4-E,"Citigroup Global Markets, Inc. (Investment Management)",
000HPH-E,BNY Mellon Investment Adviser Inc.,
068Z2T-E,LMCG Investments LLC,
002HJB-E,BlackRock Advisors LLC,
09N7PK-E,Allianz Global Investors U.S. LLC,
05HT6V-E,New Jersey Division of Investment,
0DHGV8-E,Storebrand Asset Management AS,
06JN4W-E,BNP Paribas Arbitrage SNC,
07MY7Y-E,Korea Investment Corp. (Investment Management),
05KQW8-E,The Retirement Systems of Alabama,
006VRV-E,SG Americas Securities LLC,
0CJ46C-E,"RBC Dominion Securities, Inc. (Investment Management)",
09YLKZ-E,QS Investors LLC,
05NLNX-E,BC Investment Management Corp.,
001BC5-E,"UBS Financial Services, Inc.",
003LBB-E,AQR Capital Management LLC,
09K27T-E,PineBridge Investments LLC,
002JLB-E,Royal London Asset Management Ltd.,
002656-E,Carlson Capital LP,
0D8T12-E,Castleton Investment Management LLC,
00566B-E,Northern Trust Global Investments Ltd.,
002HBL-E,Martingale Asset Management LP,
061863-E,Arizona State Retirement System,
001YT0-E,Ohio Public Employees Retirement System,
002XCH-E,KCM Investment Advisors LLC,
05JJ9M-E,FjÌ_rde AP-fonden,
06PMGQ-E,BlackRock Investment Management (Australia) Ltd.,
001ZHV-E,"TD Asset Management, Inc.",
07BYPL-E,Pendal Group Ltd. (Investment Management),
002H43-E,"PanAgora Asset Management, Inc.",
06SVND-E,Guardians of New Zealand Superannuation,
05G6QK-E,Aviva Investors Global Services Ltd.,
09T0KR-E,"Sun Life Global Investments (Canada), Inc.",
002TPV-E,Strategic Advisers LLC,
001JWR-E,SunAmerica Asset Management LLC,
006BRQ-E,Pension Services Ltd.,
05JJB4-E,Andra AP-fonden,
06ZM8D-E,de Pury Pictet Turrettini & Cie SA,
009K4M-E,Security Investors LLC,
000LH9-E,Federated MDTA LLC,
000PC4-E,MacKay Shields LLC,
0090RH-E,Weiss Multi-Strategy Advisers LLC,
002HYD-E,"Wells Capital Management, Inc.",
0DYG2Y-E,Thrivent Financial for Lutherans (Investment Portfolio),
05G7NS-E,Robeco Institutional Asset Management BV,
0F1W43-E,Squarepoint OPS LLC,
0BCNBH-E,Nuveen Asset Management LLC,
05G643-E,Credit Suisse AG,
0DN90G-E,Engineers Gate Manager LP,
06KVT6-E,Crow Point Partners LLC,
0645TX-E,"Envestnet Asset Management, Inc.",
00179W-E,Mackenzie Financial Corp.,
05FWLZ-E,Aberdeen Asset Investments Ltd.,
00DFPF-E,MetLife Investment Management LLC,
00CF8F-E,KBC Fund Management Ltd.,
00724F-E,Wells Fargo Advisors Financial Network LLC,
0084HS-E,ProShare Advisors LLC,
005VPR-E,Federated Equity Management Company of Pennsylvania,
05G2Z1-E,Capital International Ltd.,
05SG6R-E,Daiwa Asset Management Co. Ltd.,
0GQ9MC-E,Green Square Asset Management LLC,
060K8R-E,Calamos Advisors LLC,
05K7GZ-E,Wellington Management International Ltd.,
