Factset Entity ID,Fund Name,Discrepancy Column
04BJ2G-E,Fidelity Comwlth. Tr. - Mid Cap Stock Fund,Incorrect: style eaum 
04FW61-E,Schroder Gaia - Egerton Equity,Incorrect: style eaum 
04BTNJ-E,Fidelity Advisor Series I - Stock Selector Mid Cap Fund,Incorrect: style eaum 
04CQ34-E,Fidelity Small Cap Growth Fund,Incorrect: style eaum 
04BV83-E,Fidelity Vip - Mid Cap Portfolio,Incorrect: style eaum 
04B9CP-E,Fidelity Advisor Series I - Equity Growth Fund,Incorrect: style eaum 
04BFWF-E,Mainstay Vp - Large Cap Growth Portfolio,Incorrect: eaum 
04BG7Q-E,Goldman Sachs Mid Cap Value Fund,Incorrect: style aum eaum 
04BGV6-E,Mfs Technology Fund,Incorrect: eaum 
04BVBK-E,Vanguard Institutional Total Stock Market Index Fund,Incorrect: aum eaum 
04BKBN-E,Fidelity Independence Fund,Incorrect: style eaum 
04BFZ7-E,Transamerica Us Growth,Incorrect: style eaum 
04CL4R-E,Federated Kaufmann Small Cap Fund,Incorrect: aum eaum 
04CQVJ-E,Eaton Vance Enhanced Equity Income Fund Ii,Incorrect: style eaum 
04HHF1-E,Lf Miton Investment Funds 3 - Us Opportunities Fund,Incorrect: style eaum 
04G7DL-E,Fidelity Mid Cap Index Fund,Incorrect: eaum 
04D0L8-E,Xtrackers - Shortdax Daily Swap Ucits Etf,Incorrect: aum eaum 
04BTP6-E,Fidelity Advisor Series I - Leveraged Company Stock Fund,Incorrect: style eaum 
04BLGW-E,Jpmorgan Funds - Us Technology Fund,Incorrect: eaum 
04GWDV-E,Ishares Tr. - Edge Msci Usa Momentum Factor Etf,Incorrect: aum eaum 
04HQNM-E,William Blair Sicav - Us Small-mid Cap Growth Fund,Incorrect: style eaum 
04BCR2-E,Jpmorgan Small Cap Growth Fund,Incorrect: style eaum 
04BFR7-E,Anchor Series Trust - Sa Wellington Capital Appreciation Port.,Incorrect: eaum 
04BCBT-E,Voya Large Cap Growth Fund,Incorrect: style eaum 
04BTLL-E,Jpmorgan Mid Cap Equity Fund,Incorrect: style eaum 
04HPLX-E,Carmignac Portfolio - Patrimoine,Incorrect: style aum eaum 
04CDVT-E,Tiaa-cref Mid Cap Growth Fund,Incorrect: style eaum 
04D306-E,Franklin Select Us Equity Fund,Incorrect: style eaum 
04FHR6-E,Ap7 Aktiefond,Incorrect: style aum eaum 
04F1NN-E,Nuveen Winslow Large Cap Growth Fund,Incorrect: eaum 
04CMFZ-E,Vanguard Large Cap Index Fund,Incorrect: aum eaum 
04B9LB-E,Fidelity Stock Selector All Cap Fund,Incorrect: style eaum 
04B9XY-E,Fidelity Select Port. - Technology Portfolio,Incorrect: style eaum 
04BT58-E,Principal Investors - Small Cap Fund,Incorrect: style aum eaum 
04FBP2-E,Ubs (lux) Institutional Fund - Key Selection Global Equity,Incorrect: style eaum 
04B9KH-E,Fidelity Growth Discovery Fund,Incorrect: style eaum 
04C1K1-E,Columbia Variable Portfolio-mid Cap Growth Fund,Incorrect: style aum eaum 
04BPQQ-E,Vanguard Balanced Index Fund (us),Incorrect: aum eaum 
04KQ5D-E,Northern Trust Russell 1000 Growth Index Fund-non-lending,Incorrect: eaum 
04DWDZ-E,Putnam Global Technology Fund,Incorrect: style eaum 
04BHNL-E,Vanguard Variable Insurance - Small Company Growth Portfolio,Incorrect: style eaum 
04BDZZ-E,Usaa Science & Technology Fund,Incorrect: style aum eaum 
04CP75-E,Wellington Mgmt. Fds. (lu) - Us Research Equity Fund,Incorrect: style eaum 
04CW39-E,First Trust Us Equity Opportunities Etf,Incorrect: aum eaum 
04BGQT-E,Janus Aspen Ser. - Vit Enterprise Portfolio,Incorrect: style eaum 
04FH8Q-E,Fidelity Strategic Advisers Growth Fund,Incorrect: style eaum 
04CW6G-E,American Funds Insurance Series - Global Growth & Income Fund,Incorrect: aum eaum 
04G442-E,Capital Group Global Equity Fund,Incorrect: style eaum 
04DD5S-E,Comstage Sicav - Msci World Trn Ucits Etf,Incorrect: style eaum 
04BGF1-E,John Hancock Vit - Mid Cap Stock Trust,Incorrect: eaum 
04CR51-E,Invesco S&p Midcap Momentum Etf,Incorrect: aum eaum 
04CB7M-E,Cif - Capital Group Global Equity Fund (lux),Incorrect: style eaum 
04BF9D-E,Columbia Acorn Select Fund,Incorrect: style eaum turnover 
04BFV7-E,Goldman Sachs Technology Opportunities Fund,Incorrect: style eaum 
04BFN5-E,Cref Global Equities Account,Incorrect: style eaum 
04BHX7-E,Ishares Tr. - Us Technology Etf,Incorrect: aum eaum 
04BNSG-E,Lord Abbett Res. Fund Inc. - Growth Opportunities Fund,Incorrect: style eaum 
04BHDB-E,Ishares Tr. - Russell 1000 Etf,Incorrect: aum eaum 
04CT14-E,Dfa Us Core Equity 1 Portfolio,Incorrect: style eaum 
04JCKR-E,Fidelity Sai Small Mid Cap 500 Index Fund,Incorrect: eaum 
04J8JX-E,Artemis Investment Funds Icvc - Us Extended Alpha Fund,Incorrect: style eaum 
04BFZJ-E,Jnl Multi Manager Small Cap Growth Fund,Incorrect: style eaum 
04BVP7-E,Met Investors - Wmc Large Cap Research Portfolio,Incorrect: style eaum 
04BWHT-E,Blackrock Global Funds - World Technology Fund,Incorrect: aum eaum 
04CLRP-E,Ishares Tr. - Core S&p Total Us Stock Market Etf,Incorrect: aum eaum 
04B9N1-E,Federated Mdt Mid Cap Growth Fund,Incorrect: style aum eaum 
04BH7L-E,Tiaa-cref Equity Index Fund,Incorrect: eaum 
04D17X-E,Eaton Vance Risk Managed Diversified Equity Income Fund,Incorrect: style eaum 
04CPSX-E,Eaton Vance Enhanced Equity Income Fund,Incorrect: style eaum 
04BB69-E,Hartford Disciplined Equity Hls Fund,Incorrect: style eaum 
04F85W-E,Schwab Us Large Cap Etf,Incorrect: aum eaum 
04BFN7-E,Cref Equity Index Account,Incorrect: eaum 
04C8WM-E,Challenge Funds - Technology Equity Fund,Incorrect: style eaum turnover 
04B9S9-E,Fidelity New Millennium Fund,Incorrect: style eaum 
04BB34-E,Goldman Sachs Large Cap Growth Insights Fund,Incorrect: eaum 
04BH2Y-E,Putnam Global Equity Fund,Incorrect: style eaum 
04BSKT-E,Invesco Small Cap Discovery Fund,Incorrect: eaum 
04D6VR-E,Invesco Nasdaq Internet Etf,Incorrect: aum eaum 
04D384-E,Fidelity Commonwealth Tr. Ii - Mid Cap Enhanced Index Fund,Incorrect: eaum 
04BFP7-E,Eq/capital Guardian Research Portfolio,Incorrect: style eaum 
04D0KL-E,First Trust Technology Alphadex Fund,Incorrect: aum eaum 
04KC4M-E,Victory Port. - Rs Mid Cap Growth Fund,Incorrect: style eaum 
04KGNJ-E,Fidelity Sai Us Momentum Index Fund,Incorrect: eaum 
04CLXP-E,Fidelity Advisor Series I - High Income Advantage Fund,Incorrect: style eaum 
04H447-E,Eaton Vance Growth Fund,Incorrect: style eaum 
04BR9X-E,Kbc Equity Fund - America,Incorrect: style eaum 
04L0Y2-E,Spyglass Growth Fund,Incorrect: aum eaum 
04CCKK-E,Eaton Vance Growth Portfolio,Incorrect: style eaum 
04BV8F-E,Swedbank Robur Globalfond,Incorrect: style eaum 
04FJ0L-E,Ctivp-los Angeles Capital Large Cap Growth Fund,Incorrect: style eaum 
04HJ25-E,Jpmorgan Fund Icvc - Global Macro Opportunities Fund,Incorrect: eaum 
04HY2Z-E,Fidelity Series Growth Company Fund,Incorrect: style eaum 
04CRVD-E,John Hancock Vit - Small Cap Stock Trust,Incorrect: style eaum 
04BCNH-E,Putnam Capital Opportunities Fund,Incorrect: style eaum 
04BTMW-E,Columbia Seligman Global Technology Fund,Incorrect: aum eaum 
04F85X-E,Schwab Us Large Cap Growth Etf,Incorrect: aum eaum 
04F85T-E,Schwab Us Broad Market Etf,Incorrect: aum eaum 
04J4QF-E,Jpmorgan Funds - Us Equity All Cap Fund,Incorrect: style aum eaum 
04BPZG-E,Nuveen Mid Cap Growth Opportunities Fund,Incorrect: style eaum 
04BQ5G-E,Blackrock Advantage Large Cap Growth Fund,Incorrect: style eaum 
04G8D0-E,Eaton Vance Focused Growth Opportunities Fund,Incorrect: style eaum 
04BV81-E,Fidelity Vip Iii - Growth Opportunities Portfolio,Incorrect: style eaum 
04BP8N-E,Transamerica Janus Mid Cap Growth Vp,Incorrect: style eaum 
04CT15-E,Dfa Us Core Equity 2 Portfolio,Incorrect: eaum 
04CGDM-E,Jpmorgan Intrepid Growth Fund,Incorrect: style eaum 
04CQ4G-E,Gs Funds - Global Core Equity Portfolio,Incorrect: style eaum 
04CZQD-E,Fidelity Commonwealth Tr. Ii - Large Cap Gwth. Enh. Index Fund,Incorrect: eaum 
04BR4G-E,Ubs (lux) Equity Fund - Global Multi Tech (usd),Incorrect: style eaum 
04KG9G-E,Transamerica Large Growth,Incorrect: style eaum 
04CDVX-E,Tiaa-cref Large Cap Growth Index Fund,Incorrect: eaum 
04H2WN-E,Fidelity Series Blue Chip Growth Fund,Incorrect: style eaum 
04CHMT-E,Am One Dl International Research Open Mother Fund,Incorrect: style eaum 
