,MI name,MI Pos,MI Market Val,DT Name,DT Pos,DT Market Val,Pos Diff (Percentage),Market Val Diff (Percent),MI Not Matched,DT Not Matched
3539,Diem Client Partner AG,3000.0,0.41556000000000004,Diem Client Partner AG,9200,1171556.0,-101.64,-95.27,,
3540,Banque Transatlantique Belgium SA,3000.0,0.41556000000000004,Banque Transatlantique Belgium,3000,353820.0,0,16.05,,
3541,AUA Capital Management LLC,3000.0,0.41556000000000004,AUA Capital Management LLC,3700,495652.0,-20.9,-17.58,,
3542,Arctic Fund Management As,3000.0,0.41556000000000004,Capital Fund Management SA,182313,24422649.0,-193.52,-193.31,,
3543,Shulman DeMeo Asset Management LLC,2988.0,0.41389776,Shulman DeMeo Asset Management LLC,2988,400272.0,0,3.35,,
3544,GenTrust LLC,2956.0,0.40946512,GenTrust LLC,2956,395986.0,0,3.35,,
3545,Lagoda Investment Management L.P.,2950.0,0.408634,Lagoda Investment Management LP,2950,395182.0,0,3.35,,
3546,Bank of Communications Schroder Fund Management Co. Ltd.,2947.0,0.40821844,"Bank of Communications Schroder Fund Management Co., Ltd.",2947,299327.0,0,30.78,,
3547,Long Road Investment Counsel LLC,2929.0,0.40572508,Long Road Investment Counsel LLC,2929,392369.0,0,3.35,,
3548,Darrell & King LLC,2913.0,0.40350876,Darrell & King LLC,2913,390225.0,0,3.35,,
3549,LifePlan Financial Group Inc.,2912.0,0.40337024,"LifePlan Financial Group, Inc.",2912,390092.0,0,3.35,,
3550,Larson Financial Group LLC,2894.0,0.40087688,Larson Financial Group LLC,2894,387680.0,0,3.35,,
3551,Arcus Capital Partners LLC,2865.0,0.3968598,Investment Partners Ltd.,31491,4218534.0,-166.64,-165.61,,
3552,Johnson Wealth Inc.,2851.0,0.39492052,"Johnson Investment Counsel, Inc.",646707,86632870.0,-198.24,-198.18,,
3553,Marshall Financial Group Inc.,2849.0,0.39464348,"Hall Capital Management Co., Inc.",59161,7925208.0,-181.62,-181.03,,
3554,Integre Asset Management LLC,2800.0,0.387856,Integre Asset Management LLC,2800,375088.0,0,3.35,,
3555,Taylor Asset Management Inc.,2800.0,0.387856,Taylor Wealth Management Partners LLC,112399,15056970.0,-190.28,-189.96,,
3556,Ocean Partners Y.O.D.M Ltd.,2800.0,0.387856,Investment Partners Ltd.,31491,4218534.0,-167.34,-166.32,,
3557,Citibank NA (London Branch),2791.0,0.38660932,London & Capital Asset Management Ltd.,243416,32608007.0,-195.47,-195.31,,
3558,Banca Zarattini & Co. SA,2760.0,0.3823152,"AR Asset Management, Inc.",13800,1848648.0,-133.33,-131.45,,
