factset_entity_id,Name,Position,Style,Turnover,EquityAssets,QualityRating
001J5S-E,The Park National Bank (Investment Management),93280,Yield,Very Low,1613.697563,65
001JJ6-E,"Kornitzer Capital Management, Inc.",162654,GARP,Low,5921.031282,72
001JK7-E,"Matrix Asset Advisors, Inc.",0,Yield,Very Low,597.585763,71
001JQG-E,WEDGE Capital Management LLP,34582,Quant,Low,9891.591893,60
001JWR-E,SunAmerica Asset Management LLC,95922,Yield,Very Low,26455.59774,82
001JZX-E,Brown Brothers Harriman & Co. (Investment Management),46344,GARP,Low,14514.24343,75
001KC7-E,"KR Capital Advisors, Inc.",0,GARP,Medium,0,0
001LH2-E,Lombardia Capital Partners LLC,0,Value,Medium,0,0
001LNL-E,Hershey Trust Co.,0,Yield,Low,7413.646317,82
001LWB-E,Welch & Forbes LLC,51881,GARP,Very Low,3994.395514,76
001LWP-E,Everett Harris & Co.,1940,GARP,Very Low,3860.470716,77
001LWQ-E,"Fenimore Asset Management, Inc.",418397,GARP,Very Low,2872.523729,79
001MCT-E,Iridian Asset Management LLC,0,Value,Low,8482.593265,81
001MDY-E,Ontario Teachers' Pension Plan Board,19640,GARP,Medium,6592.434714,62
001MJ6-E,Colorado Public Employees' Retirement Association,39404,Index,Very Low,15794.95905,79
001MJX-E,Davis Selected Advisers LP,0,Value,Very Low,21511.78389,90
001MYF-E,"Westport Asset Management, Inc.",1800,GARP,Very Low,145.232322,59
001N0P-E,"Peter B. Cannell & Co., Inc.",5000,GARP,Low,2647.132201,70
001NGD-E,"Salem Investment Counselors, Inc.",0,GARP,Very Low,945.23946,66
001PBJ-E,"Eagle Asset Management, Inc.",26661,GARP,Very Low,21576.96907,84
001Q4T-E,Seneca Capital Investments LP,0,Growth,Medium,0,0
001RLW-E,"John W. Bristol & Co., Inc. (New York)",509719,GARP,Very Low,3649.880951,81
001T29-E,"Conning, Inc.",248780,Yield,Low,3255.685844,66
001T5F-E,State Teachers Retirement System of Ohio,148318,GARP,Very Low,22348.7287,81
001TJR-E,"INTRUST Bank, NA",2339,GARP,Very Low,406.838926,56
001TNS-E,"Karpus Management, Inc.",0,GARP,Low,3026.892464,71
001TPC-E,"Colorado State Bank & Trust, NA",0,Undefined,Medium,0,0
001VR9-E,Moore Capital Management LP,0,Hedge Fund,High,4198.51598,36
001XC9-E,"Greenhaven Associates, Inc.",0,Growth,Very Low,5632.281525,86
001XF9-E,Inverness Counsel LLC,0,GARP,Low,1879.585739,71
001XJ8-E,OMERS Administration Corp.,950950,GARP,Medium,9612.756301,68
001XKH-E,"Beck, Mack & Oliver LLC",0,GARP,Very Low,2832.089073,76
001XP1-E,Harding Loevner LP,320,GARP,Very Low,21469.95067,85
001XT4-E,"DWS Investment Management Americas, Inc.",73183,GARP,Very Low,17372.72015,77
001XW9-E,Ingalls & Snyder LLC,1856,GARP,Very Low,2112.910913,71
001Y7Z-E,"Becker Capital Management, Inc.",2900,Value,Very Low,2803.398618,77
001Y83-E,Bessemer Investment Management LLC,672483,Value,Low,26868.71918,71
001YB3-E,"William Harris Investors, Inc.",0,GARP,Medium,0,0
001YD6-E,OZ Management LP,0,Hedge Fund,Medium,12320.07282,53
001YNK-E,"Rational Advisors, Inc.",21,GARP,Very High,527.489369,32
001YQZ-E,"Monarch Capital Management, Inc.",4716,Yield,Very Low,276.465149,61
001YT0-E,Ohio Public Employees Retirement System,143563,GARP,Very Low,19653.34961,80
001YWB-E,Virginia Retirement Systems,100500,GARP,Low,8803.751135,70
001YX3-E,"Securian Asset Management, Inc.",22988,GARP,Very Low,4251.042426,71
001ZF3-E,Aberdeen Asset Managers Ltd.,46933,Growth,Very Low,13234.66132,76
001ZK6-E,Credit Suisse Asset Management LLC,0,GARP,Medium,1478.456017,58
001ZNW-E,"EII Capital Management, Inc.",0,Growth,Low,194.572224,49
