factset_entity_id,Discrepancy Column,,,
00BP39-E,,,Number of Discrepancies,1
002HPZ-E,,,,
05LSZ7-E,,,,
0036PT-E,,,,
0BJ4DG-E,,,,
001WDR-E,,,,
00B00Z-E,,,,
05HHM8-E,,,,
0084T7-E,,,,
06HF52-E,,,,
0FSJCB-E,,,,
0B0T3M-E,,,,
0FWM04-E,,,,
0D8FLF-E,,,,
0D0MLJ-E,,,,
002J36-E,,,,
09K27Q-E,,,,
0DLBTN-E,,,,
000F48-E,,,,
05LVW3-E,,,,
003C59-E,,,,
0CJCDM-E,,,,
0616JF-E,,,,
07SP1C-E,,,,
000TSV-E,,,,
06QFGD-E,,,,
00C7S6-E,,,,
0041B9-E,,,,
003FPZ-E,,,,
05FW7T-E,,,,
0FB0M7-E,,,,
000CS6-E,,,,
000ZJZ-E,,,,
00BQQ7-E,,,,
00CF5D-E,,,,
0K6R76-E,,,,
0897XW-E,,,,
0FL12Y-E,,,,
006ZKQ-E,,,,
0044TS-E,,,,
06354F-E,,,,
0012SH-E,,,,
00371D-E,,,,
05VKRN-E,,,,
077B95-E,,,,
06T784-E,,,,
0035VM-E,,,,
076PV8-E,,,,
05J6J6-E,,,,
07V6GG-E,,,,
006SZW-E,,,,
0CFM3M-E,,,,
05TPF6-E,,,,
05FSHC-E,,,,
00D16B-E,,,,
00888R-E,,,,
007287-E,,,,
008NDQ-E,,,,
06HD4X-E,,,,
0HTPHV-E,,,,
0CGG94-E,,,,
00B80R-E,,,,
00F0KS-E,,,,
06PJ0J-E,,,,
0KJ9GF-E,,,,
0023BK-E,,,,
002HK2-E,,,,
06F323-E,,,,
009K94-E,,,,
0CP0LQ-E,,,,
00FC97-E,,,,
00CF7P-E,,,,
009ZN6-E,,,,
004WK9-E,,,,
002J8S-E,,,,
0790QT-E,,,,
002N2Z-E,,,,
0G1V0D-E,,,,
06RWJ6-E,,,,
003XST-E,,,,
003R3W-E,,,,
003RPB-E,,,,
006XRW-E,,,,
003BWY-E,,,,
05V3G2-E,,,,
0098XC-E,,,,
005HLX-E,,,,
002HMW-E,,,,
003T1Z-E,,,,
05H66N-E,,,,
06NXCK-E,,,,
05G7PL-E,,,,
07BXD5-E,,,,
002G6W-E,,,,
0DNJ84-E,,,,
06W6MD-E,,,,
0C84W4-E,,,,
0C97QM-E,,,,
00890T-E,,,,
0093MW-E,,,,
0DN5YT-E,,,,
00DYTR-E,,,,
0CB5ZJ-E,,,,
003N3Z-E,,,,
0G833F-E,,,,
09HPST-E,,,,
06L89J-E,,,,
07FB92-E,,,,
05LPYZ-E,,,,
06RSFN-E,,,,
00BR1S-E,,,,
0HW57L-E,,,,
006W0X-E,,,,
05FBK8-E,,,,
0C95KW-E,,,,
