FactSet Entity ID,Institution_name,AI_Targeting vs. Profile Page
002FVQ-E,Egerton Capital (UK) LLP,
005GTL-E,Scopia Capital Management LP,
06WRQY-E,National Pension Service of Korea,
002K96-E,Putnam Investment Management LLC,
009TC5-E,Nationwide Fund Advisors,
002H7Y-E,Russell Investment Management LLC,
00C8HT-E,Vulcan Value Partners LLC,
0CXXXG-E,Personal Capital Advisors Corp.,
002G25-E,Cambiar Investors LLC,
0C7JDM-E,Vantage Investment Partners LLC,
05TZ2D-E,British Airways Pension Investment Management Ltd.,
05K9Q7-E,National Mutual Insurance Fed. of Agricultural Cooperatives,
00BQPP-E,Poplar Forest Capital LLC,
0DQRFF-E,Shigeta Yasumitsu (Investment Portfolio),
002GL5-E,"McDonald Capital Investors, Inc.",
001XJ8-E,OMERS Administration Corp.,
0041LW-E,"Scout Investments, Inc.",
002HYZ-E,"Allen Holding, Inc.",
0D9VKG-E,BlueSpruce Investments LP,
002K8G-E,Baillie Gifford & Co.,
004189-E,First Eagle Investment Management LLC,
002K0M-E,Goldman Sachs Asset Management LP,
002D91-E,"Vontobel Asset Management, Inc.",
000SX3-E,"OppenheimerFunds, Inc.",
005CJ2-E,Chickasaw Capital Management LLC,
002JMH-E,"Boston Trust Investment Management, Inc.",
000BPX-E,APG Asset Management NV,
000P8M-E,"Lord, Abbett & Co. LLC",
002YBS-E,Capital Counsel LLC,
005HHB-E,The Golub Group LLC,
002H5F-E,E.S. Barr & Co.,
05LMXJ-E,"BNP Paribas Asset Management USA, Inc.",
06TMWC-E,Natixis Investment Managers International SA,
0090TB-E,AMG National Trust Bank,
005H6X-E,"DeRoy & Devereaux Private Investment Counsel, Inc.",
002FTH-E,M&G Investment Management Ltd.,
002H3C-E,Martin Currie Investment Management Ltd.,
002LGB-E,R. H. Bluestein & Co.,
002P6Z-E,Columbus Circle Investors,
002J5V-E,"Zacks Investment Management, Inc.",
05J6S2-E,The Bank of New York Mellon Corp. (Investment Management),
05M9G5-E,"JPMorgan Chase Bank, NA (Investment Management)",
002GJ2-E,Marathon Asset Management LLP,
00GLD1-E,Roundwood Asset Management LLC,
000NVY-E,Luther King Capital Management Corp.,
001MCT-E,Iridian Asset Management LLC,
001RLW-E,"John W. Bristol & Co., Inc. (New York)",
001LWQ-E,"Fenimore Asset Management, Inc.",
05DYPD-E,"AGF Investments, Inc.",
05FW5R-E,Aviva Investors France SA,
001J5M-E,Oak Associates Ltd.,
088GN2-E,Evercore Wealth Management LLC,
05HCRJ-E,"Montrusco Bolton Investments, Inc.",
086TRK-E,PNC Capital Advisors LLC,
002L9Y-E,"Reinhart Partners, Inc.",
0DXT33-E,Obermeyer Wood Investment Counsel LLLP,
008JVS-E,myCIO Wealth Partners LLC,
002GX7-E,Saybrook Capital Corp.,
069316-E,DWS Investments (UK) Ltd.,
06YTDW-E,Origin Asset Management LLP,
0DLBVB-E,Pictet Asset Management (Singapore) Pte Ltd.,
0024Q4-E,Canyon Capital Advisors LLC,
002JRV-E,Atlanta Capital Management Co. LLC,
05FWL8-E,UBS AG (Investment Management),
002XTV-E,UBS Asset Management (UK) Ltd.,
009TKS-E,Mar Vista Investment Partners LLC,
002XSZ-E,"Rothschild & Co. Asset Management US, Inc.",
001XKH-E,"Beck, Mack & Oliver LLC",
002GLY-E,"Wafra, Inc.",
0BTDX9-E,Coöperatieve Media Pensioen Diensten UA,
05LVY7-E,South Texas Money Management Ltd.,
003K71-E,Harvey Investment Co. LLC,
000ZXF-E,Payden & Rygel,
060R9V-E,"Hexavest, Inc.",
001DGK-E,Orbis Investment Management Ltd.,
077CYS-E,"Bank of America, NA (Private Banking)",
002BSH-E,Eaton Vance Management,
002HYD-E,"Wells Capital Management, Inc.",
0D7C6T-E,"Wells Fargo Bank, NA (Private Banking)",
0DCX79-E,DWS Investment GmbH,
05FWKC-E,FIL Investment Advisors (UK) Ltd.,
003NJ3-E,Mawer Investment Management Ltd.,
002J2D-E,Markel-Gayner Asset Management Corp.,
05FW7Z-E,JPMorgan Asset Management (UK) Ltd.,
05MZ1Y-E,"American Capital Management, Inc.",
05HQ7S-E,Guardian Capital LP,
085TCH-E,ArrowMark Colorado Holdings LLC,
05G31Z-E,Investec Asset Management Ltd.,
0DLJ19-E,Mizuho Bank Ltd. (Private Banking),
0DK8PG-E,"General American Investors Co., Inc. (Investment Management)",
05FWKV-E,Baring Asset Management Ltd.,
0DMSKN-E,"Stifel Nicolaus & Co., Inc. (Investment Management)",
00479N-E,Dearborn Partners LLC,
004CGL-E,Avalon Advisors LLC,
002HMM-E,Peregrine Capital Management LLC,
002KBP-E,Vaughan Nelson Investment Management LP,Discrepancy: aum 
002LQK-E,Boston Financial Management LLC,
00306H-E,"Logan Capital Management, Inc.",
002Y8N-E,"Cornerstone Capital, Inc.",
06QZ43-E,Aureus Asset Management LLC,
0080KW-E,Hound Partners LLC,
05ZYBJ-E,Barclays Capital Securities Ltd.,
061CKR-E,CA Indosuez Wealth (Private Banking Europe),
003HVP-E,Adage Capital Management LP,
002J5N-E,"Water Street Capital, Inc.",
000HGT-E,Macquarie Investment Management Business Trust,
0DCFD3-E,Goldman Sachs & Co. LLC (Private Banking),
002J4D-E,Fayez Sarofim & Co.,
000D1Q-E,UBS Asset Management (Americas) Inc.,Discrepancy: aum 
001PBJ-E,"Eagle Asset Management, Inc.",
001MYB-E,St. Denis J. Villere & Co. LLC,
0D8QQB-E,"Raymond James Financial Services Advisors, Inc.",
0CSJB1-E,USS Investment Management Ltd.,
05GH73-E,Saturna Capital Corp.,
06NG37-E,American Money Management Corp.,
05J826-E,Honeywell Capital Management LLC,
002GFH-E,"Stacey Braun Associates, Inc.",
003BWQ-E,"Davidson Investment Advisors, Inc.",
003KZY-E,Seizert Capital Partners LLC,
0D58B0-E,Invesco Investment Advisers LLC,
002LJZ-E,Stewart Capital Advisors LLC,
0011Z0-E,"Osterweis Capital Management, Inc.",
07H1ZP-E,TOBAM SAS,
0DLGXN-E,Sessa Capital IM LP,
00B182-E,Holowesko Partners Ltd.,
005GJD-E,"Diamond Hill Capital Management, Inc.",
0DB9DH-E,Manulife Asset Management Ltd.,
0D9L9X-E,"Raymond James & Associates, Inc. (Invt Mgmt)",
06069X-E,Sarasin & Partners LLP,
05G643-E,Credit Suisse AG,
05G784-E,HSBC Global Asset Management (UK) Ltd.,
002J01-E,Congress Asset Management Co. LLP,
000RBG-E,"Nicholas Co., Inc.",
06D7ZW-E,"Fidelity National Financial, Inc. (Investment Management)",
0044WZ-E,SEI Investments Management Corp.,
0012LW-E,Brandywine Global Investment Management LLC,
002H9M-E,Duff & Phelps Investment Management Co.,
05H4CW-E,"CI Investments, Inc.",
0024MZ-E,Capital Guardian Trust Co.,
05JJ9M-E,Fjärde AP-fonden,
05G36K-E,Gulf International Bank (UK) Ltd.,
002HHQ-E,"RBC Global Asset Management (US), Inc.",
002PJ9-E,Alta Capital Management LLC,
0DFMYG-E,BMO Asset Management Corp.,
0035FV-E,Eagle Global Advisors LLC,
002J7N-E,Quest Investment Management LLC,
09CG0R-E,Sparinvest SA (Denmark),
002THY-E,Marsico Capital Management LLC,
0C8WV8-E,CapWealth Advisors LLC,
008JSX-E,Bridgecreek Investment Management LLC,
00CFMZ-E,Halbert Hargrove Global Advisors LLC,
003XX5-E,"Dock Street Asset Management, Inc.",
002LY6-E,Teacher Retirement System of Texas,
002JJ1-E,Woodstock Corp.,
05FW5G-E,Edmond de Rothschild Asset Management (France) SA,
002J41-E,Renaissance Technologies LLC,
05PKND-E,"Clark Capital Management Group, Inc.",
0C84CF-E,"Beacon Capital Management, Inc.",
074F2K-E,"EdgePoint Investment Group, Inc.",
002TCB-E,GMT Capital Corp.,
001FKZ-E,Jennison Associates LLC,
009SF1-E,Managed Account Advisors LLC,
08BZBV-E,"BlackRock Japan Co., Ltd.",
00FC5V-E,Green Valley Investors LLC,
001JWR-E,SunAmerica Asset Management LLC,
0DLWQM-E,Old Republic International Corp. (Investment Management),
006WF6-E,Minneapolis Portfolio Management Group LLC,
0683HK-E,River Road Asset Management LLC,
00BF2W-E,Eventide Asset Management LLC,
0022CW-E,"Foresters Investment Management Co., Inc.",
0DHDVY-E,Allianz Global Investors GmbH (UK),
0DLCMS-E,Ceredex Value Advisors LLC,
06JN25-E,Trinity Street Asset Management LLP,
0C238L-E,Donaldson Capital Management LLC,
05F349-E,The Carlyle Group LP (Corporate Private Equity),
000YND-E,Columbia Wanger Asset Management LLC,
05LLK7-E,"Dana Investment Advisors, Inc.",
002KFZ-E,"Halsey Associates, Inc.",
0DZXVN-E,Boston Private Wealth LLC,
002JK6-E,"Nippon Life Global Investors Americas, Inc.",
009964-E,Telemus Capital LLC,
0036N2-E,"USA Mutuals Advisors, Inc.",
000D9W-E,Capital Growth Management LP,
09K27T-E,PineBridge Investments LLC,
009SSH-E,Lakewood Capital Management LP,
002JLV-E,The Edgar Lomax Co.,
07KBRX-E,Edward D. Jones & Co. LP (Investment Management),
002VK6-E,Walter Scott & Partners Ltd.,
002XR7-E,Chevy Chase Trust Co.,
002TPV-E,Strategic Advisers LLC,
000HPH-E,BNY Mellon Investment Adviser Inc.,
05HT6V-E,New Jersey Division of Investment,
06M2R5-E,Pictet Asset Management SA,
06DB7L-E,FIAM LLC,
002HHG-E,Strategic Investment Management LLC,
0FJXBY-E,William Blair Investment Management LLC,
002JLB-E,Royal London Asset Management Ltd.,
0010RD-E,Westfield Capital Management Co. LP,
002HGH-E,"Mairs & Power, Inc.",
0CVX5Y-E,"BlackRock Capital Management, Inc.",
003XVC-E,Hahn Capital Management LLC,
001M67-E,"Sasco Capital, Inc.",
05K57N-E,Tennessee Consolidated Retirement System,
002Y4P-E,Ensemble Capital Management LLC,
06MXD6-E,Menora Mivtachim Insurance Ltd.,
002KLD-E,Westwood Management Corp. (Texas),Discrepancy: aum 
001Y8B-E,Brandes Investment Partners LP,
00C84T-E,Nuance Investments LLC,
002P7T-E,"Williams, Jones & Associates LLC",
05GSK4-E,DNB Asset Management AS,
002HVY-E,Meyer Handelman Co. LLC,
001JJ6-E,"Kornitzer Capital Management, Inc.",
002JPV-E,Allstate Investment Management Co.,
0DFGR3-E,Janney Capital Management LLC,
001N0P-E,"Peter B. Cannell & Co., Inc.",
008K3J-E,Alaska Retirement Management Board,
003F4Q-E,J.M. Hartwell LP,
002JCG-E,"Howard Capital Management, Inc. (California)",
00CFDD-E,RiverPark Advisors LLC,
0B5NL9-E,CoBiz Wealth LLC,
002HBD-E,"Jacobs Levy Equity Management, Inc.",
002HNJ-E,ARS Investment Partners LLC,
05Z820-E,Edinburgh Partners Ltd.,
0090LR-E,Redwood Investments LLC,
05KVKH-E,Consulta Ltd.,
0034KK-E,Eastern Bank Corp. (Private Banking),
0D8XX0-E,Schweizerische Nationalbank (Investment Portfolio),
002J0Z-E,Gardner Russo & Gardner LLC,
07MY7Y-E,Korea Investment Corp. (Investment Management),
002GB5-E,Manulife Asset Management (US) LLC,
0034MV-E,Invesco Canada Ltd.,
002J7T-E,Schroder Investment Management Ltd.,
05PG7S-E,Aperio Group LLC,
05GZ5L-E,AMF Pensionsförsäkring AB,
06MV32-E,Allianz Global Investors GmbH,
0071ZN-E,"Commonwealth Equity Services, Inc.",
0D6ST5-E,Hosking Partners LLP,
002GVY-E,"Thrivent Investment Management, Inc.",
060K8R-E,Calamos Advisors LLC,
002H9D-E,"Compass Capital Management, Inc.",
002K02-E,"R. M. Davis, Inc.",
008KTT-E,Mariner LLC,
001LHH-E,Avenir Corp.,
0011MX-E,Glenmede Investment Management LP,
079G80-E,EULAV Asset Management,
007GKK-E,Franklin Templeton Institutional LLC,
05J6JS-E,Nissay Asset Management Corp.,
0032R9-E,Argent Capital Management LLC,
002HBL-E,Martingale Asset Management LP,
00DJTG-E,Cove Street Capital LLC,
00B4HZ-E,Global X Management Co. LLC,
001XF9-E,Inverness Counsel LLC,
002J93-E,"Hallmark Capital Management, Inc.",
002GYB-E,"Blackhill Capital, Inc.",
0032V2-E,Impax Asset Management LLC,
0034W4-E,North Point Portfolio Managers Corp.,
002G63-E,"Speece Thorson Capital Group, Inc.",
002NZ9-E,"Mountain Pacific Investment Advisers, Inc.",
05FWLZ-E,Aberdeen Asset Investments Ltd.,
002D6G-E,"Sit Investment Associates, Inc.",
002YD0-E,First Foundation Advisors,
002HFB-E,"Cabot Wealth Management, Inc.",
0DGMYJ-E,Caledonia Investments Plc (Investment Management),
001XN0-E,"First Wilshire Securities Management, Inc.",
003XG5-E,"AMI Investment Management, Inc.",
003KYP-E,Green Square Capital Advisors LLC,
002G76-E,"Salem Capital Management, Inc.",
000FF4-E,Credit Suisse Securities (USA) LLC (Broker),
001ZHV-E,"TD Asset Management, Inc.",
001NBV-E,"PNC Bank, NA (Investment Management)",
002L8H-E,"CIBC Private Wealth Advisors, Inc.",
001T5F-E,State Teachers Retirement System of Ohio,
001YT0-E,Ohio Public Employees Retirement System,
00BDK5-E,Confluence Investment Management LLC,
061863-E,Arizona State Retirement System,
002PWD-E,Horizon Kinetics Asset Management LLC,
002H7B-E,Natixis Advisors LP,
05KHS7-E,Adams Asset Advisors LLC,
001K6F-E,Gofen & Glossberg LLC,
002H8W-E,Anchor Capital Advisors LLC,
066ZJJ-E,Tributary Capital Management LLC,
0D2CW0-E,BB&T Securities LLC,
06JN4W-E,BNP Paribas Arbitrage SNC,
002HGC-E,"Lawrence W. Kelly & Associates, Inc.",
05FW8P-E,CPR Asset Management SA,
002GTR-E,Geneva Capital Management LLC,
002M3D-E,The Boston Family Office LLC,
0090QM-E,LaFleur & Godfrey LLC,
009HC1-E,Miller Investment Management LP,
0D06R4-E,Warren Averett Asset Management LLC,
002JQ3-E,Granite Investment Advisors LLC,
0C7FVB-E,"Fagan Associates, Inc.",
0CQGBF-E,Great Lakes Advisors LLC,
0091ZV-E,"Pineno Levin & Ford Asset Management, Inc.",
005C23-E,Cowen Investment Advisors LLC,
05VHVJ-E,Lazard Asset Management LLC,
005GT1-E,The London Company of Virginia LLC,
05KQW8-E,The Retirement Systems of Alabama,
0BJ0LD-E,"RBC Global Asset Management, Inc.",
0BR0JV-E,Fairpointe Capital LLC,
0CW4TM-E,Silvercrest Asset Management Group LLC,
002H53-E,Voya Investment Management Co. LLC,
001CVY-E,"Cohen & Steers Capital Management, Inc.",
002KQD-E,Davenport & Co. LLC,
001NJZ-E,"Schroder Investment Management North America, Inc.",
001MTF-E,Comerica Bank (Investment Management Texas),
05LT39-E,Pacific Heights Asset Management LLC,
