FactSet Entity ID,Institution_name,AI_Targeting vs. Profile Page
000WPQ-E,"Southeastern Asset Management, Inc.",
05K28L-E,State Street Global Advisors Ltd.,
000WX0-E,State of Wisconsin Investment Board,
002TPV-E,Strategic Advisers LLC,
002XTV-E,UBS Asset Management (UK) Ltd.,
002D91-E,"Vontobel Asset Management, Inc.",
002H1F-E,WCM Investment Management LLC,
05HDM8-E,Aditya Birla Sun Life AMC Ltd.,
000HPH-E,BNY Mellon Investment Adviser Inc.,
09ZTH9-E,Brown Advisory LLC,
05G53H-E,Candriam Belgium SA,
0024N0-E,Capital Research & Management Co.,
006VY9-E,Champlain Investment Partners LLC,
000JTR-E,First Pacific Advisors LP,
001XC9-E,"Greenhaven Associates, Inc.",
05M9G5-E,"JPMorgan Chase Bank, NA (Investment Management)",
0031GD-E,"Jarislowsky, Fraser Ltd.",
002D5Y-E,"Jensen Investment Management, Inc.",
05FW7K-E,La Banque Postale Asset Management SA,
05VHVJ-E,Lazard Asset Management LLC,
0DWKTN-E,"Letko, Brosseau & Associates Inc.",Discrepancy: aum 
05LLL3-E,Lindsell Train Ltd.,
05J82J-E,Loews Corp. (Investment Portfolio),
05HT6V-E,New Jersey Division of Investment,
000SX3-E,"OppenheimerFunds, Inc.",
002BRP-E,State Board of Administration of Florida Retirement System,
05PZV5-E,Sustainable Growth Advisers LP,
05F805-E,T. Rowe Price International Ltd.,
005GT1-E,The London Company of Virginia LLC,
000D1Q-E,UBS Asset Management (Americas) Inc.,
00DXXK-E,USAA Asset Management Co.,
05FYG9-E,Vontobel Asset Management AG,
00GFHN-E,Aberdeen Standard Capital Ltd.,
002GKD-E,Brown Capital Management LLC,
05H6R0-E,Burgundy Asset Management Ltd.,
05K7XR-E,CAPFI DELEN Asset Management SA,
0090BK-E,Energy Income Partners LLC,
08756C-E,Fidelity (Canada) Asset Management ULC,
001XP1-E,Harding Loevner LP,
0DMMKB-E,Jackson Square Partners LLC,
05KCJS-E,Lazard Asset Management Pacific Co.,
09Y9MP-E,Morgan Stanley Asia Ltd.,
0CK66Z-E,Morgan Stanley Asia Ltd. (Investment Management),
05G79W-E,Nordea Investment Management AB (Denmark),
0011QK-E,"PPM America, Inc.",
06M2R5-E,Pictet Asset Management SA,
0CPSFB-E,Rothschild HDF Investment Solutions SA,
05Z5C4-E,Standard Life Investments (USA) Ltd.,
0DHGV8-E,Storebrand Asset Management AS,
05QLZ4-E,Templeton Asset Management Ltd.,
002P34-E,The Caisse de dépôt et placement du Québec,
05KQW8-E,The Retirement Systems of Alabama,
05FK9V-E,UTI Asset Management Co. Ltd. (Investment Management),
0616QL-E,Unicorp Patrimonio Sociedad de Valores SA,Discrepancy: turnover 
00121D-E,Van Eck Associates Corp.,
002J5L-E,Waddell & Reed Investment Management Co.,
0DS4KY-E,AFP Integra SA (Investment Management),
094VV1-E,ANIMA Sgr SpA,
05LKNS-E,"APG Asset Management US, Inc.",
09N7PK-E,Allianz Global Investors U.S. LLC,
000C8Y-E,Ariel Investments LLC,
