FactSet Fund ID,Fund_name,AI_Targeting vs. Profile Page
04BCVR-E,Putnam Growth Opportunities Fund,
04CC6X-E,Edgewood L Select - Us Select Growth,
04C8LG-E,Robeco Boston Partners All-cap Value Fund,
04BR7P-E,Fidelity Funds Sicav - World Fund,
04BJFL-E,Sequoia Fund,
04BCJD-E,Jpmorgan Large Cap Value Fund,
04BTYH-E,Pacific Select Fund - Large Cap Growth Portfolio,
04CD5T-E,Swedbank Robur Ethica Global Mega,
04BRVN-E,Seb Aktiesparfond,
04BJNV-E,Franklin Mutual Ser. Fds. - Global Discovery Fund,
04CQXC-E,Vanguard Primecap Core Fund,
04BB1T-E,Victory Sycamore Established Value Fund,
04BX9L-E,Invesco Global Companies Fund,
04BY7C-E,Rbc Global Dividend Growth Fund,
04BDZT-E,Usaa Income Stock Fund,
04JB6C-E,Dws Croci Us Fund,
04B9QH-E,Franklin Growth Fund,
04BT4T-E,Principal Investors - Mid Cap Fund,
04BBHC-E,Janus Henderson Balanced Fund,
04BBZF-E,Mfs Massachusetts Investors Growth Stock Fund,
04BDHY-E,American Funds Small Cap World Fund,
04BFMY-E,Dnp Select Income Fund,
04BP8W-E,Transamerica Barrow Hanley Dividend Focused Vp,
04BVNJ-E,Lord Abbett Fundamental Equity Fund,
04BGK6-E,Janus Henderson Mid Cap Value Fund,
04BJG1-E,Eq/t Rowe Price Growth Stock Portfolio,
04F22Z-E,Laudus Us Large Cap Growth Fund,
04BWDT-E,Swedbank Robur Globalfond Mega,
04BH1N-E,Columbia Dividend Income Fund,
04BFYN-E,Wells Fargo Special Mid Cap Value Fund,
04BGMF-E,Invesco Growth & Income Fund,
04B9L0-E,Fidelity Dividend Growth Fund,
04FMWR-E,Eurizon Fund - Azioni Strategia Flessibile,
04BJNL-E,Lord Abbett Affiliated Fund,
04B8KH-E,American Funds New Perspective Fund,
04CT7F-E,Goldman Sachs Us Equity Dividend & Premium Fund,
04BJK5-E,Vanguard Capital Opportunity Fund,
04BF59-E,Vanguard Us Growth Fund,
04BCWZ-E,T Rowe Price Dividend Growth Fund,
04HX0L-E,Dws Invest Sicav - Multi Opportunities,
04BG4W-E,Mfs Research Fund,
04BJBN-E,Payden Equity Income Fund,
04HKC2-E,Renaissance Us Equity Income Fund,
04CS7N-E,Invesco American Franchise Fund,
04BHQ4-E,Hartford Capital Appreciation Fund,
04BDY6-E,Columbia Select Large Cap Growth Fund,
04CVDW-E,Nuveen Santa Barbara Dividend Growth Fund,
04BJLF-E,T Rowe Price Institutional Mid Cap Equity Growth Fund,
04CM3T-E,Fidelity Strategic Dividend & Income Fund,
04C6Y3-E,Cohen & Steers Quality Income Realty Fund,
04BZ3K-E,Thrivent Variable Product - Large Cap Value Portfolio,
04BDZ4-E,Usaa Growth Fund,
04HD57-E,Fidelity Us All Cap Fund,
