contact_id,factset_person_id,discrepancy
57d38cfb91aea376a7b9dedb,060HGG-E, --- Profile Region Code: ['Global'] 
57d38c5a91aea376a7b6e92a,, --- Profile Region Code: ['Global'] 
,,
,,
,,
,,
57d38c7491aea376a7b7585a,067XWR-E,
,,
57d38c6391aea376a7b708bc,05KM8Z-E,
57d38cfd91aea376a7b9f69d,0FJ53G-E,
57d38cbf91aea376a7b8c12b,0CDZV9-E,
,,
57d38cfb91aea376a7b9e229,061DLM-E, --- Profile Region Code: ['Emerging Markets'] 
57d38c6d91aea376a7b738dc,05Z06B-E,
58761205c6f2f2bd34c5dc66,09LHL9-E, --- [0] value  --- [0] value 
,,
57d38cfb91aea376a7b9dec1,05KRXY-E, --- Profile Region Code: ['Emerging Markets'] 
,,
57d38cfd91aea376a7b9f632,06TGLS-E,
57d38c6291aea376a7b7002d,05K7LD-E, --- [0] value  --- [0] value  --- [0] value 
5c3f568481abb87e7f4e28e4,0BF8K2-E,
,,
57d38cfd91aea376a7b9f323,0GHNC8-E,
,,
57d38cfe91aea376a7b9fb32,0GHJDD-E,
57d38c8491aea376a7b7a78d,06TK2C-E,
57d38c6e91aea376a7b74405,061DM4-E,
,,
,0GHN4H-E,
57d38c6d91aea376a7b738d1,05Z02T-E,
,,
57d38c8491aea376a7b7a7b1,06TK8H-E,
57d38cfd91aea376a7b9f8e1,0GH7W9-E,
,,
,,
,,
57d38cd591aea376a7b927c2,0DKPGJ-E,
,,
,,
,,
57d38c6b91aea376a7b72af7,05TV5W-E, --- [0] value  --- [0] value 
,,
57d38c6291aea376a7b7002b,05K7LQ-E,
57d38c6d91aea376a7b73874,05YX6L-E,
57d38cae91aea376a7b87deb,0FBNLJ-E,
,,
57d38cfe91aea376a7b9fc1d,0GHNN9-E,
57d38c6b91aea376a7b722e9,05QYNV-E,
5a5215955890ddad1f6fc3cf,0HKBLZ-E,
57d38cfb91aea376a7b9dea6,05GGDL-E, --- [0] value  --- [0] value  --- [0] value 
,,
57d38c6d91aea376a7b73875,05YX6M-E,
57d38c6d91aea376a7b7386f,05YX5J-E, --- [0] value  --- [0] value  --- [0] value 
5a1f3c615890ddad1f3733a9,0HPFVG-E,
57d38c6291aea376a7b6fd65,05JPFB-E,
57d38cfd91aea376a7b9f644,06TGKZ-E,
5c3378d7d2af43397222e0a4,06BMFF-E,
57d38cfb91aea376a7b9def3,068XL1-E,
57d38c6d91aea376a7b73872,05YX5M-E,
