factset_entity_id,name,ManagerStyle,InstitutionFixedStyle,Discrepancy Column,,,,
0CLQ9X-E,"18 Asset Management, Inc.",,,,,,,
0DN2W1-E,180 Capital LLC,,,,,,,
0H29DZ-E,180 Wealth Advisors LLC,,Growth,,,,,
08062Y-E,1818 Gestion SA,,,,,,,
05HCR0-E,1832 Asset Management LP,,GARP,,,,,
002BJJ-E,1838 Investment Advisors LP,,,,,,,
0HJ899-E,1839 Ventures LLC,,,,,,,
0H4TTQ-E,1843 Capital LLC,,,,,,,
078XFG-E,1848 Capital Partners LLC,,,,,,,
0H1XS3-E,1855 Capital Partners LLC,,,,,,,
09582K-E,1859 Partners LLC,,,,,,,
06P6S2-E,1861 Capital Management LLC,,,,,,,
0BN151-E,1875 Finance SA,,GARP,,,,,
0JC43J-E,1898 Venture Investment Management Beijing Co. Ltd.,,,,,,,
06SZMW-E,1901 Partners Management LP,,,,,,,
0HW7B2-E,1908 Capital LLC,,,,,,,
05G027-E,1919 Investment Counsel LLC,,GARP,,,,,
0D5YD1-E,1922 Investment Co. LLC,,GARP,,,,,
0C8MGM-E,1926 Investment Advisors LLC,,,,,,,
0FNBV3-E,1949 Value Advisors LLC,,,,,,,
0G2X0S-E,1955 Capital LLC,,,,,,,
0HZX1J-E,1984 Ventures,,,,,,,
0HBKNZ-E,1confirmation LLC,,,,,,,
0KDR02-E,1derlife Investment Partners LLC,,,,,,,
0JR3JF-E,1kubator SAS,,,,,,,
0CZ1RW-E,1Malaysia Development Bhd. (Investment Management),,,,,,,
0HMY51-E,1Sharpe Capital,,,,,,,
06ZJ4T-E,1st Capital Management Group GmbH,,,,,,,
008Z69-E,"1st Global Advisors, Inc.",,GARP,,,,,
000BDX-E,1st Source Corp.,,,,,,,
004GM6-E,"1st Source Corporation Investment Advisors, Inc.",,Yield,,,,,
067TMC-E,1to1 Venture Partners LLC,,,,,,,
0H4X7R-E,20 North Street,,,,,,,
0GRRWR-E,20 Scoops Venture Capital GmbH & Co. KG,,,,,,,
0788RC-E,20/20 HealthCare Partners LLC,,,,,,,
0JYZVD-E,2020 Co. Ltd.,,,,,,,
09YFV1-E,2020 Patrimoine Finance SA,,,,,,,
0G2XT1-E,2020 Ventures LLC,,,,,,,
0KXL3K-E,2048 Ventures LLC,,,,,,,
0JRKWR-E,205 Capital Managment LLC,,,,,,,
0GRRXR-E,20SCOOPS CNX,,,,,,,
0J7T7V-E,21 Aberdeen Standard Investments Ltd.,,,,,,,
05SKSN-E,21 Centrale Partners SAS,,,,,,,
061FKW-E,21 Investimenti SGR SpA,,,,,,,
068XTW-E,2100 Capital Group,,,,,,,
0CHMKH-E,2100 Xenon Group LLC,,,,,,,
0BLXCZ-E,212 Ltd.,,,,,,,
0GJW2G-E,212 Management Group LLC,,,,,,,
0CKD4J-E,21212 Servicos e Participacoes SA,,,,,,,
07LYSB-E,21st Century Asset Management Co. Ltd.,,,,,,,
0DZ0LD-E,21st Century Assurance Co. (Investment Portfolio),,,,,,,
0671MB-E,21st Century Equity Research,,,,,,,
05L6S9-E,21st Century Group LLC,,,,,,,
077WSR-E,21vc Partners,,,,,,,
06ZDV2-E,21Ventures LLC,,,,,,,
0J75NK-E,22C Capital LLC,,,,,,,
0G6JVQ-E,22NW LP,,Value,,,,,
0DNKXB-E,24/6 Capital Partners,,,,,,,
0DNN5M-E,24Haymarket Ltd.,,,,,,,
0CR17G-E,25 Capital Partners LLC,,,,,,,
0KT70F-E,2500 Bachman Ventures LLC,,,,,,,
0HMMYJ-E,26 Ventures LLC,,,,,,,
07M62J-E,27Four Investment Managers (Pty) Ltd.,,GARP,,,,,
0KV88J-E,27four Investment Managers Pty Ltd/Private Equity/,,,,,,,
0BQ01Y-E,2B Angels Ltd.,,,,,,,
0BTZC4-E,2b Asset Management AG,,,,,,,
0848NL-E,2bCapital SA,,,,,,,
0KNL2B-E,2be.lu Investments,,,,,,,
0FBV52-E,2bpartner SCR SA,,,,,,,
0C7WB8-E,2C Invest SA,,,,,,,
05LLLG-E,2CG Ltd.,,,,,,,
0DLF8J-E,2CG Senhouse Investments Ltd.,,GARP,,,,,
07R6XR-E,2Deal Ventures BV,,,,,,,
05YHGX-E,2G Capital Pte Ltd.,,,,,,,
0FSWBJ-E,"2GR Equity, LLC",,,,,,,
06Y7B5-E,2i Capital (India) Pvt Ltd.,,,,,,,
07G6J5-E,2i2c Asset Management SAS,,,,,,,
0FNFHM-E,2jp Finances SARL,,,,,,,
060W7K-E,"2M Cos, Inc.",,,,,,,
05JDL1-E,2M Invest A/S,,,,,,,
07M57H-E,2MG Asset Management Pty Ltd.,,,,,,,
0DY96Q-E,2nd Generation Capital,,,,,,,
00D16Q-E,2nd Market Capital Advisory Corp.,,Aggressive Growth,,,,,
0FMH8D-E,2PM Luxembourg SA,,,Growth,,,,
0D2XGS-E,2PM Monaco SAM,,GARP,,,,,
09XR76-E,2SV Capital LLC,,,,,,,
060J74-E,2trade Group Ltd.,,GARP,,,,,
070TFL-E,2X Management LLC,,,,,,,
0DPQ3D-E,2Xideas AG,,,,,,,
05HD3M-E,3 Banken-Generali Investment-Gesellschaft mbH,,GARP,,,,,
05JXJ9-E,3 D NV,,,,,,,
079P77-E,3 Degrees Asset Management Pte Ltd. (Private Equity),,,,,,,
09RJQS-E,3 Laws Capital South Africa (Pty) Ltd.,,,Yield,,,,
071P8W-E,3 Notch Capital Management LLC,,,,,,,
0HWZG2-E,3:10 Capital Advisors LLC,,,,,,,
0HG20R-E,30-30 Capital LLC,,,,,,,
000TTB-E,300 North Capital LLC,,Growth,,,,,
0G0FPM-E,"301, Inc.",,,,,,,
0JMK9Z-E,30Ventures Management LLC,,,,,,,
0GV7X9-E,316 Capital Management LLC,,,,,,,
07LRXH-E,32 Degrees Capital Advisor Ltd.,,,,,,,
0JR3TF-E,32 Equity,,,,,,,
0KMG76-E,32 Ventures,,,,,,,
0HLJ8Y-E,33 Capital Investments Pte Ltd.,,,,,,,
0H14W9-E,3311 Ventures LLC,,,,,,,
072D1P-E,350 Investment Partners LLP (Venture Capital),,,,,,,
0DP9VQ-E,35711 Investments AG LLC,,,,,,,
0GTH2R-E,35North Ventures LLP,,,,,,,
09HK56-E,36 South Capital Advisors LLP,,,,,,,
