factset_entity_id,name,ManagerStyle,InstitutionFixedStyle,Discrepancy Column,Discrepancy Source
0C07FV-E,Kingdom Holding Co. (Investment Management),,,N/A,N/A
0C0B4B-E,PROfounders Capital Partners LLP,,,N/A,N/A
0C0TRJ-E,"National - Bank, AG (Private Banking)",,Yield,N/A,N/A
0DH227-E,Damille Investments Ltd. (Investment Management),,GARP,N/A,N/A
0FKHW7-E,"Bank of Beijing Scotiabank Asset Management Co., Ltd.",,GARP,N/A,N/A
0FKJHH-E,Priority Health (Investment Portfolio),,,N/A,N/A
0FKKT3-E,Old Mutual Alternative Investments (Pty) Ltd.,,,N/A,N/A
0FKM9X-E,Mother Ventures,,,N/A,N/A
0FKWV0-E,NKC African Economics,,,N/A,N/A
0HC6Z7-E,Tripost Capital Partners LLC,,,N/A,N/A
0J9GLR-E,Gca Altium Ltd. /CA/,,,N/A,N/A
0K8DBJ-E,Investment Trust of India,,,N/A,N/A
0K8RS6-E,Blueprint Equity Management LLC,,,N/A,N/A
0K928M-E,Transit Capital Support Services LLC,,,N/A,N/A
0K96S6-E,Flamelily Venture Capital Group,,,N/A,N/A
06N2M6-E,Unifortune Asset Management SGR SpA,,Growth,N/A,N/A
06N31F-E,DLB Capital LLC,,,N/A,N/A
06N3SW-E,Orion Securities ASA (Broker),,,N/A,N/A
06N66Z-E,Standard Investment Bank Ltd.,,,N/A,N/A
065KP9-E,Mitsui & Co. Europe Plc (Private Equity),,,N/A,N/A
065W16-E,"Council Tree Investors, Inc.",,,N/A,N/A
066337-E,Kepler Cheuvreux SA,,,N/A,N/A
066954-E,PICIC Asset Management Co. Ltd.,,GARP,N/A,N/A
066DXY-E,"UTC & Co Co., Ltd.",,,N/A,N/A
066WJY-E,BlueStream Ventures,,,N/A,N/A
066ZHY-E,Fortress Capital Investors LLC,,,N/A,N/A
0670SH-E,CN Investment Division,,GARP,N/A,N/A
0671LY-E,Stripes Group Alternative Asset Management,,,N/A,N/A
067BHQ-E,Invision AG /CH/,,,N/A,N/A
067BMJ-E,AXA Isle of Man Ltd.,,,N/A,N/A
067BN5-E,Tilney Investment Management Services Ltd.,,GARP,N/A,N/A
067BNF-E,Blue Sky Group BV,,GARP,N/A,N/A
067FNH-E,Dahlman Rose & Co. LLC,,,N/A,N/A
067G8S-E,Citigroup Asset Management (Hong Kong),,,N/A,N/A
067HDJ-E,Aster Capital Partners SAS,,,N/A,N/A
09K1XF-E,Bohmer & Schilcher Vermogensverwaltung GmbH,,Yield,N/A,N/A
09KF48-E,MF Global (Suisse) SA,,,N/A,N/A
09KLWS-E,NLM Capital Partners,,,N/A,N/A
09KTZ0-E,"Mitsubishi UFJ Securities Holdings Co., Ltd. (China)",,,N/A,N/A
09L9VN-E,Grape Arbor LLC,,,N/A,N/A
0BTHT8-E,Startobaza LLC,,,N/A,N/A
0BTQ0M-E,Wingate Group (Private Equity),,,N/A,N/A
0BTVTY-E,"Changjiang Securities Co., Ltd. (Investment Management)",,GARP,N/A,N/A
0BTX38-E,Riverside Asia Partners Pty Ltd.,,,N/A,N/A
0BV8X6-E,Webb Investment Network LLC,,,N/A,N/A
0BVBG2-E,Knights Group International (Private Equity),,,N/A,N/A
0D7PCX-E,Progressive Equity Research Ltd.,,,N/A,N/A
0D7TTY-E,Point Place Capital,,,N/A,N/A
0D86XV-E,Highline Research Advisors LLC,,,N/A,N/A
0D8CDK-E,Springwater Capital LLC (Private Equity),,,N/A,N/A
0D8NR4-E,Limetree Capital Partners Ltd.,,,N/A,N/A
0F914C-E,GrizzlyRock Capital LLC,,Growth,N/A,N/A
0F9J51-E,New Street Research Singapore Pte Ltd.,,,N/A,N/A
0F9KZT-E,Brummer & Partners Asset Management (Bangladesh) Ltd.,,,N/A,N/A
0F9P50-E,Prime Capital AG,,,N/A,N/A
0F9PB8-E,Mathieson Capital LLP,,,N/A,N/A
0GDNV7-E,Lakson Investments Ltd.,,,N/A,N/A
0GDPVR-E,"North Sound Management, Inc.",,,N/A,N/A
0GFMDQ-E,Bertelsmann Brasil Participacoes Ltda.,,,N/A,N/A
0HH7ZM-E,Notger Invest SA,,,N/A,N/A
0HHG23-E,Partners Investment Co. LLP,,,N/A,N/A
0HHJNW-E,Inara Ventures,,,N/A,N/A
0HHL5G-E,Avianta Capital SA de CV,,,N/A,N/A
0JG62P-E,Lighthouse Research FZE,,,N/A,N/A
0JGCJ7-E,Salvo Investment Managers Pty Ltd.,,,N/A,N/A
0KBCNF-E,Polaris Private Equity Co. Ltd.,,,N/A,N/A
0KBJ1L-E,S&P Vermogensbetreuung GmbH,,,N/A,N/A
007WR9-E,Skopos Investimentos Ltda.,,GARP,N/A,N/A
