factset_fund_id,style,turnover_label,Discrepancy Column,Discrepancy Source
04B8SV-E,,Low,,
04B8SY-E,Deep Value,Low,,
04B8SZ-E,Index,Very Low,,
04B8T0-E,,High,,
04B8T2-E,,Medium,,
04B8T5-E,,Low,,
04B8T6-E,,Very Low,,
04B8T7-E,,Medium,,
04B8T8-E,,Medium,,
04B8TD-E,Index,Very Low,,
04B8TG-E,,,,
04B8TJ-E,,,,
04B8TL-E,,Low,,
04B8TN-E,Growth,Very Low,,
04B8TQ-E,,Medium,,
04B8TR-E,,,,
04B8TS-E,,Low,,
04B8TY-E,,Medium,,
04B8TZ-E,Yield,Very Low,,
04B8V0-E,Growth,Very Low,,
04B8V1-E,Growth,Very Low,,
04B8V4-E,Yield,Low,,
04B8V5-E,Growth,Very Low,,
04B8V8-E,,High,,
04B8V9-E,,Medium,,
04B8VC-E,Value,Low,,
04B8VD-E,,Low,,
04B8VF-E,Value,Very Low,,
04B8VJ-E,Yield,Low,,
04B8VK-E,Yield,Very Low,,
04B8VN-E,,High,,
04B8VQ-E,,Low,,
04B8VT-E,,,,
04B8VV-E,,Low,,
04B8VY-E,Growth,Medium,,
04B8W3-E,GARP,Low,,
04B8WC-E,,Medium,,
04B8WD-E,,Very Low,,
04B8WJ-E,,Medium,,
04B8WK-E,Growth,Very Low,,
04B8WM-E,,Low,,
04B8WP-E,,,,
04B8WT-E,,Low,,
04B8WW-E,Growth,Very Low,,
04B8WZ-E,,High,,
04B8X2-E,Growth,Very Low,,
04B8X3-E,,High,,
04B8XD-E,,Medium,,
04B8XN-E,Growth,High,,
04B8XX-E,Growth,High,,
04B8XY-E,Aggressive Growth,Very Low,,
04B8XZ-E,,Medium,,
04B8Y1-E,,Medium,,
04B8Y7-E,,Low,,
04B8YB-E,,Very Low,,
04B8YD-E,,High,,
04B8YF-E,Growth,Very Low,,
04B8YG-E,Value,Very Low,,
04B8YK-E,,Very Low,,
04B8YQ-E,,Very Low,,
04B8YR-E,,Medium,,
04B8YV-E,,High,,
04B8YY-E,Growth,Low,,
04B8Z3-E,Growth,Very Low,,
04B8Z4-E,Growth,Medium,,
04B8Z5-E,Growth,Very Low,,
04B8Z9-E,,Very Low,,
04B8ZB-E,Growth,Low,,
04B8ZD-E,,Low,,
04B8ZH-E,Aggressive Growth,Low,,
04B8ZJ-E,,Medium,,
04B8ZL-E,,Very High,,
04B8ZM-E,,,,
04B8ZR-E,,Very Low,,
04B8ZS-E,Aggressive Growth,Very Low,,
04B8ZZ-E,,Very Low,,
04B902-E,,Very High,,
04B903-E,Growth,Very Low,,
04B90W-E,,High,,
04B90Z-E,,Medium,,
04B910-E,,Low,,
04B912-E,,Low,,
04B916-E,Growth,Very Low,,
04B919-E,Value,Very Low,,
04B91C-E,Yield,Low,,
04B91D-E,Yield,Medium,,
04B91F-E,,Medium,,
04B91W-E,,Low,,
04B91Y-E,Growth,Low,,
04B920-E,,Medium,,
04B927-E,Growth,Low,,
04B929-E,Growth,Very Low,,
04B92C-E,Deep Value,Low,,
04B92H-E,,Medium,,
04B92J-E,Value,Very Low,,
04B92K-E,,High,,
04B92L-E,Value,Very Low,,
04B92Q-E,,Very Low,,
04B92R-E,,Medium,,
04B92V-E,,Medium,,
04B92W-E,,High,,
04B92Y-E,Yield,Very Low,,
04B931-E,,High,,
04B932-E,,Medium,,
04B934-E,Growth,Very Low,,
04B935-E,,Very Low,,
04B936-E,,Low,,
04B938-E,Yield,Very Low,,
04B939-E,,Low,,
04B93B-E,Value,Very Low,,
04B93D-E,,High,,
04B93F-E,,Low,,
04B93H-E,Deep Value,Very Low,,
04B93K-E,Growth,Very Low,,
04B93N-E,,Very Low,,
04B93Z-E,,Very Low,,
04B940-E,,Very Low,,
04B943-E,Yield,Very Low,,
04B944-E,,Very Low,,
04B945-E,Value,Very Low,,
04B946-E,Value,Very Low,,
04B948-E,,Low,,
04B949-E,Growth,Very Low,,
04B94F-E,,Very High,,
04B94G-E,,Very Low,,
04B94H-E,Growth,Very Low,,
04B94J-E,,Medium,,
04B94P-E,,,,
04B94S-E,Growth,Very Low,,
04B94T-E,Value,Very Low,,
04B94X-E,,Very Low,,
04B94Y-E,,Medium,,
04B954-E,,Very High,,
04B956-E,,,,
04B958-E,Value,Low,,
04B95C-E,Value,Medium,,
04B95H-E,GARP,Very Low,,
04B95K-E,Value,Low,,
04B95N-E,,Low,,
04B95R-E,,High,,
04B95S-E,Yield,Very Low,,
04B95V-E,Value,Low,,
04B95X-E,,Very Low,,
04B95Z-E,,High,,
04B962-E,Yield,Very Low,,
04B967-E,,Medium,,
04B969-E,Yield,Low,,
04B96B-E,,Medium,,
04B96C-E,,Very High,,
04B96D-E,,,,
04B96F-E,,Medium,,
04B96K-E,Yield,Very Low,,
04B96M-E,,Low,,
04B96Q-E,Growth,Very Low,,
04B96Y-E,,High,,
04B970-E,,Medium,,
04B977-E,Growth,Very Low,,
04B97B-E,,Medium,,
04B97M-E,Index,Very Low,,
04B97P-E,,Medium,,
04B97S-E,Growth,Very Low,,
04B97V-E,,Low,,
04B97W-E,Growth,Low,,
04B97Y-E,,Medium,,
04B97Z-E,,Very Low,,
04B98M-E,,Very High,,
04B98N-E,Aggressive Growth,Very Low,,
04B98P-E,Growth,Low,,
04B98Q-E,Value,Low,,
04B98T-E,,Very High,,
04B98V-E,,High,,
04B98Y-E,Value,Low,,
04B990-E,,,,
04B992-E,,Medium,,
04B993-E,,High,,
04B996-E,,Medium,,
04B997-E,,High,,
04B999-E,Growth,Low,,
04B99G-E,,Medium,,
04B99J-E,,Very Low,,
04B99K-E,Growth,Very Low,,
04B99M-E,,Low,,
04B99R-E,,Low,,
04B99T-E,,Medium,,
04B99X-E,,Very Low,,
04B99Z-E,,Medium,,
04B9B4-E,,Medium,,
04B9B7-E,,High,,
04B9BJ-E,,Low,,
04B9BK-E,,Low,,
04B9BN-E,,Very Low,,
04B9BR-E,,Low,,
04B9BS-E,Growth,Medium,,
04B9BT-E,Growth,Very Low,,
04B9BX-E,,Low,,
04B9C0-E,,Medium,,
04B9C4-E,,Medium,,
04B9C7-E,,Low,,
04B9C9-E,,Low,,
04B9CB-E,,Very Low,,
04B9CC-E,,Low,,
04B9CD-E,,Low,,
04B9CH-E,,Very Low,,
04B9CK-E,,Medium,,
04B9CL-E,,Very Low,,
04B9CM-E,,Low,,
04B9CP-E,Growth,Very Low,,
04B9CR-E,Value,Very Low,,
04B9CT-E,Aggressive Growth,Medium,,
04B9CV-E,,Medium,,
04B9D3-E,,High,,
04B9D7-E,,High,,
04B9DC-E,Index,Very Low,,
04B9DF-E,,Medium,,
04B9DJ-E,,Medium,,
04B9DL-E,,Very High,,
04B9DP-E,,High,,
04B9DR-E,,Medium,,
04B9DV-E,,High,,
04B9DX-E,,High,,
04B9FC-E,,High,,
04B9FD-E,Growth,Very Low,,
04B9FM-E,Growth,Very Low,,
04B9G1-E,,Very Low,,
04B9G4-E,Growth,Very Low,,
04B9G9-E,,Very Low,,
04B9GB-E,,Very Low,,
04B9GC-E,,Very High,,
04B9GH-E,Growth,Low,,
04B9GM-E,Growth,Very Low,,
04B9GN-E,,Medium,,
04B9GQ-E,Growth,Very Low,,
04B9GR-E,,Low,,
04B9GV-E,GARP,Very Low,,
04B9GW-E,,Low,,
04B9H8-E,,Medium,,
04B9H9-E,,High,,
04B9HB-E,Growth,Medium,,
04B9HC-E,,Medium,,
04B9HF-E,,High,,
04B9HG-E,,Very Low,,
04B9HJ-E,Growth,Very Low,,
04B9HL-E,Growth,Very Low,,
04B9HM-E,Index,Low,,
04B9HN-E,Deep Value,Very Low,,
04B9HQ-E,Growth,Very Low,,
04B9HR-E,Growth,,,
04B9HV-E,,High,,
04B9HX-E,,Medium,,
04B9HZ-E,Value,Very Low,,
04B9J0-E,,Medium,,
04B9J4-E,Growth,Low,,
04B9J7-E,GARP,Low,,
04B9J8-E,Growth,Very Low,,
04B9J9-E,,Very Low,,
04B9JB-E,Value,Low,,
04B9JC-E,,Very Low,,
04B9JD-E,,Very Low,,
04B9JF-E,,Medium,,
04B9JG-E,,Very Low,,
04B9JH-E,,Low,,
04B9JJ-E,,High,,
04B9JL-E,Growth,Low,,
04B9JM-E,,Very Low,,
04B9JS-E,Growth,Very Low,,
04B9JX-E,Growth,Very Low,,
04B9JY-E,,Very Low,,
04B9JZ-E,Growth,Very Low,,
04B9K6-E,Growth,Very Low,,
04B9KB-E,,Very Low,,
04B9KC-E,Value,Very Low,,
04B9KG-E,Growth,Very Low,,
04B9KH-E,Growth,Very Low,,
04B9KM-E,Growth,Medium,,
04B9KN-E,GARP,Very Low,,
04B9KQ-E,Growth,Low,,
04B9KR-E,GARP,Low,,
04B9KS-E,Growth,Very Low,,
04B9KT-E,Growth,Very Low,,
04B9KV-E,Growth,Very Low,,
04B9KW-E,Value,Very Low,,
04B9KX-E,Yield,Very Low,,
04B9L0-E,Deep Value,Low,,
04B9L1-E,Growth,Very Low,,
04B9L3-E,,Medium,,
04B9L4-E,Growth,Very Low,,
04B9L6-E,,Very Low,,
04B9L7-E,Growth,Very Low,,
04B9LB-E,Growth,Very Low,,
04B9LC-E,Value,Very Low,,
04B9LD-E,GARP,Very Low,,
04B9LF-E,,Very Low,,
04B9LJ-E,,Very Low,,
04B9LK-E,,Very Low,,
04B9LL-E,,High,,
04B9LM-E,Yield,Low,,
04B9LN-E,,Medium,,
04B9LP-E,,Medium,,
04B9LQ-E,,High,,
04B9LS-E,,Very Low,,
04B9LT-E,Value,Very High,,
04B9LV-E,Yield,Very Low,,
04B9LZ-E,Deep Value,Low,,
04B9M1-E,,Low,,
04B9M2-E,Yield,Medium,,
04B9M9-E,Growth,Low,,
04B9MG-E,,Very Low,,
04B9MK-E,,Low,,
04B9MR-E,,Medium,,
04B9MS-E,,Low,,
04B9MT-E,,,,
04B9MV-E,Growth,Medium,,
04B9MW-E,,Medium,,
04B9MZ-E,Yield,Very Low,,
04B9N1-E,Growth,High,,
04B9N7-E,Aggressive Growth,Low,,
04B9N8-E,Growth,Very Low,,
04B9N9-E,,Medium,,
04B9NF-E,,Low,,
