factset_fund_id,style,turnover_label,Discrepancy Column,Discrepancy Source
04BV2R-E,,Medium,,
04BV2S-E,Index,Very Low,,
04BV2T-E,,Medium,,
04BV2V-E,,High,,
04BV2W-E,Yield,Low,,
04BV2X-E,,,,
04BV2Z-E,,High,,
04BV30-E,,High,,
04BV31-E,,Low,,
04BV32-E,,Low,,
04BV39-E,,High,,
04BV3B-E,,Low,,
04BV3C-E,,Medium,,
04BV3D-E,,Medium,,
04BV3F-E,,Medium,,
04BV3G-E,,Medium,,
04BV3H-E,,Very Low,,
04BV3L-E,,Low,,
04BV3M-E,,High,,
04BV3N-E,,Medium,,
04BV3P-E,,Medium,,
04BV3Q-E,,Medium,,
04BV3R-E,,High,,
04BV3S-E,,Medium,,
04BV3T-E,,Medium,,
04BV3V-E,,Medium,,
04BV3W-E,,High,,
04BV3X-E,,Low,,
04BV3Y-E,,High,,
04BV3Z-E,,Medium,,
04BV40-E,,Medium,,
04BV41-E,,Low,,
04BV42-E,,Medium,,
04BV43-E,,Medium,,
04BV44-E,,Medium,,
04BV47-E,,Low,,
04BV4C-E,Value,Very Low,,
04BV4D-E,Growth,Low,,
04BV4F-E,,Very Low,,
04BV4G-E,Growth,Medium,,
04BV4H-E,,Very Low,,
04BV4J-E,,Medium,,
04BV4K-E,Growth,Low,,
04BV4L-E,GARP,Very Low,,
04BV4M-E,Index,Medium,,
04BV4N-E,Index,Very Low,,
04BV4P-E,Index,Very Low,,
04BV4Q-E,Index,Low,,
04BV4R-E,,Low,,
04BV4W-E,,Medium,,
04BV4X-E,,Very Low,,
04BV4Y-E,,Medium,,
04BV4Z-E,,Low,,
04BV50-E,,Very Low,,
04BV51-E,Value,Very Low,,
04BV52-E,,Low,,
04BV54-E,Growth,Very Low,,
04BV55-E,,Very High,,
04BV56-E,,Very Low,,
04BV57-E,,Low,,
04BV58-E,,Low,,
04BV59-E,,,,
04BV5B-E,,Low,,
04BV5C-E,,Very Low,,
04BV5D-E,Value,Low,,
04BV5F-E,Growth,Low,,
04BV5G-E,Growth,Very Low,,
04BV5H-E,,Very Low,,
04BV5J-E,,Low,,
04BV5K-E,GARP,Low,,
04BV5L-E,,Very Low,,
04BV5M-E,,Medium,,
04BV5N-E,,,,
04BV5P-E,,Medium,,
04BV5Q-E,,Very Low,,
04BV5R-E,,Very Low,,
04BV5S-E,,Very Low,,
04BV5T-E,,Very Low,,
04BV5V-E,,Very Low,,
04BV5W-E,,Low,,
04BV5X-E,,Very Low,,
04BV5Y-E,,Very High,,
04BV5Z-E,,Very Low,,
04BV60-E,,Very Low,,
04BV61-E,,Medium,,
04BV62-E,,Very Low,,
04BV63-E,Growth,Very Low,,
04BV64-E,GARP,Very Low,,
04BV65-E,Growth,Very Low,,
04BV66-E,,Low,,
04BV67-E,,Medium,,
04BV68-E,GARP,Very Low,,
04BV69-E,Growth,Very Low,,
04BV6B-E,,Very Low,,
04BV6C-E,Growth,Very Low,,
04BV6F-E,,Low,,
04BV6G-E,,Very Low,,
04BV6H-E,Growth,Low,,
04BV6J-E,Growth,Very Low,,
04BV6K-E,Growth,Very Low,,
04BV6L-E,,Very Low,,
04BV6M-E,,Very High,,
04BV6N-E,,Very Low,,
04BV6P-E,Index,Very Low,,
04BV6Q-E,Index,Very Low,,
04BV6R-E,Index,Very Low,,
04BV6S-E,Index,Very Low,,
04BV6T-E,Index,Very Low,,
04BV6V-E,,Very Low,,
04BV6W-E,,Low,,
04BV6X-E,GARP,Very Low,,
04BV6Z-E,,Medium,,
04BV70-E,,Medium,,
04BV71-E,,Medium,,
04BV72-E,,Very Low,,
04BV73-E,,Very Low,,
04BV74-E,,Very Low,,
04BV75-E,,Very Low,,
04BV76-E,,Very Low,,
04BV77-E,,Very Low,,
04BV78-E,,Very Low,,
04BV79-E,,Low,,
04BV7B-E,Aggressive Growth,Very Low,,
04BV7C-E,GARP,Very Low,,
04BV7D-E,Growth,Low,,
04BV7F-E,Growth,Very Low,,
04BV7G-E,Aggressive Growth,Very Low,,
04BV7H-E,Growth,Low,,
04BV7J-E,,Very Low,,
04BV7K-E,Value,Very Low,,
04BV7L-E,,High,,
04BV7M-E,,Medium,,
04BV7N-E,,High,,
04BV7P-E,Growth,Very Low,,
04BV7Q-E,Yield,Very Low,,
04BV7R-E,,Medium,,
04BV7S-E,Growth,Very Low,,
04BV7T-E,,Low,,
04BV7W-E,Growth,Medium,,
04BV7X-E,Growth,Very Low,,
04BV7Y-E,Growth,Low,,
04BV7Z-E,Yield,Very Low,,
04BV80-E,Growth,Very Low,,
04BV81-E,Growth,Very Low,,
04BV82-E,Index,Very Low,,
04BV83-E,Value,Very Low,,
04BV84-E,Value,Very Low,,
04BV85-E,Growth,Very Low,,
04BV86-E,,Medium,,
04BV87-E,Index,Very Low,,
04BV8B-E,,Low,,
04BV8C-E,Growth,Very Low,,
04BV8D-E,Growth,Very Low,,
04BV8F-E,Growth,Very Low,,
04BV8G-E,Value,Very Low,,
04BV8H-E,,Low,,
04BV8J-E,Index,Very Low,,
04BV8K-E,,Very Low,,
04BV8L-E,,Medium,,
04BV8M-E,,Low,,
04BV8N-E,,Low,,
04BV8P-E,,Low,,
04BV8Q-E,,High,,
04BV8R-E,,Low,,
04BV8S-E,Growth,Low,,
04BV8T-E,Growth,Very Low,,
04BV8V-E,Growth,Very Low,,
04BV8W-E,Growth,Very Low,,
04BV8X-E,,Low,,
04BV8Y-E,,Low,,
04BV8Z-E,Aggressive Growth,Very Low,,
04BV90-E,Aggressive Growth,Very Low,,
04BV91-E,Growth,Very Low,,
04BV92-E,,Low,,
04BV93-E,Growth,Very Low,,
04BV94-E,GARP,Very Low,,
04BV95-E,Aggressive Growth,Very Low,,
04BV96-E,,High,,
04BV97-E,Aggressive Growth,Very Low,,
04BV98-E,Growth,Very Low,,
04BV99-E,,Very Low,,
04BV9B-E,Growth,Very Low,,
04BV9C-E,,Medium,,
04BV9D-E,,Very High,,
04BV9F-E,Growth,Very Low,,
04BV9G-E,Growth,Medium,,
04BV9H-E,Growth,Very Low,,
04BV9J-E,,Low,,
04BV9K-E,,Very High,,
04BV9L-E,Growth,Very Low,,
04BV9M-E,,High,,
04BV9N-E,Growth,Very Low,,
04BV9P-E,,High,,
04BV9Q-E,,High,,
04BV9R-E,,Low,,
04BV9S-E,,High,,
04BV9T-E,,Medium,,
04BV9V-E,Aggressive Growth,Very Low,,
04BV9W-E,,Very High,,
04BV9X-E,Growth,Very Low,,
04BV9Y-E,,Medium,,
04BV9Z-E,Growth,Very Low,,
04BVB0-E,,High,,
04BVB1-E,,Medium,,
04BVB2-E,Growth,Very Low,,
04BVB3-E,,Very High,,
04BVB4-E,Growth,Very Low,,
04BVB5-E,Aggressive Growth,Very Low,,
04BVB6-E,Growth,Very Low,,
04BVB7-E,,Very High,,
04BVB8-E,,Very High,,
04BVBB-E,,Medium,,
04BVBC-E,,Low,,
04BVBF-E,,Very Low,,
04BVBG-E,,Medium,,
04BVBH-E,,Low,,
04BVBJ-E,,Low,,
04BVBK-E,Index,Very Low,,
04BVBL-E,,Medium,,
04BVBM-E,,Medium,,
04BVBN-E,,Medium,,
04BVBP-E,,,,
04BVBQ-E,,Medium,,
04BVBR-E,,Low,,
04BVBS-E,,Low,,
04BVBV-E,,Low,,
04BVBW-E,Value,Very Low,,
04BVBX-E,,Very Low,,
04BVBY-E,Value,High,,
04BVBZ-E,,Very Low,,
04BVC0-E,,High,,
04BVC1-E,Growth,High,,
04BVC2-E,,,,
04BVC3-E,,High,,
04BVC4-E,,Very High,,
04BVC5-E,Growth,Very Low,,
04BVC7-E,,Medium,,
04BVC8-E,,High,,
04BVC9-E,,Low,,
04BVCB-E,,Very Low,,
04BVCD-E,,Medium,,
04BVCF-E,,Medium,,
04BVCG-E,,Medium,,
04BVCH-E,,Very Low,,
04BVCJ-E,,Medium,,
04BVCK-E,,Very Low,,
04BVCL-E,,Low,,
04BVCM-E,,Medium,,
04BVCN-E,Yield,Very Low,,
04BVCQ-E,Value,Very Low,,
04BVCT-E,,High,,
04BVCV-E,Aggressive Growth,Very Low,,
04BVCW-E,GARP,Very Low,,
04BVCX-E,Value,Very Low,,
04BVCY-E,Growth,Low,,
04BVCZ-E,Growth,Very Low,,
04BVD0-E,Aggressive Growth,Very Low,,
04BVD1-E,Growth,Very Low,,
04BVD2-E,GARP,Very Low,,
04BVD3-E,Growth,Very Low,,
04BVD4-E,Value,Very Low,,
04BVD5-E,Yield,Very Low,,
04BVD6-E,Growth,Medium,,
04BVD7-E,Growth,Very Low,,
04BVD8-E,Index,Very Low,,
04BVD9-E,,Low,,
04BVDB-E,Growth,Very Low,,
04BVDC-E,Yield,Very Low,,
04BVDD-E,Value,Very Low,,
04BVDF-E,Growth,Very Low,,
04BVDG-E,Yield,Low,,
04BVDH-E,Growth,Very Low,,
04BVDJ-E,Value,Medium,,
04BVDK-E,Yield,Very Low,,
04BVDL-E,Value,Medium,,
04BVDM-E,,Very Low,,
04BVDN-E,,High,,
04BVDP-E,,High,,
04BVDQ-E,,Very Low,,
04BVDR-E,,Medium,,
04BVDT-E,,High,,
04BVDV-E,,Low,,
04BVDX-E,,Very Low,,
04BVDY-E,,High,,
04BVDZ-E,,Low,,
04BVF0-E,,Low,,
04BVF1-E,Growth,Very Low,,
04BVF2-E,,Low,,
04BVF3-E,,Medium,,
04BVF4-E,,Low,,
04BVF5-E,,Very Low,,
04BVF6-E,,,,
04BVF7-E,,Very Low,,
04BVF8-E,,Very Low,,
04BVF9-E,,Medium,,
04BVFB-E,,,,
04BVFC-E,,Medium,,
04BVFD-E,,Low,,
04BVFF-E,,Medium,,
04BVFG-E,,Very Low,,
04BVFH-E,,Medium,,
04BVFJ-E,,Low,,
04BVFK-E,,Medium,,
04BVFM-E,,Medium,,
04BVFR-E,,Medium,,
04BVFT-E,,Medium,,
04BVFV-E,,Medium,,
04BVFW-E,,,,
04BVFX-E,Yield,Very Low,,
04BVFY-E,,,,
04BVFZ-E,,Low,,
04BVG0-E,,Low,,
04BVG1-E,Yield,Very Low,,
04BVG2-E,,,,
04BVG4-E,,Very Low,,
04BVG5-E,,High,,
04BVG6-E,,Low,,
04BVG7-E,,,,
04BVG8-E,,,,
04BVG9-E,,Very Low,,
04BVGC-E,,Very Low,,
04BVGD-E,,Medium,,
04BVGF-E,,Low,,
04BVGG-E,,Low,,
04BVGH-E,,Medium,,
04BVGJ-E,,Low,,
04BVGK-E,,Very Low,,
04BVGL-E,,Low,,
04BVGM-E,,Medium,,
04BVGN-E,,Medium,,
04BVGP-E,Yield,Medium,,
04BVGQ-E,,Medium,,
04BVGR-E,,Very Low,,
04BVGS-E,,Very High,,
04BVGT-E,,Medium,,
04BVGV-E,,,,
04BVGX-E,,Medium,,
04BVGY-E,,Very Low,,
04BVGZ-E,,Low,,
04BVH0-E,,Low,,
04BVH1-E,,Very Low,,
04BVH2-E,,Medium,,
04BVH3-E,,Very Low,,
04BVH4-E,,Very Low,,
04BVH5-E,,Very Low,,
04BVH6-E,,Medium,,
04BVH7-E,GARP,Very High,,
04BVH8-E,Yield,High,,
04BVH9-E,Value,Low,,
04BVHB-E,,High,,
04BVHC-E,Value,Medium,,
04BVHD-E,,Very Low,,
04BVHF-E,,Very Low,,
04BVHG-E,,Low,,
04BVHH-E,,High,,
04BVHJ-E,,Medium,,
04BVHK-E,,Low,,
04BVHL-E,,,,
04BVHM-E,,Very High,,
04BVHN-E,Growth,Medium,,
04BVHP-E,Index,Very Low,,
04BVHQ-E,Growth,Medium,,
04BVHR-E,Growth,Medium,,
04BVHS-E,,Medium,,
04BVHT-E,,High,,
04BVHV-E,Growth,Low,,
04BVHW-E,Growth,Low,,
04BVHX-E,,Medium,,
04BVHY-E,,Low,,
04BVHZ-E,,Medium,,
04BVJ0-E,Aggressive Growth,Low,,
04BVJ1-E,Yield,Low,,
04BVJ2-E,Growth,Very Low,,
04BVJ3-E,Growth,Low,,
04BVJ4-E,,Medium,,
04BVJ5-E,Growth,Low,,
04BVJ6-E,,Low,,
04BVJ7-E,Growth,Medium,,
04BVJ8-E,,Low,,
04BVJ9-E,,Low,,
04BVJB-E,,Low,,
04BVJC-E,Growth,Medium,,
04BVJD-E,,Medium,,
04BVJF-E,,Medium,,
04BVJG-E,,Low,,
04BVJJ-E,,Low,,
04BVJK-E,,Low,,
04BVJL-E,,High,,
04BVJM-E,,Medium,,
04BVJN-E,,Medium,,
04BVJQ-E,,High,,
04BVJR-E,,High,,
04BVJS-E,,Very Low,,
04BVJT-E,,Very Low,,
04BVJV-E,,Low,,
04BVJW-E,,Very Low,,
04BVJY-E,,Very Low,,
04BVJZ-E,,Low,,
04BVK0-E,,Medium,,
04BVK1-E,,Low,,
04BVK2-E,,Medium,,
04BVK4-E,Growth,Very Low,,
04BVK5-E,GARP,Very Low,,
04BVK6-E,Growth,Low,,
04BVK7-E,Growth,Low,,
04BVK8-E,Growth,Low,,
04BVK9-E,,Low,,
04BVKB-E,,Low,,
04BVKC-E,,Low,,
04BVKJ-E,,,,
04BVKK-E,,,,
04BVKQ-E,,Low,,
04BVKR-E,,Low,,
04BVKS-E,,Medium,,
04BVKT-E,,Low,,
04BVKV-E,,Low,,
04BVKW-E,,Low,,
04BVKX-E,Value,Very Low,,
04BVKY-E,,Very Low,,
04BVKZ-E,Value,Low,,
04BVL0-E,,Low,,
04BVL2-E,,,,
04BVL4-E,Growth,Very Low,,
04BVL5-E,,High,,
04BVL6-E,,High,,
04BVL8-E,,High,,
04BVL9-E,,Very Low,,
04BVLB-E,Growth,High,,
04BVLC-E,,Low,,
04BVLD-E,Value,Low,,
04BVLF-E,Value,Low,,
04BVLH-E,,Low,,
04BVLJ-E,Index,Very Low,,
04BVLK-E,,Medium,,
04BVLL-E,,Low,,
04BVLM-E,,Medium,,
04BVLN-E,,Low,,
04BVLP-E,,High,,
04BVLQ-E,Growth,Medium,,
04BVLR-E,Value,Low,,
04BVLS-E,Value,Medium,,
04BVLT-E,,Low,,
04BVLV-E,Index,Very Low,,
04BVLW-E,Aggressive Growth,Medium,,
04BVLX-E,Yield,Low,,
04BVLY-E,,Medium,,
04BVLZ-E,Growth,Medium,,
04BVM0-E,,Medium,,
04BVM1-E,,High,,
04BVM2-E,,Medium,,
04BVM3-E,Growth,Very Low,,
04BVM4-E,Growth,Very Low,,
04BVM5-E,Growth,Very Low,,
04BVM6-E,,Low,,
04BVM8-E,Value,Low,,
04BVM9-E,,High,,
04BVMC-E,,Medium,,
04BVMG-E,,Low,,
04BVMH-E,,Very Low,,
04BVMJ-E,,Low,,
04BVMK-E,,Low,,
04BVML-E,,Very Low,,
04BVMM-E,,Very Low,,
04BVMS-E,,,,
04BVMT-E,,,,
04BVMV-E,,,,
04BVMX-E,,High,,
04BVMY-E,,Very Low,,
04BVMZ-E,,High,,
04BVN8-E,,Medium,,
04BVN9-E,Aggressive Growth,Medium,,
04BVNB-E,,,,
04BVNC-E,,Medium,,
04BVND-E,,Medium,,
04BVNF-E,,Medium,,
04BVNG-E,Value,Low,,
04BVNH-E,Growth,Medium,,
04BVNJ-E,Yield,Medium,,
04BVNK-E,,Very Low,,
04BVNL-E,Index,Very Low,,
04BVNM-E,Index,Very Low,,
04BVNN-E,Index,Very Low,,
04BVNP-E,,Medium,,
04BVNQ-E,GARP,Very Low,,
04BVNR-E,,Very Low,,
04BVNS-E,,,,
04BVNT-E,Index,Very Low,,
04BVNV-E,,Very Low,,
04BVNZ-E,,Very Low,,
04BVP0-E,,Medium,,
04BVP1-E,,Medium,,
04BVP2-E,,Medium,,
04BVP3-E,,High,,
04BVP4-E,,,,
04BVP5-E,,,,
04BVP6-E,,High,,
04BVP7-E,Growth,Low,,
04BVP8-E,,Medium,,
04BVP9-E,,Low,,
04BVPB-E,,High,,
04BVPC-E,,Medium,,
04BVPD-E,,Medium,,
04BVPF-E,,Medium,,
04BVPG-E,,Low,,
04BVPH-E,,Very Low,,
04BVPJ-E,GARP,Very Low,,
04BVPK-E,GARP,Very Low,,
04BVPL-E,GARP,Very Low,,
04BVPM-E,Growth,Very Low,,
04BVPN-E,,Medium,,
04BVPP-E,,Low,,
04BVPQ-E,,Low,,
04BVPR-E,,Low,,
04BVPS-E,,Medium,,
04BVPT-E,,High,,
04BVPV-E,,High,,
04BVPW-E,,Low,,
04BVPX-E,,Medium,,
04BVPY-E,,Low,,
04BVPZ-E,,High,,
04BVQ0-E,,Low,,
04BVQ1-E,,Medium,,
04BVQ3-E,,,,
04BVQ5-E,,Low,,
04BVQ6-E,,,,
04BVQ7-E,,Medium,,
04BVQ8-E,,Low,,
04BVQ9-E,,,,
04BVQD-E,,High,,
04BVQF-E,,,,
04BVQH-E,,,,
04BVQJ-E,,Medium,,
04BVQK-E,,High,,
04BVQL-E,,Low,,
04BVQM-E,Growth,Low,,
04BVQN-E,,Low,,
04BVQP-E,,Low,,
04BVQQ-E,,Very Low,,
04BVQR-E,,Low,,
04BVQS-E,,Very Low,,
04BVQT-E,,Medium,,
04BVQV-E,,Low,,
04BVQW-E,GARP,Low,,
04BVQX-E,Index,Very Low,,
04BVQY-E,,High,,
04BVQZ-E,,Medium,,
04BVR0-E,,Very Low,,
04BVR1-E,,Very High,,
04BVR2-E,,Medium,,
04BVR3-E,Growth,Low,,
04BVR4-E,,Medium,,
04BVR5-E,Deep Value,Very Low,,
04BVR6-E,,High,,
04BVR7-E,,Medium,,
04BVR8-E,,High,,
04BVR9-E,,Medium,,
04BVRB-E,Yield,Medium,,
04BVRC-E,,Very High,,
04BVRD-E,,Low,,
04BVRF-E,Growth,Very Low,,
04BVRG-E,,Medium,,
04BVRH-E,,High,,
04BVRJ-E,,Medium,,
04BVRK-E,,Medium,,
04BVRL-E,Index,Very Low,,
04BVRN-E,,Low,,
04BVRP-E,,Medium,,
04BVRQ-E,,Low,,
04BVRR-E,,Medium,,
04BVRS-E,,Medium,,
04BVRT-E,,Medium,,
04BVRV-E,,Medium,,
04BVRW-E,Value,Very Low,,
04BVRX-E,Growth,Very Low,,
04BVRY-E,Growth,Low,,
04BVRZ-E,Growth,Low,,
04BVS0-E,Growth,Medium,,
04BVS1-E,,Medium,,
04BVS2-E,,Very Low,,
04BVS3-E,Index,Very Low,,
04BVS4-E,Growth,Very High,,
04BVS5-E,Growth,Very Low,,
04BVS6-E,Growth,Very Low,,
04BVS7-E,,Low,,
04BVS8-E,GARP,Low,,
04BVS9-E,,Medium,,
04BVSB-E,,Very High,,
04BVSC-E,Growth,Very Low,,
04BVSD-E,,High,,
04BVSF-E,,Medium,,
04BVSG-E,,Very Low,,
04BVSH-E,,Very Low,,
04BVSJ-E,Index,Medium,,
04BVSK-E,Index,High,,
04BVSL-E,Index,Medium,,
04BVSM-E,,Very Low,,
04BVSN-E,,Low,,
04BVSP-E,,Very Low,,
04BVSQ-E,GARP,Low,,
04BVSR-E,Growth,Low,,
04BVSS-E,,Very Low,,
04BVST-E,Deep Value,Very Low,,
04BVSV-E,GARP,Medium,,
04BVSW-E,Growth,Low,,
04BVSX-E,Deep Value,Low,,
04BVSY-E,,Medium,,
04BVSZ-E,GARP,,,
04BVT0-E,Value,Very Low,,
04BVT1-E,,,,
04BVT2-E,,Very Low,,
04BVT3-E,,High,,
04BVT4-E,Value,Medium,,
04BVT6-E,,Medium,,
04BVT7-E,,Low,,
04BVT8-E,,Medium,,
04BVTB-E,,Medium,,
04BVTD-E,,,,
04BVTF-E,,Medium,,
04BVTG-E,,,,
04BVTH-E,,,,
04BVTJ-E,,Very High,,
04BVTK-E,Yield,Low,,
04BVTL-E,,Low,,
04BVTM-E,,Medium,,
04BVTN-E,,Very High,,
04BVTP-E,,Very Low,,
04BVTQ-E,,Low,,
04BVTR-E,,Medium,,
04BVTS-E,,Very Low,,
04BVTT-E,,Very Low,,
04BVTV-E,,Low,,
04BVTW-E,,Very Low,,
04BVTX-E,,Medium,,
04BVTZ-E,,High,,
04BVV1-E,Growth,Very Low,,
04BVV2-E,Growth,Very Low,,
04BVV3-E,,,,
04BVV4-E,,Very Low,,
04BVV5-E,,Low,,
04BVV6-E,,High,,
04BVV7-E,,,,
04BVV8-E,,Medium,,
04BVV9-E,GARP,Very Low,,
04BVVB-E,GARP,Very Low,,
04BVVC-E,,Medium,,
04BVVD-E,,Low,,
04BVVF-E,GARP,Very Low,,
04BVVG-E,,Low,,
04BVVH-E,,Low,,
04BVVJ-E,Growth,Very Low,,
04BVVK-E,,High,,
04BVVM-E,,,,
04BVVN-E,,High,,
04BVVP-E,,Very High,,
04BVVQ-E,,High,,
04BVVR-E,,Very Low,,
04BVVS-E,,Low,,
04BVVT-E,,Low,,
04BVVY-E,,Very Low,,
04BVVZ-E,,Low,,
04BVW0-E,,Low,,
04BVW3-E,Value,Very Low,,
04BVW4-E,,High,,
04BVW5-E,,Low,,
04BVW6-E,,Very Low,,
04BVW7-E,,Low,,
04BVW8-E,,Low,,
04BVW9-E,,Medium,,
04BVWB-E,,Medium,,
04BVWC-E,,Medium,,
04BVWD-E,,Medium,,
04BVWF-E,,Medium,,
04BVWG-E,,Medium,,
04BVWH-E,,Medium,,
04BVWJ-E,,Low,,
04BVWK-E,,High,,
04BVWL-E,GARP,Very Low,,
04BVWM-E,,Low,,
04BVWN-E,,Medium,,
04BVWP-E,Index,Very Low,,
04BVWQ-E,Index,Very Low,,
04BVWR-E,Value,Low,,
04BVWS-E,Index,Very Low,,
04BVWT-E,GARP,Very Low,,
04BVWV-E,Yield,Very Low,,
04BVWW-E,,Medium,,
04BVWX-E,,Medium,,
04BVWZ-E,,Very Low,,
04BVX0-E,,High,,
04BVX1-E,,Very High,,
04BVX2-E,,Low,,
04BVX3-E,,High,,
04BVX4-E,,High,,
04BVX5-E,,High,,
04BVX6-E,,Medium,,
04BVX7-E,,Very Low,,
04BVX8-E,,Medium,,
04BVX9-E,,Very Low,,
04BVXB-E,Index,Very Low,,
04BVXC-E,,Very Low,,
04BVXD-E,Value,Very Low,,
04BVXF-E,Growth,Very Low,,
04BVXG-E,Growth,Very Low,,
04BVXH-E,GARP,Very Low,,
04BVXJ-E,Index,Medium,,
04BVXK-E,Index,Very High,,
04BVXL-E,Index,Very Low,,
04BVXM-E,Index,Very Low,,
04BVXN-E,Growth,Very Low,,
04BVXP-E,Growth,Very Low,,
04BVXQ-E,,Very High,,
04BVXR-E,,Very Low,,
04BVXS-E,,Very Low,,
04BVXT-E,,Medium,,
04BVXV-E,,Very Low,,
04BVXW-E,Value,Very Low,,
04BVXX-E,Growth,Low,,
04BVXY-E,Growth,Very Low,,
04BVXZ-E,,Very Low,,
04BVY0-E,,Medium,,
04BVY1-E,,Low,,
04BVY2-E,GARP,Low,,
04BVY3-E,Growth,Very Low,,
04BVY4-E,Growth,Very Low,,
04BVY5-E,Value,Medium,,
04BVY6-E,,Low,,
04BVY7-E,Growth,Very Low,,
04BVY8-E,Aggressive Growth,Very Low,,
04BVY9-E,,Very Low,,
04BVYB-E,Growth,Very Low,,
04BVYC-E,,Medium,,
04BVYD-E,Index,Very Low,,
04BVYF-E,Index,Very Low,,
04BVYG-E,Index,Very Low,,
04BVYH-E,Index,Very Low,,
04BVYJ-E,GARP,Very Low,,
04BVYK-E,GARP,Very Low,,
04BVYL-E,Value,Very Low,,
04BVYM-E,,Low,,
04BVYN-E,,Very Low,,
04BVYP-E,,Low,,
04BVYQ-E,,,,
04BVYR-E,Value,Medium,,
04BVYS-E,,Medium,,
04BVYV-E,Deep Value,Low,,
04BVYW-E,Growth,Very Low,,
04BVYX-E,Growth,Low,,
04BVYY-E,,Medium,,
04BVYZ-E,Growth,Low,,
04BVZ0-E,,,,
04BVZ1-E,,Medium,,
04BVZ2-E,,Medium,,
04BVZ3-E,Deep Value,Medium,,
04BVZ4-E,Growth,Medium,,
04BVZ5-E,,,,
04BVZ6-E,GARP,Medium,,
04BVZ7-E,,Medium,,
04BVZ8-E,Growth,Very Low,,
04BVZ9-E,,Medium,,
04BVZB-E,,Low,,
04BVZC-E,,Low,,
04BVZD-E,,Medium,,
04BVZF-E,,,,
04BVZG-E,,,,
04BVZH-E,,Low,,
04BVZJ-E,,Medium,,
04BVZK-E,,Very Low,,
04BVZL-E,,Low,,
04BVZM-E,,Low,,
04BVZN-E,,Very Low,,
04BVZP-E,,Low,,
04BVZQ-E,,Very Low,,
04BVZR-E,,Low,,
04BVZS-E,,Low,,
04BVZT-E,,High,,
04BVZV-E,,Very Low,,
04BVZW-E,,Very Low,,
04BVZX-E,,Very Low,,
04BVZY-E,,Medium,,
04BVZZ-E,,Very Low,,
04BW00-E,,Very Low,,
04BW01-E,Growth,Very Low,,
04BW02-E,,,,
04BW04-E,Growth,Low,,
04BW05-E,Deep Value,Medium,,
04BW09-E,,Low,,
04BW0B-E,,Medium,,
04BW0C-E,Growth,Low,,
04BW0F-E,GARP,Very Low,,
04BW0G-E,Growth,Low,,
04BW0H-E,Growth,Low,,
04BW0J-E,,,,
04BW0K-E,,Medium,,
04BW0L-E,,Low,,
04BW0M-E,,,,
04BW0N-E,,Low,,
04BW0P-E,,,,
04BW0Q-E,,Low,,
04BW0R-E,,,,
04BW0V-E,,Low,,
04BW0W-E,,Low,,
04BW0X-E,,Medium,,
04BW0Y-E,,Very High,,
04BW0Z-E,,Low,,
04BW10-E,,Medium,,
04BW11-E,,Medium,,
04BW12-E,,Very Low,,
04BW13-E,,Very Low,,
04BW14-E,,Low,,
04BW15-E,,Medium,,
04BW16-E,,Low,,
04BW17-E,,,,
04BW18-E,,Medium,,
04BW19-E,,,,
04BW1B-E,,Low,,
04BW1C-E,,Medium,,
04BW1D-E,,Very Low,,
04BW1F-E,,Very Low,,
04BW1G-E,,Low,,
04BW1H-E,,Low,,
04BW1J-E,,High,,
04BW1K-E,,Very Low,,
04BW1L-E,,Medium,,
04BW1Q-E,,Medium,,
04BW1R-E,Growth,Very Low,,
04BW1S-E,Growth,Low,,
04BW1T-E,Growth,Low,,
04BW1V-E,,Medium,,
04BW1W-E,,Medium,,
04BW1X-E,,,,
04BW1Y-E,,Medium,,
04BW1Z-E,,,,
04BW20-E,,Very Low,,
04BW21-E,,,,
04BW22-E,,High,,
04BW23-E,,Very Low,,
04BW24-E,,,,
04BW25-E,,Very Low,,
04BW26-E,,Low,,
04BW27-E,,Medium,,
04BW28-E,,High,,
04BW29-E,,Very High,,
04BW2B-E,,Very High,,
04BW2C-E,,Very High,,
04BW2D-E,,Very High,,
04BW2F-E,,Medium,,
04BW2G-E,,Low,,
04BW2H-E,,Medium,,
04BW2J-E,,Medium,,
04BW2L-E,,Medium,,
04BW2M-E,GARP,Medium,,
04BW2N-E,,Very Low,,
04BW2P-E,,Low,,
04BW2Q-E,Value,Medium,,
04BW2R-E,Value,Medium,,
04BW2S-E,Value,Medium,,
04BW2T-E,,Medium,,
04BW2V-E,,Medium,,
04BW2X-E,,,,
04BW2Y-E,,Low,,
04BW2Z-E,,Very Low,,
04BW30-E,,Low,,
04BW31-E,,Medium,,
04BW32-E,,Low,,
04BW33-E,,Medium,,
04BW34-E,,High,,
04BW35-E,,Very Low,,
04BW36-E,,Very Low,,
04BW37-E,,High,,
04BW38-E,,Medium,,
04BW39-E,,Very Low,,
04BW3B-E,,Very Low,,
04BW3C-E,,Very High,,
04BW3D-E,,Medium,,
04BW3F-E,,High,,
04BW3G-E,,Very High,,
04BW3H-E,,Low,,
04BW3K-E,,Medium,,
04BW3L-E,,Medium,,
04BW3N-E,,Low,,
04BW3Q-E,,Very Low,,
04BW3R-E,,Medium,,
04BW3S-E,,Low,,
04BW3T-E,,Medium,,
04BW3V-E,,Low,,
04BW3W-E,Value,Very Low,,
04BW3X-E,,Very Low,,
04BW3Y-E,,Very Low,,
04BW3Z-E,,High,,
04BW40-E,,Medium,,
04BW41-E,,Medium,,
